,title,category,intro,url
31,살짝... 설렜을지도... 다 함께 메이킹 BL ~학원편~,보드게임 · TRPG,이렇게 불끈한 플레이는 처음이야. 어느 고등학교에서 펼쳐지는 두근두근 위험한 학원 로맨스!,https://tumblbug.com/makingbl_1
32,웹툰 <퀴퀴한일기> 단행본 & 캘린더 & 다이어리 제작!,웹툰 · 만화,"다음웹툰 <퀴퀴한일기> 단행본 3-4권과 2022년 캘린더, 다이어리가 제작됩니다.",https://tumblbug.com/2022_2b
33,스케치업 웹툰배경 - 로판 대신전세트 Part - 2,웹툰 리소스,로판 웹툰에 필요한 대신전 혹은 황궁으로 사용 가능한 대신전세트 파트2를 제작합니다.,https://tumblbug.com/dollphin08
34,목공인의 필독서! 목공에 관한 모든 것을 담은 책,출판,목공에 관심 있는 사람들이 꼭 읽어야 할 목공 가이드북,https://tumblbug.com/woodwise
35,가나슈를 즐기는 또 하나의 방법 트러플 초콜릿,푸드,위스키 트러플과 9가지 맛의 시그니처 트러플을 소개합니다. ,https://tumblbug.com/37_truffle_chocolate
36,러시아 아방가르드의 이론과 실제 : 말레비치와 그의 학파,출판,면면히 살펴보는 말레비치와 20세기 러시아 아방가르드 예술가들의 작품과 삶의 이야기!,https://tumblbug.com/malevich
37,기다리고 기다렸다! 창작자를 위한 테크웨어 브러쉬 ,웹툰 리소스,"벨트, 사슬, 스터드, 레터링, 디스트로이 진, 아일렛 등 148 종 테크웨어 모음",https://tumblbug.com/uniz_
38,"불로장생을 상징하는 10가지의 물상, 십장생 노리개와 키링",잡화,"사슴,불로초,학,구름 십장생으로 이루어진 노리개 키링을 소개합니다.",https://tumblbug.com/calme_9
39,"색이 말해주는 나의 감정, 감정카드 <컬러 유어 이모션>",보드게임 · TRPG,"색이 말해주는 나의 감정, 어른들을 위한 감정카드 <컬러 유어 이모션>",https://tumblbug.com/color_your_emotion
40,네이버웹툰 <독립일기> 자까 무드등 & 미니휴지통,홈 · 리빙,올 겨울 <독립일기> 자까 무드등과 휴지통으로 귀여움과 실용성을 모두 잡아보세요!,https://tumblbug.com/jaggamoodbin
41,19세기 말 런던의 금수양복점 <금수를 위한 의복가이드>,출판,"19세기 말 런던, 가상의 양복점을 배경으로 한 이야기 동물 손님들과 인간 양장사의 이야기",https://tumblbug.com/clothing_guide_for_animals
42,새해엔 우리 <희망을 버려요>!! 염세주의자를 위한 그림책,출판,그로테스크하고 귀여운 책. 고단한 어른을 위해 만들었지요. 염세력 테스트도 해보세용! :),https://tumblbug.com/giveup
43,"웹툰, 일러스트를 위한 헤일로 후광과 문양 브러쉬!",웹툰 리소스,"헤일로 브러쉬, 키라키라 브러쉬, 문양 패턴 브러쉬, 프레임을 만나보세요!",https://tumblbug.com/gh03
44,해양폐기물을 이용해 재 탄생한 작은 바다,잡화,해양폐기물을 이용한 '바다 품은 스마트톡'으로 깨끗한 바다를 꿈꿔봐요.,https://tumblbug.com/arabao
45,새해 액운을 무찌르는 나만의 수호신- 오방색 플라옥노리개,잡화,"플라스틱을 재활용한 노리개
음양오행에 맞춰 나의 기운을 보완해주는 업사이클링 노리개",https://tumblbug.com/leesle-plaok
46,왕이 사랑한 보석같은 궁중디저트를 선물합니다. ,푸드,왕이 사랑했던 보석같은 우리의 전통궁중병과를 여러분께 선물합니다. ,https://tumblbug.com/wolmyo
47,종이로 옮겨간 플레이리스트 [뮤직 다이어리],디자인 문구,"흘러가는 것들은 기록하지 않으면 잊혀지기 마련입니다
좋아하는 음악과 감상을 기록해보세요",https://tumblbug.com/lp_playlist
