,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,다양한 도시괴담 모음집 <환상관리부서>,"5,747,000",718,"800,000",376명
1,[스케치업 웹툰 배경] 로판 엑스트라 배경 패키지,"7,183,000",718,배송 완료,107명
2,난민 에세이 프로젝트 : 세계 난민의 날 연대,"5,027,000",718,배송 완료,197명
3,복잡한 세상속 나의 마음 비우기,"7,178,530",717,배송 완료,133명
4,폐허가 된 서울에서의 생존 [서울 2033 : 적자생존],"71,784,000",717,배송 완료,"1,212명"
5,벨벳파우 we프로젝트 : 고양이와 컵의 위기,"3,588,000",717,"500,000",130명
6,"결식아동을 위한 행복 한 끼 [HAEPY MEAL, 해밀]","3,587,900",717,배송 완료,152명
7,한번 알아두면 평생 도움되는 부동산 사용 설명서,"5,017,500",716,배송 완료,203명
8,"찬우유에 휘리릭~! 5초면 완성, 인생 아이스초코베이스","3,583,200",716,배송 완료,114명
9,사계절이 만족스러울 워터프루프 '데일리 벙거지',"5,016,000",716,배송 완료,168명
10,"오묘하고 신비한 ""라일락과 자스민의 향기""","7,165,550",716,"1,000,000",119명
11,<봄이 오면 꽃이 피고> 공식 아트북/코멘터리북/OST,"50,100,000",715,"7,000,000",516명
12,"당신을 위로해 줄 ""가슴친구"" 보따리","1,789,000",715,배송 완료,50명
13,"평온하고 따뜻한 일년을 기원하며, 2021달력 '더아치'","8,586,000",715,"1,200,000",293명
14,회사 엑셀을 2시간만에 완전히 끝장내는 엑셀 무대 안내서,"2,361,000",715,"330,000",290명
15,고양이 집사로 취업하셨나요? <고양이 상사>,"3,575,000",715,배송 완료,120명
16,"향기를 품는 귀걸이, 손으로채움","7,148,500",714,배송 완료,212명
17,동양풍 자수 문양 소재 + 브러쉬,"7,145,000",714,"1,000,000",71명
18,"잊지말아요, 군함도","2,500,500",714,배송 완료,235명
19,4학년 되기 전에 미리미리 준비하자! <포트폴리오 가이드>,"2,142,900",714,배송 완료,217명
20,마술책:손기술이 필요없는 카드 마술,"3,571,000",714,배송 완료,121명
21,(투닥토닥) 스케치업 프로젝트 No.15 _ 원룸,"7,141,000",714,"1,000,000",204명
22,"웰메이드 보드게임의 탄생! ""발렌타인""","10,710,500",714,"1,500,000",318명
23,비마켓 '거즈손수건'으로 유기동물에게 희망을 선물해주세요,"1,427,300",713,배송 완료,96명
24,100년 만에 부의 기회가 왔다,"7,136,000",713,배송 완료,110명
25,제주할망 전문 인터뷰어 5년의 기록,"7,135,100",713,"1,000,000",247명
26,하루 5분 공부로 끝내는 PPT,"3,565,000",713,배송 완료,403명
27,웹툰 스케치업 - 폐공장,"14,260,000",713,배송 완료,208명
28,"공스케이크의 두번째 구움과자, 마들렌 그리고 샤브레쿠키.","2,138,500",712,배송 완료,55명
29,"인생존맛 돼지특수부위, 훈연삼겹살 그리고 쌈용 와사비 잎","7,121,500",712,"1,000,000",283명
30,"일상 속 작은 판타지 하품, 여행일러스트 다이어리","7,121,100",712,배송 완료,324명
31,"리운스1주년, 특별한 '진짜' 향수를 만들었습니다","21,336,500",711,"3,000,000",527명
32,"부드러운 달빛이 비치는 새벽, 나를 위한 감성적인 향기","7,110,000",711,배송 완료,148명
33,"잊혀진 우리의 꽃을 새긴, 곤화포 블라우스와 팬츠","21,327,000",710,배송 완료,138명
34,세렌 웹툰 스케치업 학교 내부 신규 배경,"21,320,000",710,"3,000,000",324명
35,"초콜릿 자체로 가지는 가치, 진짜 수제 얼그레이 생초콜릿","5,682,000",710,배송 완료,250명
36,더 달콤해진 글라소디 화이트데이 초콜릿 선물,"1,420,000",710,배송 완료,48명
37,항정신과 약물을 복용 중인 모두를 위한 일러스트 북.,"3,549,000",709,배송 완료,104명
38,우린 매일 너와 함께다냥! 2022 일력 <오늘도 고양이>,"10,646,600",709,배송 완료,381명
39,디자이너 30명에게 물었습니다. 어떤 폰트를 많이 썼나요?,"28,379,400",709,배송 완료,"1,199명"
40,[랩스커트/v넥] 여름을 즐기다! 나만의 linen 코디법,"7,093,500",709,"1,000,000",200명
41,집콕러인 내가 마녀가 된다면? [마녀테스트 & 마녀도감],"3,545,200",709,배송 완료,309명
42,'광복 光復' 우리의 빛을 되찾다 <무궁화 반지 & 팔찌>,"1,417,600",708,배송 완료,70명
43,"""아가, 이제 집으로 가자"" 유기견을 위한 금속뱃지","7,086,700",708,배송 완료,403명
44,"앵콜! [대한민국 헌법] 제1조 1항, 2항 뱃지","3,543,000",708,배송 완료,205명
45,효율적인 나를 기록하는 스케줄러 [GOAL LOG],"3,541,600",708,배송 완료,160명
46,"디자인, 소재 그리고 가격까지 충족시키는 썸머 블라우스!","7,082,000",708,배송 완료,160명
47,흔들리는 녹차밭에서 하동향이 느껴진 거야. 한국의 하동향,"7,080,200",708,배송 완료,236명
48,웹툰 스케치업 - 종합물류단지,"7,080,000",708,배송 완료,64명
49,늦봄의 편지―문익환 옥중서신,"7,078,000",707,"1,000,000",220명
50,"팔찌를 통해 저소득층 소녀에게 생리대를, 꽃들에게 희망을","7,077,100",707,"1,000,000",510명
51,미처 보지 못한 건축에 대한 이야기에요,"8,488,500",707,"1,200,000",406명
52,손안의 행복,"3,536,000",707,"500,000",88명
