,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,"발달장애인의 일상을 담다, COMMOWEAR 프로젝트RE;","1,976,000",197,"1,000,000",70명
1,책방 폐업기 <한숨의 기술> 출판,"1,975,500",197,"1,000,000",89명
2,2021 하루 10분 습관 갖기 [허니슬립 숨],"987,500",197,배송 완료,17명
3,"여성을 위한 당신의 첫 넥타이, 오브젝타이","1,580,000",197,배송 완료,45명
4,활자모—한글폰트 <산유화>,"9,874,000",197,배송 완료,148명
5,[백지PPT 극복노트] 예비/현직 마케터용 PPT 치트키!,"1,466,000",195,배송 완료,69명
6,"따뜻하고 달콤한 그림책 : '오랜만이야, 잼!'","1,974,000",197,배송 완료,41명
7,"[월간 이감각] 놀이판을 굴러보세, 춤판 흥(興)뱃지","1,973,500",197,배송 완료,96명
8,모든 아이들은 행복해야합니다 : 아동학대방지 뱃지/포스트잇,"1,184,000",197,"600,000",97명
9,좌절금지 <새로운 시각으로 인생을 리디자인 하라>,"1,973,000",197,"1,000,000",75명
10,스물넷 신규 초등교사 이야기 <선생님도 선생님이 처음이라>,"1,973,000",197,"1,000,000",83명
11,홍찬미 1st 미니앨범,"4,928,002",197,"2,500,000",125명
12,"낭만이길 다이어리 '曙光 : dawnlight, 새벽빛'","14,780,904",197,배송 완료,391명
13,"맛있는 그림을 품은 알, Egg Book","3,941,500",197,"2,000,000",106명
14,다다르다 : 연세대학교 생활디자인학과 제20회 졸업전시회,"1,970,000",197,"1,000,000",34명
15,넘어진 역사 바닥에서 피워낸 글꽃들 <빗물 그 바아압>,"9,850,000",197,"5,000,000",214명
16,잃어버린 내 삶의 균형 잡기 연습,"985,000",197,배송 완료,37명
17,"다채로운 색의 제주 , 귀걸이 영감을 얻다 '제주 팔렛뜨'","985,000",197,배송 완료,40명
18,글 합작 프로젝트 무례한 청춘 9월호,"196,911",196,배송 완료,15명
19,색다른 전통 <네가지 색상 칠보 무늬 보보백>,"984,500",196,배송 완료,21명
20,축제를 내 손안에! '2020춘천아트페스티벌-홈 딜리버리',"1,968,700",196,배송 완료,75명
21,"20대 여자 둘의 고민 기록, <여생>","5,904,000",196,배송 완료,281명
22,"[고양이와 동백꽃] 자수팔찌, 마스킹테이프","984,000",196,"500,000",65명
23,천연 다이아가 셋팅된 귀 뚫지 않아도 착용가능한 이어커프,"590,000",196,배송 완료,19명
24,홍익대학교 미화경비노동자 환경개선사업 <도깨빗자루>,"4,916,299",196,"2,500,000",361명
25,"글 쓰는 아내, 사진 찍는 남편의 '방 치는 마음'","3,343,000",196,"1,700,000",123명
26,대한민국 최초 비행사 권기옥님을 담은 아이템,"983,200",196,배송 완료,50명
27,"서서 조는 정오, 다가올 오후의 시간.","983,157",196,배송 완료,64명
28,"[새해 선물]핸드 드로잉으로 즐기는, 감성 화투","1,966,000",196,"1,000,000",117명
29,"한 해동안 여성들에게 일어난 사건을 담은, '기이한 기록'","2,359,000",196,배송 완료,139명
30,말의 세계에 감금된 것들_여성서사로 본 국가보안법 전시회,"19,651,000",196,"10,000,000",425명
31,[스케치업 웹툰 배경] 세계의 무기 Part 2 장병기,"3,930,000",196,배송 완료,81명
32,당신의 마음속에 내려요 <꽃비/이슬비/먹구름>귀걸이,"393,000",196,배송 완료,19명
33,홍익대 아픈냥이 병원비 모으기,"982,500",196,배송 완료,109명
34,[이지툰 웹툰배경 #2] 프로야구 클럽하우스 (훈련장),"275,000",196,배송 완료,11명
35,하운드 구조비용 모으기 굿즈!,"9,821,000",196,배송 완료,188명
36,"엄마에게 보내는 에세이, <이토록 오랜 밤>","1,571,277",196,배송 완료,69명
37,"모든 동물이 행복해질 그날까지, 늑대코인목걸이","2,946,100",196,"1,500,000",178명
38,시 잡지 <일상시화>,"2,514,000",196,"1,280,000",90명
39,"함께 살아가는 삶을 되찾는 것, <스너글러>","982,000",196,"500,000",30명
40,[페미니즘 잡지 사심] Vol.5 여성을 위한 나라는 없다,"7,856,000",196,배송 완료,317명
41,최수진 아트북 <Fruity Buttercream>,"7,855,000",196,배송 완료,133명
42,당신의 건강한 식습관을 향한 10주간의 산책,"1,963,000",196,"1,000,000",119명
43,우리에게 봄이 올까요? : 캠퍼스 고양이를 위한 캣홀릭뱃지,"1,570,200",196,"800,000",92명
44,"시간괴물에 대한 영화 <hey, sugar daddy>","1,570,000",196,배송 완료,34명
45,투명한 비단에 스며든 염원의 색 '바람그림',"981,000",196,"500,000",18명
46,행복한 일은 매일 있어! 곰돌이 푸 뱃지 [디즈니 정품],"981,000",196,배송 완료,20명
47,"꽃향기 가득담긴 크리스마스 선물, 에스메랄다 게이샤 커피","981,000",196,배송 완료,20명
48,수십 년간 피어나지 못한 할머니의 꿈을 응원해주세요,"1,962,000",196,"1,000,000",101명
49,"""두번째 이름을 지어 주세요."" 유기동물을 위한 볼캡","3,237,000",196,배송 완료,86명
50,단편영화 <종말의 연인>,"1,177,000",196,"600,000",49명
51,"작지만 커다란 즐거움 슬로우어스의 유리컵,패브릭포스터,키링","980,700",196,배송 완료,25명
52,"마법의 딸기로, 땡큐 베리 스트로베리!","1,961,400",196,배송 완료,55명
53,"말씀을 기록하고 기억하고 기도하는, 말씀노트 & 달력","5,001,000",196,배송 완료,210명
54,2022년을 불태울 수 있게 도와줄 달력과 바인더,"2,941,500",196,배송 완료,76명
55,사랑하는 이들 /<Cats & Dogs 포스터와 포장지>,"1,961,000",196,"1,000,000",24명
56,나를 위해 가꾸는 숲 한조각(공기정화 식물),"392,100",196,배송 완료,13명
57,"처음 만들어지는, 서울시립대학교 응원가 시리즈 제작","2,940,324",196,"1,500,000",133명
58,"단순한 공간 너머의 집, <WHAT IS HOME> 엽서북","980,000",196,"500,000",29명
