,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
3416,내 방에서 만드는 <향수 디자인 키트> 문구 에디션,"12,466,400",623,배송 완료,195명
3417,전통 장석을 현대적으로 재해석한 : 황동 장석 집게,"6,232,000",623,"1,000,000",184명
3418,"일상/직장/휴가 때 입기 좋고, 수납이 용이한 포켓셔츠","6,231,000",623,배송 완료,171명
3419,"""당신의 마음 속 화살은 어디에 있나요?""","4,050,000",623,"650,000",29명
3420,"봄을 준비하는 현명한 선택, 머브클로딩의 트렌치코트!","12,460,000",623,배송 완료,211명
3421,"비대면 야외 방탈출, <물오름달 열닷새>","6,226,200",622,배송 완료,200명
3422,겨울 준비 완료! 집순이의 후리스와 무릎담요,"18,675,500",622,배송 완료,272명
3423,국화차에서 석굴암 한잔 할래요?,"6,219,000",621,"1,000,000",48명
3424,Still Life: 연세대학교 생활디자인학과 졸업전시,"3,109,000",621,배송 완료,79명
3425,"살아있는 것 만으로도 잘한거야, '띠용 이야기'","4,973,000",621,배송 완료,343명
3426,"활자 측정 도구, 字—자.","15,538,000",621,"2,500,000",415명
3427,웹툰&일러스트를 위한 고퀼리티 꽃과 과일 브러시,"6,212,000",621,"1,000,000",225명
3428,중세 판타지 대도시 항만,"6,210,000",621,배송 완료,93명
3429,"02travels (포스터북, 엽서북, 스티커팩)","3,104,500",620,배송 완료,104명
3430,선인장 가죽으로 잘 빚은 '비건 만두백',"42,458,600",620,배송 완료,179명
3431,유기토끼를 세상에 알리고 응원해! '러브미컵과 그립톡',"6,207,000",620,배송 완료,294명
3432,비단부채 전통물감으로 물들이다. [비단부채 드로잉 KIT],"3,103,000",620,배송 완료,115명
3433,"혐오 없는 세상을 향해, 빻은 말 스티커와 멋진 말 스티커","1,860,500",620,배송 완료,239명
3434,도향 사쉐,"3,100,200",620,배송 완료,136명
3435,스케치업 웹툰 배경 - 여름 바다 해수욕장,"1,860,000",620,"300,000",62명
3436,[제트라이드샤프]자없이 직선긋는 가장 완벽한 방법,"3,099,500",619,"500,000",288명
3437,"지금까지 이런 구성은 없었다, 감성 홈카페 스타터 KIT","4,958,000",619,배송 완료,134명
3438,과학 테마 사이토시스 세포생물학 보드게임,"18,592,000",619,"3,000,000",395명
3439,더운데 간편하게! 여름내내 어디서든 오색 한복원피스,"6,197,000",619,배송 완료,27명
3440,동화시리즈 몰랑 피규어 세트 - 동화속으로 들어간 몰랑,"12,387,000",619,배송 완료,328명
3441,독거노인 분들을 위한 'Think of me',"1,858,000",619,"300,000",146명
3442,세상을 품은 한글 이야기 -한글이 그크끄. 3(완결편),"18,578,250",619,배송 완료,389명
3443,비를 맞은 사람은 사라진다. <백일우>,"24,769,000",619,배송 완료,900명
3444,[웹툰스케치업] 왕성과 대저택,"6,192,000",619,배송 완료,64명
3445,"발신지,미술관: 작품 앞에서 쓴 열여덟 통의 편지","4,334,000",619,배송 완료,225명
3446,"""대한독립만세, 여성해방만세"" 차미리사 북백, 북파우치","3,095,000",619,배송 완료,125명
3447,"커피를 즐기는 애호가들을 위한 안내서, 커피 가이드","7,427,000",618,배송 완료,319명
3448,더많은 여성에게 더많은 속옷 선택권을! 미드에어X66100,"30,927,900",618,"5,000,000",527명
3449,네이버웹툰 <호러와 로맨스> 1~5권(완) 단행본 제작,"30,927,000",618,배송 완료,355명
3450,온라인에서 활용 가능한 'UX/UI 그래픽 가이드',"3,092,000",618,"500,000",200명
3451,고양이모래 유목민들 이리오세요! <크집사의 레시피>,"61,823,100",618,배송 완료,"1,137명"
3452,Testimony winter wonderland,"1,360,000",618,"220,000",45명
3453,관계의 깊이를 더해주는 인간관계 솔루션 <인생대화 카드>,"4,326,000",618,배송 완료,278명
3454,be-lit-review : 비릿이 본 독립문화컨텐츠,"618,000",618,배송 완료,32명
3455,［스케치업 웹툰배경］-어린이집&놀이터,"3,090,000",618,배송 완료,103명
3456,"새해, 기분 좋은 시작을 함께할 헤링본 자켓","12,343,500",617,배송 완료,188명
3457,조선의 두루마기 KOREA의 파티룩이 되다. [두티룩],"3,794,000",617,"614,810",48명
3458,"[DIY]100방울의 마법, 나만의 향기를 부르는 주문","1,851,000",617,배송 완료,62명
3459,"10년의 심리상담 사례집<벼랑 끝, 상담>","24,677,500",616,배송 완료,830명
3460,빼르의 맛있는 20가지 다이어트 레시피,"2,467,000",616,배송 완료,280명
3461,"심각했던 피부고민의 해답, 식품등급의 천연원료 화장품!","3,083,500",616,배송 완료,103명
3462,"선조들의 붓으로 그린 매난국죽, 사군자 케이스","3,082,500",616,배송 완료,115명
3463,<잉여특공대> 모과 & 율서의 큐브(핑크/블루) 인형,"17,876,001",616,배송 완료,399명
3464,사귀를 물리치다. '순은퇴마부적',"2,773,000",616,배송 완료,38명
3465,"감각적인 친환경 빨대, eStraw - 레드 컬러 에디션","6,161,300",616,배송 완료,519명
3466,젊은 영웅들이여 우리는 그대들을 잊지 않겠습니다.,"5,544,826",616,"900,000",278명
3467,"강아지를 위한 코코 도그 스텝, 고양이를 위한 진저 캣펀치","6,157,800",615,배송 완료,324명
3468,"낯설고도 친숙한 무속 신화, 신입차사를 위한 <구천안내서>","36,940,000",615,"6,000,000","1,018명"
3469,"[앵콜] 포근함을 함께 나누는 봄, 식스삭스 양말패키지","3,693,500",615,배송 완료,184명
3470,(웹툰) 스케치업 디자인 프로젝트 No.1 _ 음식,"6,150,000",615,배송 완료,205명
3471,"이슬 맺힌 민트와 은방울꽃 향, <Sleeping dew>","6,148,200",614,배송 완료,133명
3472,한복 감성을 담은 예쁜 일상 '한복프릴백',"1,843,900",614,"300,000",37명
3473,다쿠아즈 추석 선물 세트:구름의 폭신함을 소중한 사람에게,"6,146,000",614,"1,000,000",158명
3474,펫하우스 드라이룸 따로 쓰세요? 이제 아베크 하세요,"61,440,000",614,배송 완료,144명
3475,티 소믈리에가 더 맛있게 만든 나주 이야기 '나주 블렌드',"6,142,000",614,배송 완료,357명
3476,빛나는 할리우드의 향기를 담은 '샹티',"3,071,000",614,배송 완료,94명
3477,<카늘레> 전문 레시피북. 국내 최초 출간 프로젝트!,"3,069,100",613,배송 완료,129명
3478,"千年의 자개 사랑, 스티커에 담다!","6,137,500",613,"1,000,000",137명
3479,딜라이트 게임북 - 시즌3,"12,274,000",613,배송 완료,443명
3480,맛도 이쁨도 뚠뚠! 피카타임 아메리칸 쿠키 세트,"3,067,500",613,배송 완료,66명
3481,만화에 최적화 된 학생 엑스트라,"6,134,000",613,배송 완료,101명
3482,"보석의 향기에 관하여. "" 에메랄드""와 ""헬리오도르""","6,128,500",612,배송 완료,132명
