,Unnamed: 0,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
68,68,[배경키트X스냅툰] 웹툰 로판 대저택 세트,"16,840,000",1684,"1,000,000",158명
69,69,마음이 비치는 { 이음 우체국 },"8,007,000",320,"2,500,000",87명
70,70,하얗고 포근한 눈을 닮은 살냄새 향수 <스노이>,"3,314,500",662,"500,000",75명
71,71,여성의 공포와 불안을 쓰다,"6,583,000",658,"1,000,000",108명
72,72,"새로운 한해를 꽃향기로 채워줄, 베스트 오프 파나마 게이샤","490,000",98,"500,000",9명
73,73,후가공 박을 한 곳에 담다! 2022 쿠르즈 컬러 시스템,"4,670,000",934,"500,000",123명
74,74,"세레노 정규 5집, MY WAVES","34,139,225",426,"8,000,000",439명
75,75,모두의 추리로 완성되는 마피아 게임 [죄수들의 밤],"21,359,900",711,"3,000,000",646명
76,76,포토샵과 일러스트레이터로 세상 모든 굿즈 만들기,"2,800,000",560,"500,000",81명
77,77,스케치업 자연물 3종,"14,248,000",1424,"1,000,000",281명
78,78,"안기고 싶도록 따뜻한 향기, 니티허그 향수","9,700,000",969,"1,000,000",198명
79,79,앙큼한 소녀들의 필수템! 핑크빗치클럽 6공 다이어리 패키지,"25,943,300",370,"7,000,000",587명
80,80,"빛을 따라 기록한, <LIGHT> 엽서북과 아크릴포스터","5,143,000",1028,"500,000",164명
81,81,북디자이너와 함께하는 <내책 만들기 나의 워크북>,"4,744,000",948,"500,000",174명
82,82,"따뜻하고 아름다운 힐링 판타지, <소원을 이루어주는 섬>","4,451,000",445,"1,000,000",303명
83,83,"악몽을 먹어드릴게요, '불가살' 중치막 로브","18,525,000",926,"2,000,000",148명
84,84,동남아 향취를 가득 담은 '미얀마 코코넛밀크 국수' 밀키트,"2,716,600",271,"1,000,000",118명
85,85,초능력자들이 사는 곳<도시>,"8,695,000",57,"15,000,000",373명
86,86,몽실몽실 보들보들 <피누&마요> 겨울 콜라보 굿즈,"12,273,000",818,"1,500,000",318명
87,87,"' 신에게 선택받은, 단 하나의 부족 ' <PRAY>","1,240,000",82,"1,500,000",53명
88,88,한 달에 300만원 네이버 카페로 평생 월세받기,"2,840,750",568,"500,000",98명
89,89,나 요즘 어떻게 지내? 나에게 답하다. <셀프카운슬링북>,"9,907,200",1981,"500,000",221명
90,90,"옛 것의 새 활용, 한복 곱창밴드","2,702,200",540,"500,000",248명
91,91,[은목서] 오스만투스 블라썸 '파퓸드블랑',"4,253,000",850,"500,000",96명
92,92,"매일 손이 가는 한복, '라빔 마고자& 단청바지'","658,000",65,"1,000,000",7명
93,93,"누가 왕이 될 상이냐, <일월오봉도> 페이퍼 아트 액자","354,000",6,"5,400,000",7명
94,94,"미안,.내가 붕어빵 다 먹었다옹. 먹보냥 에어팟케이스","1,940,600",64,"3,000,000",93명
95,95,"일러스트, 웹툰을 위한 아르누보풍 유니크 브러쉬","14,406,000",1440,"1,000,000",399명
96,96,"동양을 담은 관능 한방울 ""오리엔탈 로즈&베일""향수","9,527,500",952,"1,000,000",182명
97,97,나만의 향을 담다 : 스톤디퓨저 [담향],"2,985,000",298,"1,000,000",41명
98,98,2022년 나와의 약속을 각인시켜 줄 '작심반지',"1,384,000",276,"500,000",31명
99,99,"로판, 아르누보풍 클립스튜디오 창작 소재 100종","13,888,000",1388,"1,000,000",409명
100,100,"트랜스들의 이야기, [트랜스젠더도 마라탕을 좋아하나요?]","2,833,500",101,"2,800,000",172명
101,101,조주(Jojoo) 첫 EP앨범 [지도] 제작,"2,527,000",101,"2,500,000",82명
102,102,"에이미, 끔찍한 악몽의 굴레에서 벗어나게 해줄게!","3,039,800",202,"1,500,000",72명
103,103,"크림 도구점의 빨간포션, 파란포션 [Must have!]","1,237,400",247,"500,000",66명
104,104,이 한정판 구성은 지금뿐. <제자와 연인 사이>,"4,511,200",151,"2,970,000",142명
105,105,믿고쓰는 샴푸바! 환경과 두피를 생각하는 비건 고체 샴푸,"3,581,800",358,"1,000,000",62명
106,106,이번 겨울 포근하게 안아줄 사과 블렌딩티 <허그미애플티>,"2,017,300",403,"500,000",90명
107,107,"음양사 아베노 세이메이의 비전, 점사략결의 최초 완역본","51,990,000",1039,"5,000,000",421명
108,108,제주 바닷가 작은 집 이야기 <윤시 아야>,"1,599,000",319,"500,000",36명
109,109,"세상에 남기는 나의 마지막 기록, 유서 노트","3,548,000",354,"1,000,000",164명
110,110,전설의 체스 그랜드마스터 카파블랑카의 책 '체스의 기본',"1,738,000",173,"1,000,000",93명
111,111,"지금 이 순간의 감정을 담은 다이어리, <EMO-MENT>","5,380,450",179,"3,000,000",93명
112,112,쉴때도 불안한 당신을 위하여 <Vinyl : 비효율모음집>,"3,405,000",130,"2,600,000",122명
113,113,카페에서 다각도로 사용가능한 엑스트라입니다.,"299,600",59,"500,000",56명
114,114,목포 바다를 지켜요 ! 100% 국내 리사이클링 나들이가방,"2,411,000",120,"2,000,000",51명
115,115,[용기내 챌린지]귀여운 수달캐릭터를 담은 빵순이 식빵용기,"1,959,300",391,"500,000",96명
116,116,고~백 쿠키! 고백해!,"3,943,600",394,"1,000,000",122명
117,117,나랑 손씻으러 가지 않을래? 너를 위해 준비했어 '캡슐솝',"5,723,000",572,"1,000,000",134명
118,118,아르누보 시그림책<멀고도 가까운 노래들>1900년초판 복간,"14,384,000",287,"5,000,000",227명
119,119,네이버웹툰 < 아홉수 우리들> 문구 세트,"4,641,000",46,"10,000,000",101명
120,120,호기와 려니의 주황빛 청주여행 <청주화투>,"1,695,000",169,"1,000,000",47명
121,121,발달장애인과 함께 더불어 꿈꾸는~ 향기 담은 보습 비누!!,"1,873,350",374,"500,000",47명
122,122,뉴에이지 아티스트 웨일의 첫 번째 정규앨범,"3,109,000",124,"2,500,000",43명
123,123,SF영화 속 괴물들의 해부도해 <SF 괴수괴인 도해백과>,"8,318,800",554,"1,500,000",370명
124,124,세련된 편집 디자인을 돕는 레이아웃 디자인 키트,"10,610,600",353,"3,000,000",241명
125,125,여성이라는 소수자 속 또 다른 소수자 <귀여운 할머니>,"1,109,000",110,"1,000,000",30명
126,126,밀레니얼 도시 경관 매거진 특별호 [ULC B호],"557,000",111,"500,000",24명
127,127,당신 뇌를 200%가동할 신약?[좀비런:Limitless],"15,106,000",755,"2,000,000",340명
128,128,커피 사용설명서? 커피 운영 A부터 Z까지,"3,551,000",710,"500,000",143명
129,129,언제 어디서든 간편하게 즐기는 커피티백 (feat. 선일),"544,000",108,"500,000",19명
130,130,"메모 더 월, 중요한 걸 잊지 않기 위해","3,859,000",385,"1,000,000",39명
131,131,진짜 속마음이 궁금해? 투표게임 쓰리포!,"1,305,000",186,"700,000",45명
132,132,"한반도의 푸르른 바다를 내 방에, < 방구석 바다여행 >","751,000",150,"500,000",13명
133,133,"떡볶이 도감 업데이트할 준비! 신종 ""들깨떡볶이""","348,000",69,"500,000",13명
134,134,지속 가능 다이어트를 위한 <self 식단 코칭 book>,"274,500",39,"700,000",14명
135,135,떡볶이의 시작과 끝 파도즉석떡볶이,"354,700",35,"1,000,000",13명
136,136,불세출의 록 보컬 박근홍의 오버드라이브필로소피,"5,061,999",92,"5,500,000",104명
137,137,"비전공자도 엑셀+도서로 쉽게, 데이터 분석 실전 마스터","2,931,000",586,"500,000",67명
138,138,쉽게 따라하는 <아이패드 어반 드로잉>과 손그림용 브러쉬,"3,212,000",321,"1,000,000",111명
0,0,[라 보라카이] 황홀한 선셋의 향기 '비포 선셋',"1,872,000",374,"500,000",24명
1,1,"일상에 낭만을 더하는 다이어리 키트, <하이틴 타임>","112,000",22,"500,000",6명
2,2,"버티지 않는 삶에 관하여, <하기 싫은 건 하지 않는다>","1,065,200",53,"2,000,000",25명
3,3,"기획자를 위한, 의한 영감노트 ""I am into____""","66,000",2,"2,500,000",4명
4,4,나랑 손씻으러 가지 않을래? 너를 위해 준비했어 '캡슐솝',"5,723,000",572,"1,000,000",134명
5,5,"인류에게 고하는 가장 화려한 작별, <잊혀진 것들의 도시>","8,812,000",881,"1,000,000",389명
6,6,50년 된 목욕탕의 마지막 모습 <인류 최후의 목욕탕>,"1,687,000",337,"500,000",56명
7,7,미얀마 민주화 투쟁 연대시 번역본 (미얀마어 영어) 발간,"2,834,000",47,"6,000,000",57명
8,8,아르누보 시그림책<멀고도 가까운 노래들>1900년초판 복간,"14,384,000",287,"5,000,000",227명
9,9,언제 어디서나 간편하게 즐기는 브루스 브라더스 드립백 커피,"4,231,000",846,"500,000",193명
10,10,네 명의 방랑자가 전하는 기묘하고 유쾌한 여덟 빛깔 이야기,"1,794,623",179,"1,000,000",49명
11,11,"내 마음의 아픔 해결법, <마음을 읽고 싶은 당신에게>","8,632,000",86,"10,000,000",47명
12,12,제주 백록담의 전설 백로기의 행운을 담은 아우터 세트,"3,459,000",230,"1,500,000",45명
13,13,2022년 조선 호랑이 뱃지들,"430,850",86,"500,000",29명
14,14,"달콤한 매력에 농염한 마력까지!체리에 반하다,체리머스크향수","5,873,400",839,"700,000",128명
15,15,"로판에 어울리는 아르누보, 바로크풍의 프레임과 패턴, 문양","5,982,000",598,"1,000,000",192명
16,16,바닐라 향에 진심인 조향사가 선보이는 따스한 바닐라 향수,"10,416,000",1041,"1,000,000",129명
17,17,비대면 시대 연애 비쥬얼 노벨 <맛있는 사랑>,"3,548,000",177,"2,000,000",96명
18,18,길 잃은 크리스천을 위한[하나님 제 얘기 좀 들어보세요],"995,600",99,"1,000,000",32명
19,19,내 손 안의 작은 바다 <숨비와 파도 반지>,"23,185,000",772,"3,000,000",273명
20,20,"달콤쌉쌀한 체리콕과 가죽, 늦은 밤 도시 속 외로움의 향","4,027,000",402,"1,000,000",83명
21,21,그림과 함께 맛보는 카페투어 <커피 로그 라이프:서울55>,"2,861,500",119,"2,400,000",84명
22,22,살고 싶다는 바람이 죽음을 향해 분다면,"621,400",41,"1,500,000",18명
23,23,"시인보호구역 10년 그리고 미래, 그리고 작가를 소개합니다","215,000",27,"777,777",14명
24,24,"내 마음이 투명하다면, 울창한 숲일지도 몰라","2,753,500",393,"700,000",93명
25,25,[Interpret nature] - 자연을 해석하다.,"883,000",126,"700,000",22명
26,26,"넣으면 사라지는, <What's In My Box>","906,000",53,"1,700,000",30명
27,27,떡볶이의 시작과 끝 파도즉석떡볶이,"354,700",35,"1,000,000",13명
28,28,[로판웹툰 스케치업]_빅토리아 시대의 거리,"3,579,600",357,"1,000,000",44명
29,29,[스케치업] 판타지 6왕국 프로젝트,"11,255,000",1125,"1,000,000",119명
30,30,<80일간의 우주여행 -Flight for us->,"5,331,000",106,"5,000,000",115명
31,31,~와 함께 걷는 2022 동행 다이어리,"1,290,000",129,"1,000,000",32명
32,32,Ikki 싱글 프로젝트 : Be There,"405,000",73,"550,000",16명
33,33,매트리스 곰팡이 귀신의 탄생과 죽음의 추적,"1,671,000",66,"2,500,000",31명
34,34,[스냅툰&바이스케치 웹툰 배경] 견습생의 아카데미 세트,"21,027,000",2102,"1,000,000",161명
35,35,한일 싱어송라이터 우아한의 음원제작 프로젝트,"2,650,000",265,"1,000,000",40명
36,36,본캐 디자이너의 부캐 앨범[서른살의 내가 스무살의 나에게],"2,511,800",69,"3,600,000",108명
37,37,"디자인도 편안함도 포기하지 못할 땐 ""콘페티 이지 팬츠""","1,422,800",71,"2,000,000",19명
38,38,완도살롱 폐업기 <NO TIME TO DIE>,"2,456,000",62,"3,900,000",46명
39,39,"변함없이 변하는 것들을 담다, <숨;빛 케이스>","94,900",17,"550,000",3명
40,40,불끈불끈 호랑이 기운이 솟아! 오버핏 기모 맨투맨,"174,000",6,"2,800,000",3명
41,41,대학문학상 수상 창작극 '작자 미상 수정 배포 자유',"95,000",6,"1,500,000",3명
42,42,교육 소외 국가 어린이에게 동화책을 선물하는 윙윙패키지,"35,000",2,"1,500,000",3명
43,43,"아기자기한 정원사 트럼프 "" 가든 트럼프 ""","2,210,000",49,"4,500,000",92명
44,44,"월간 피카타임 2022년 1월호 ""HappyNewYear""","3,006,500",601,"500,000",68명
45,45,여성의 삶을 재정립하다 <페미니즘 전시회: 프로젝트 여생>,"3,698,000",194,"1,900,000",239명
46,46,홍삼도 비건하세요! 나와 지구를 위한 웰스미 비건 홍삼스틱,"3,126,000",312,"1,000,000",35명
47,47,다이스 배틀 보드게임 <트랑가 : 섬의 해적들>,"1,490,000",18,"8,000,000",34명
48,48,당신의 분실물은 지금 어디에 있나요? <분실물 보관소>,"3,215,000",459,"700,000",149명
49,49,결혼과 이주가 함께 왔다 <거기까지 가서 그렇게까지>,"5,264,333",526,"1,000,000",232명
50,50,공간에 따스한 감도를 더하는 한지오브제: LAYER149,"3,689,000",368,"1,000,000",26명
51,51,항상 곁에서 나쁜 꿈을 막아 주는 든든한 <북청사자 바우>,"5,861,000",87,"6,700,000",90명
52,52,[웹툰 배경] 당신을 위한 주거공간 패키지,"9,313,000",931,"1,000,000",165명
53,53,사수 없이 나 홀로 일하는 디자이너의 100주 기록,"822,000",164,"500,000",53명
54,54,"슈트핏을 세우자! 570여 개의 슈트 이미지_클립, 포토샵","5,729,000",572,"1,000,000",165명
55,55,갓생? 갓담? 신선한 재료로 만드는 DIY 갓담금주 키트,"926,000",185,"500,000",20명
56,56,"전설의 로보트, 태양의 사자 철인28호 1기(DVD,BD)","22,311,000",148,"15,000,000",161명
57,57,수술실 간호사의 it-book <수술실 별쌤 Vol.1>,"2,590,000",86,"3,000,000",69명
58,58,오방색의 다섯 가지 색을 담은 [오방색 노리개 백참],"5,484,000",1096,"500,000",93명
59,59,"라오스, 14일의 기록 <정민이의 호기심 여행>2편","1,605,000",80,"2,000,000",38명
0,0,서로에게 어른이 되어가는 법을 배우는 <열여덟 서른아홉>,"3,281,000",58,"5,600,000",58명
1,1,포토샵보다 쉽다! 핫한 무료 디자인 툴 '피그마' 가이드,"5,177,000",369,"1,400,000",174명
2,2,45년 전 로코만화? 1976년작 <여학생남학생>,"2,555,000",85,"3,000,000",102명
3,3,"알브레히트 뒤러의 '기도하는 손', 희생과 치유의 인센스향","599,500",59,"1,000,000",15명
4,4,"새해 소망을 띄워봐요 제주바다에, 유리 문진과 달력","3,009,000",601,"500,000",66명
5,5,[스냅툰+로.웹.제]로판 대공님의 성 대저택 12종 패키지,"16,951,000",1695,"1,000,000",129명
6,6,"뇌인지과학 전공생이 그린, <만화로 보는 뇌과학 이야기>","3,532,650",706,"500,000",181명
7,7,"내 손 안에 머무는 별이 따스하다, '별과자기 시온머그잔'","10,188,000",339,"3,000,000",116명
8,8,"몽마르뜨르로 떠나는 기묘한 여행, <파리의 아메리카노>","2,361,200",236,"1,000,000",59명
9,9,탈코르셋 다큐멘터리 '목줄을 끊으려는 여성들에게',"5,875,869",106,"5,500,000",260명
10,10,죽음을 결심한 밤에 찾아온 <나의 상냥한 사신>,"189,000",18,"1,000,000",13명
11,11,4테마 판타지 오브젝트 소재 [SUNDOWN],"78,000",15,"500,000",13명
12,12,책한권으로 330만원 번 모든 노하우/얼리버드 8900원,"704,800",140,"500,000",52명
13,13,믹스커피보다 간편하게! 물에 타먹는 진한 수제식혜 베이스.,"673,000",134,"500,000",24명
14,14,"감성 패브릭 달력! 일년 365일, 고양이로 물들다.","685,700",34,"2,000,000",26명
15,15,마을P.1[공원/주택/빌라/상가/아파트/옥상거리꾸미기소품],"3,870,000",387,"1,000,000",47명
16,16,누구나 호랑이가 될 수 있다 BORN TO BE TIGER,"3,844,000",128,"3,000,000",49명
17,17,[모모링]사랑스러운 아가토끼 아이패드 파우치,"1,223,000",122,"1,000,000",24명
18,18,"남겨진 것들의 아름다움, <발자국 은반지>","1,035,000",206,"500,000",25명
19,19,"그날, 숲이 나에게 전해 줄 기억 <소원 담은 테라리움>","2,296,500",153,"1,500,000",46명
20,20,다시 모인 직장인들의 사진 이어달리기 <사진으로 바톤터치>,"2,592,000",64,"4,000,000",81명
21,21,R-ETROZ: Re-Enter The Room Of Z,"95,000",11,"800,000",9명
22,22,당신에게도 찬란했던 순간이 있나요? 단편만화집 <찬란>,"213,000",10,"2,000,000",9명
23,23,[숏트롱크루즈] 단편영화 세상을 항해하는 3개월간의 여정,"1,968,000",196,"1,000,000",40명
24,24,영감은 '디깅'하고 써먹어야 제맛이니까.,"1,066,900",133,"800,000",43명
25,25,"즐겁고 '짭짤'하게 사는 법, <나의 짭짤한 작은 상점>","1,856,000",80,"2,300,000",78명
26,26,"스카프를 한 매트, Place Your Love Here","1,052,600",52,"2,000,000",10명
27,27,웅수다만의 특색이 담긴 구움과자 6종 세트,"1,198,000",239,"500,000",42명
28,28,상큼한 귤호떡을 집에서도 간편하게 소은 귤호떡 밀키트,"1,114,000",185,"600,000",52명
29,29,국제앰네스티 편지쓰기캠페인 공식 굿즈,"1,328,000",132,"1,000,000",62명
30,30,"당신에게, 2021 당신의 조각을 담아.","1,222,000",122,"1,000,000",13명
31,31,[2022 캘린더] 위기에 처한 동물들을 구해주세요!,"517,900",103,"500,000",24명
32,32,"성장하는 3개월을 만드는 다이어리 [삶, 삼]","1,845,000",92,"2,000,000",52명
33,33,"타임슬립 로맨스 오디오드라마, <사랑은 없는 것처럼>","33,108,000",60,"55,000,000",281명
34,34,"별나라 아이들의 작은 이야기 퍼즐 게임, [루나 스도쿠]","939,000",46,"2,000,000",23명
35,35,"[설탕 걱정없는 맛있는 요리]당빼! 제육볶음, 간장불고기","288,400",14,"2,000,000",6명
36,36,향이 흐르는 곳:[향유] 콘 인센스 홀더,"3,284,000",328,"1,000,000",57명
37,37,[스페셜]웹툰에 최적화 된 엑스트라,"2,144,000",214,"1,000,000",87명
38,38,우리가 '사는' 이유 & 나에게 쓰는 편지,"781,000",156,"500,000",30명
39,39,김아현 싱글 앨범 'A Winter Ago' 제작,"1,163,000",116,"1,000,000",18명
40,40,또 다른 지구의 모습을 담은 엽서북 <oval earth>,"2,195,222",439,"500,000",75명
41,41,1992-2021 우리시대의 에세이스트 <서경식 다시읽기>,"3,683,000",184,"2,000,000",87명
42,42,피천득 문학전집(전7권):금아 피천득선생 서거15주기 기념,"3,470,000",9,"35,000,000",38명
43,43,멸종위기 1급 두루미를 위한 <도로미 팔찌>,"513,000",102,"500,000",25명
44,44,"당신의 손으로 선택하는 소설의 결말, OR PROJECT","870,000",87,"1,000,000",33명
45,45,커피 한 잔 가격으로 만나는 삶의 여유!,"258,000",51,"500,000",24명
46,46,시한부 여배우의 꿈 - 영화 <속절없는 쪽으로>,"2,195,200",36,"6,000,000",36명
47,47,"변함없이 변하는 것들을 담다, <숨;빛 케이스>","94,900",17,"550,000",3명
48,48,대학문학상 수상 창작극 '작자 미상 수정 배포 자유',"80,000",5,"1,500,000",2명
0,0,"화이트 티, 우아한 향에 취할 수 있으니 조심하세요!","3,911,100",782,"500,000",56명
1,1,쏭지니어 버스킹 에세이 <배낭 대신 기타 메고 떠납니다>,"1,440,600",144,"1,000,000",48명
2,2,인연을 놓치고 싶지 않다면 <그게 다 사랑이었나봐요>,"1,210,000",121,"1,000,000",40명
3,3,스케치업 웹툰배경 - 어떤 서커스,"1,430,000",286,"500,000",51명
4,4,진소라의 '숨은 냥이 찾기' 엽서책,"6,339,000",211,"3,000,000",203명
5,5,부산 여행의 추억 <영도 마그넷> 시리즈,"815,000",163,"500,000",29명
6,6,이동책방 북다마스의 기록 <이토록 작은 세계로도>,"5,093,785",339,"1,500,000",189명
7,7,"소소하지만 확실한 전통 패션, 쌍학&쌍호 흉배 양말.","891,000",148,"600,000",27명
8,8,Fitd로 돌아온 판타지 - 포지드 인 던전,"9,088,000",139,"6,500,000",206명
9,9,[그림책] 초등학생들이 밝힌다! IT의 성차별 핫IT슈,"1,065,800",71,"1,500,000",29명
10,10,"나의 일상에 죽음을 선물하다, 청춘유언","1,565,000",44,"3,500,000",79명
11,11,육아라는 팀플에 더이상 무임승차를 거부한다! <부모익힘책>,"4,032,000",161,"2,500,000",78명
12,12,"퍼스널, 퍼사장, 그리고 <나는 왜 말이 많은가>","4,099,000",58,"7,000,000",97명
13,13,산책하는 계절을 간직한 엽서북 < 여기 너를 위한 위로 >,"745,000",149,"500,000",25명
14,14,영도의 원물과 크리에이터의 콜라보.섬.영도영감프로젝트,"607,000",121,"500,000",34명
15,15,신년운세는 어디에서 볼까? 무당은 어떤 직업일까?,"1,328,500",66,"2,000,000",65명
16,16,아파트 단지&집 내부 2종 [웹툰 3D스케치업 배경],"2,800,000",560,"500,000",110명
