,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,내일을 위한 일러스트레이션,"93,959,323",1043,"16,335,000","2,470명"
1,소확행의 시작. 동양의 감성을 사르다. '다반향초 향로',"10,438,000",1043,"16,335,000",276명
2,"내 일상을 더 단단하게 만드는 도구, <컬러루틴 키트>","10,430,050",1043,"16,335,000",387명
3,웹툰 작가와 일러스트레이터를 위한 다양한 소재,"5,215,000",1043,"16,335,000",92명
4,레진코믹스 <여자 제갈량> 2권 단행본 제작,"31,264,000",1042,"16,335,000","1,110명"
5,권학봉의 스트로비스트 코리아 레벨업 마법의 티셔츠,"10,417,000",1041,"16,335,000",276명
6,만 18세 보호종료아동의 홀로서기에 ‘식구’가 되어주세요,"5,203,000",1040,"16,335,000",140명
7,<꽃과 고양이> 봄을 맞는 핸드폰케이스,"5,202,000",1040,"16,335,000",245명
8,"""숨으려는 당신에게, 트라우마 극복 프로젝트""","3,119,000",1039,"16,335,000",296명
9,귀걸이 하나로 수십가지 연출되는 진주 귀걸이 x 벚꽃에디션,"5,198,000",1039,"16,335,000",106명
10,[설 선물세트] 새해 '개꿀잼' 받으세요!,"15,587,200",1039,"16,335,000",275명
11,피부가 먹을수록 팩이 투명해지는 제주새싹삼 콜라겐 마스크팩,"5,194,000",1038,"16,335,000",57명
12,시골 농부와 도시 시인의 생태일기,"10,388,000",1038,"16,335,000",194명
13,세상 모든 고양이를 위한 그림책 <밤을 달리는 고양이>,"10,387,000",1038,"16,335,000",472명
14,스케치업 웹툰 배경 - 서재 5종 Set,"10,387,000",1038,"16,335,000",236명
15,"루이어페일즈 Little, but big [이태리체인반지]","5,193,000",1038,"16,335,000",202명
16,"언젠가는 찾아올, 이미 찾아온 반려동물과의 이별 준비","5,190,500",1038,"16,335,000",249명
17,보드 게임 Hero Detected의 확장판 TIME TWIST!,"15,551,674",1036,"16,335,000",516명
18,웹툰배경 스케치업 중세판타지 내부모음 14종,"5,180,000",1036,"16,335,000",74명
19,그림작가가 그리는 감성 플리츠 조명,"5,178,500",1035,"16,335,000",67명
20,'며느라기' 그 다음 이야기 [곤],"51,710,800",1034,"16,335,000","1,694명"
21,초코말고 카카오: 마시는카카오원액&SUBACO 전용잔,"10,339,000",1033,"16,335,000",314명
22,나만 알고 싶은 결점 없는 피부의 비밀 '미네스트 브러쉬',"10,337,816",1033,"16,335,000",415명
23,[세월호 폰스트랩] 저는 여전히 기억하고 있어요,"4,133,900",1033,"16,335,000",360명
24,삶이 詩장하시죠? 詩럽자의 색다른 전詩 : 무료 詩식회,"1,032,050",1032,"16,335,000",37명
25,"결국, 차였다. 가벼운 오후의 차 Korean Blend","10,316,600",1031,"16,335,000",287명
26,"마야문명의 신비를 그려낸 스카프, 베이어의 첫 번째 이야기","5,116,000",1023,"16,335,000",54명
27,똥손이면 드루와! 퍼프와 브러쉬를 담은 ‘팡팡 브러쉬’,"10,308,200",1030,"16,335,000",332명
28,내 본연의 모습를 찾아주는 향 [틸던],"5,152,500",1030,"16,335,000",92명
29,코스믹호러x제주설화 <오래된 신들이 섬에 내려오시니>,"25,754,802",1030,"16,335,000","1,347명"
30,[앵콜] 인생존맛 돼지특수부위과 훈연삼겹 그리고 와사비 잎,"10,300,200",1030,"16,335,000",354명
31,오늘의 달콤함 속에 수 많은 희생이 있었음을 'ㄱ',"7,210,000",1030,"16,335,000",257명
32,알록달록 풍선껌으로 만든 향수 [레트로 프로젝트],"5,149,300",1029,"16,335,000",146명
33,시각장애인과 내가 함께 예뻐지는 '베리 바스켓 수분크림',"10,293,777",1029,"16,335,000",210명
34,'취미부터 입문자까지 1시간 완성' 비트메이킹 전자책,"3,396,000",1029,"16,335,000",187명
35,스케치업 웹툰배경 느와르풍 배경 세트 3,"5,144,600",1028,"16,335,000",100명
36,메이플 악세사리 잡화상점,"2,057,000",1028,"16,335,000",55명
37,2020 나만의 소원 그리기 : 민화 어반드로잉 키트,"5,141,000",1028,"16,335,000",99명
38,웹툰제작에 필요한 의상 프린팅 소스,"5,139,000",1027,"16,335,000",281명
39,나'착한패션'시작했어! 진짜 퍼 같은 에코퍼 머플러.,"5,137,000",1027,"16,335,000",117명
40,상큼 달달 꾸덕! 플레지르 초콜릿 & 푸르츠 쿠키!,"10,257,500",1025,"16,335,000",243명
41,몰랑이 할로윈 랜덤 피규어 Vol.2 - 몰랑 호러쇼,"10,253,500",1025,"16,335,000",345명
42,"가볍게 수납하고, 깨끗하게 오래쓸 수 있어요. 라이트백 !","10,246,000",1024,"16,335,000",213명
43,"더 쉬운 작곡 입문서, '무림고수 화성학-작곡하는 법'","10,240,000",1024,"16,335,000",310명
44,왓치맨과 DC 유니버스의 만남! <둠스데이 클락>,"20,465,300",1023,"16,335,000",519명
45,[앵콜] 매력을 살리는 스케치업 소품 (헤드&안경&시계),"10,232,000",1023,"16,335,000",257명
46,"그림책 작가 프로젝트 그룹 ""바캉스""의 오늘의 전래 시즌2","19,325,000",1022,"16,335,000",116명
47,스케치업 웹툰배경 컨셉 국립과학수사 연구소,"5,110,000",1022,"16,335,000",146명
48,웹툰 및 만화의 필수요소 액션이펙트!,"10,220,000",1022,"16,335,000",214명
49,동양 물의 정원 트럼프 카드 & 게임 세트,"3,063,500",1021,"16,335,000",126명
50,디자이너와 유투버를 위한 [프리랜서 세금 가이드],"20,418,300",1020,"16,335,000","1,529명"
51,★은하!★-122화,"1,020,000",1019,"16,335,000",105명
52,감성을 자극하는 따뜻한 힐링 게임 [펀자이 한국어판],"10,196,000",1019,"16,335,000",519명
53,독학 레노먼드 - 혼자서도 공부할 수 있는 레노먼드 가이드,"3,058,000",1019,"16,335,000",93명
54,"5만원으로 내 손에 다이아를, 별 빛을 품은 다이아반지","8,154,000",1019,"16,335,000",106명
55,여행하듯 살아보는 이탈리아:혼자서도 맛있고 멋있고 안전하게,"5,094,500",1018,"16,335,000",126명
56,"오롯한 자연이 선물하는 치유의 허브 다발, <스머지 스틱>","10,186,000",1018,"16,335,000",259명
57,세종대왕에 이어 국민 시트러스 향수 신사임당 오드퍼퓸,"5,088,000",1017,"16,335,000",106명
58,카카오99% 다크초콜릿의 진한 향기 [레트로 프로젝트],"5,086,500",1017,"16,335,000",120명
59,"쏟아지는 총알과 짜릿한 손맛, 불릿","30,518,300",1017,"16,335,000",516명
60,"별과 달, 피에로 : 도밍의 일러스트 다이어리 / 달력","71,198,600",1017,"16,335,000","1,567명"
61,스포츠 포즈집 [Enable Toon],"10,170,000",1017,"16,335,000",145명
62,[스케치업 웹툰배경] 뮤직 페스티벌 / 소공연장 / 소품,"10,169,000",1016,"16,335,000",152명
63,"럭키백(lucky bag), 한국적인 비단 흑록 버킷백","10,168,250",1016,"16,335,000",160명
64,미세플라스틱 걱정없는 식물 수세미와 나무 스펀지의 만남,"5,081,000",1016,"16,335,000",212명
65,5월엔 페미니스트 엽서를,"5,080,000",1016,"16,335,000",275명
66,만약 내일이 당신의 마지막 날이라면 <유언장 KIT>,"10,154,500",1015,"16,335,000",529명
67,단청 디자인을 만난 세척쉬운 실리콘 빨대와 드링크 백,"5,077,000",1015,"16,335,000",192명
68,2022년도 <냐한남자>와 함께하시오! 캘린더&다이어리!,"101,539,850",1015,"16,335,000","3,664명"
69,세상에서 제일 예쁜 인테리어 무선충전기 <게이즈온 포 홈>,"5,073,500",1014,"16,335,000",122명
70,［스케치업 웹툰배경］-아파트&빌라 (주거공간 배경),"10,140,000",1014,"16,335,000",104명
71,마더그라운드 스니커즈,"101,391,486",1013,"16,335,000",872명
72,해발 1200m 강원도 백두대간에서 채취한 진짜 꿀,"10,130,000",1013,"16,335,000",183명
73,흔한 선크림 No! 초순수 그린등급 유기자차 등장이오~,"5,064,000",1012,"16,335,000",122명
74,유기견들의 겨울을 밝히는 '소이 메시지캔들',"7,595,029",1012,"16,335,000",329명
75,좋은 디자인을 위한 레이아웃 카드 100 국문판,"30,373,500",1012,"16,335,000","1,343명"
76,"반짝이는 나날을 부탁해, 미드썸머 주얼리키트","3,037,000",1012,"16,335,000",118명
77,한번은 나올법한 원샷 웹툰배경5 옥탑과 반지하 그리고 빌라,"5,060,000",1011,"16,335,000",177명
78,동양의 용 & 서양의 드래곤 모음집! <용도감>,"30,343,000",1011,"16,335,000","1,581명"
79,3D펜 장인 [사나고] 후드&맨투맨,"30,340,000",1011,"16,335,000",427명
80,웹툰 & 일러스트 활용소재 1탄 - 구름,"10,110,000",1011,"16,335,000",253명
81,[앵콜] 어딘가 새로운 진주,"2,022,000",1011,"16,335,000",65명
82,"변하지 않는 마음을 담아, 요나폿의 휘낭시에","3,032,000",1010,"16,335,000",79명
83,아이스와인에 빠진 넥타린 <Hello Stranger>,"5,053,000",1010,"16,335,000",137명
84,3D 홀로그램 / HUD 사이버 펑크소재 / 우주 정거장,"10,105,000",1010,"16,335,000",162명
85,여행 그 소중한 순간은 미토도 도난방지 가방과 함께,"10,102,800",1010,"16,335,000",191명
86,"초콜릿이 빛나는 밤에, 반고흐초콜릿","5,051,000",1010,"16,335,000",87명
87,"반려묘를 위한 똑똑한 자동 화장실, 플루토 '서클제로'","201,890,000",1009,"16,335,000",564명
88,앵콜! 파우더보다 더 부드러운 SOFF파우더담요,"2,018,700",1009,"16,335,000",72명
89,"그대로도 괜찮아, 장애 아동을 위한 '그대로 괜찮은 쿠키'","10,088,201",1008,"16,335,000",390명
90,게이군인 색출 피해자를 돕는 무지개 뱃지 : 리임,"10,086,400",1008,"16,335,000",531명
91,"네이버 인기연재작 ""공주는 잠 못 이루고"" 출판","35,297,100",1008,"16,335,000","1,124명"
92,"그 어떤 나에게도 자연스러운 가방, e.ut","10,081,000",1008,"16,335,000",298명
93,"웹툰과 일러스트 속 모바일, PC, TV 화면 리소스","10,078,000",1007,"16,335,000",310명
94,다시는 잊혀지지 않을; 우토로 북보틀,"10,072,700",1007,"16,335,000",571명
95,"당신 옷에 파란 향기를 선물해요, 섬유 유연제 향 섬유향수","5,036,000",1007,"16,335,000",411명
96,조금은 특별한 '초커 목걸이 & 블라우스',"5,035,000",1007,"16,335,000",164명
97,당신을 비추는 신비로운 스테인드글라스 [귀걸이&목걸이],"6,041,111",1006,"16,335,000",99명
98,[센트뮤제]숲 속 자연의 향기를 담다,"5,034,000",1006,"16,335,000",77명
99,스케치업 웹툰 배경 - 스몰 바 & 펍 5종 Set,"10,060,000",1006,"16,335,000",254명
100,특별한 너에게-발렌타인데이 with 리듬앤바디,"5,030,000",1006,"16,335,000",162명
101,판타지의바이블-세계최초백과사전 <플리니우스박물지>번역완료!,"30,179,500",1005,"16,335,000",391명
102,(투닥토닥) 스케치업 프로젝트 No.4 _ 이자카야/일식당,"10,050,000",1005,"16,335,000",262명
103,락음악과 저항문화를 담은 스웨트셔츠,"10,049,000",1004,"16,335,000",145명
104,자몽 덕후들을 위해 더욱 상큼하게 돌아온 '리얼 자몽향수',"5,022,500",1004,"16,335,000",88명
105,"판타지의 원류를 만나다, 『로도스도 전기』 25주년 기념판","100,388,000",1003,"16,335,000",806명
106,2020 크림히어로즈 다이어리 & 캘린더,"200,657,777",1003,"16,335,000","7,509명"
107,[REDBOX 스케치업 웹툰 배경] 공사장 / 전철 지하도,"10,030,000",1002,"16,335,000",131명
108,"계절을 담다, 사계절 열매 썬캐쳐","702,000",1002,"16,335,000",15명
109,"<인디자인 북디자인>초보자도 쉽게, 북디자인을 위한 필독서","10,027,000",1002,"16,335,000",388명
110,"내일도 모레도 시들지 않는, 행복의 토끼풀꽃 주얼리","6,013,000",1002,"16,335,000",97명
111,미스터리 게임 회색도시 : 공식 OST 제작!,"30,063,721",1002,"16,335,000","1,959명"
112,"매일 아침 작가의 에세이 한 편, 책장위고양이 12월","10,020,100",1002,"16,335,000",460명
113,투니캣의 비주얼 소스-웹툰 엑스트라vs이펙트,"4,008,000",1002,"16,335,000",91명
114,[호작도] 새해에는 차를 시작해보세요.,"5,007,000",1001,"16,335,000",109명
115,"스며드는 향멍의 세계, 불멍을 재해석한 향수 2종","10,011,000",1001,"16,335,000",165명
116,스케치업 웹툰배경-[혜화역/마로니에공원/아르코예술극장],"10,010,000",1001,"16,335,000",183명
117,"동양 시크, 우리 태를 담은 <코듀로이 셋업>","10,009,000",1000,"16,335,000",59명
118,책의 한계를 없애는 FACE COLORING,"15,007,500",1000,"16,335,000",381명
119,움직이는 모든 것은 교통이다,"10,001,000",1000,"16,335,000",206명
120,"당신의 소소한 달콤함, 요나폿의 디저트 박스","2,997,000",999,"16,335,000",77명
121,3.1운동 100주년 기념. 오얏꽃 뱃지,"2,996,500",998,"16,335,000",225명
122,"[더센트] 그린 아쿠아, 진짜의 향기","4,993,000",998,"16,335,000",100명
123,털털한 집사의 털제거 성공기,"9,967,000",996,"16,335,000",386명
124,"파도, 작정했다 국민떡볶이!!!","4,980,300",996,"16,335,000",193명
125,미츠노카카오의 베스트셀러 마시멜로우쿠키3종,"1,992,000",996,"16,335,000",65명
126,"월간커피, 여름을 위한 달콤한 과일 같은 콜드브루 커피","4,978,000",995,"16,335,000",302명
127,시멘트 폐공장,"9,950,000",994,"16,335,000",101명
128,"가을 · 겨울에는 미니미니한 데일리 가방, 골덴 큣큣백","4,973,000",994,"16,335,000",119명
129,웹툰배경 서울외경 여의도(pc수정),"9,945,000",994,"16,335,000",153명
130,"한국의 아름다움 두번째 시리즈, 일월오봉도 지갑","29,812,500",993,"16,335,000",759명
131,[비누향수 솝피] 딸기로 비누를 만들면? 딸기비누퍼퓸,"4,968,000",993,"16,335,000",129명
132,이달의 떡볶이-치즈떡볶이,"4,967,200",993,"16,335,000",160명
