,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
60,"2022년, 꽃길만 걷자! 조선의 꽃을 담은 [복조리백]","1,387,300",277,"500,000",40명
61,"<마담 보바리>, 이브 생로랑의 옷을 입다.","4,380,000",146,"3,000,000",98명
62,"감싸안고 싶은 포근함, 호텔에서 느껴본! 4계절 고밀도침구","2,532,850",506,"500,000",13명
63,"소중한 반려동물, 펫 유산균으로 챙기는 장 건강","946,000",189,"500,000",11명
64,MZ세대의 진로 고민 워크북 <그래서 난 뭐하지?>,"1,904,000",317,"600,000",91명
65,반전매력! 순수하고 음란한 연인들의 앤디카드,"2,395,000",299,"800,000",90명
66,"버려진 오렌지 껍질에서 발견한 희망, 제3회 구지독립영화제","1,619,000",107,"1,500,000",70명
67,웹툰 필수 등장 배경! 다양한 디자인의 복도 총출동!,"7,804,200",1560,"500,000",264명
68,[배경키트X스냅툰] 웹툰 로판 대저택 세트,"16,840,000",1684,"1,000,000",158명
69,마음이 비치는 { 이음 우체국 },"8,007,000",320,"2,500,000",87명
70,하얗고 포근한 눈을 닮은 살냄새 향수 <스노이>,"3,314,500",662,"500,000",75명
71,여성의 공포와 불안을 쓰다,"6,583,000",658,"1,000,000",108명
72,"새로운 한해를 꽃향기로 채워줄, 베스트 오프 파나마 게이샤","490,000",98,"500,000",9명
73,후가공 박을 한 곳에 담다! 2022 쿠르즈 컬러 시스템,"4,670,000",934,"500,000",123명
74,"세레노 정규 5집, MY WAVES","34,139,225",426,"8,000,000",439명
75,모두의 추리로 완성되는 마피아 게임 [죄수들의 밤],"21,359,900",711,"3,000,000",646명
76,포토샵과 일러스트레이터로 세상 모든 굿즈 만들기,"2,800,000",560,"500,000",81명
77,스케치업 자연물 3종,"14,248,000",1424,"1,000,000",281명
78,"안기고 싶도록 따뜻한 향기, 니티허그 향수","9,700,000",969,"1,000,000",198명
79,앙큼한 소녀들의 필수템! 핑크빗치클럽 6공 다이어리 패키지,"25,943,300",370,"7,000,000",587명
80,"빛을 따라 기록한, <LIGHT> 엽서북과 아크릴포스터","5,143,000",1028,"500,000",164명
81,북디자이너와 함께하는 <내책 만들기 나의 워크북>,"4,744,000",948,"500,000",174명
82,"따뜻하고 아름다운 힐링 판타지, <소원을 이루어주는 섬>","4,451,000",445,"1,000,000",303명
83,"악몽을 먹어드릴게요, '불가살' 중치막 로브","18,525,000",926,"2,000,000",148명
84,동남아 향취를 가득 담은 '미얀마 코코넛밀크 국수' 밀키트,"2,716,600",271,"1,000,000",118명
85,초능력자들이 사는 곳<도시>,"8,695,000",57,"15,000,000",373명
86,몽실몽실 보들보들 <피누&마요> 겨울 콜라보 굿즈,"12,273,000",818,"1,500,000",318명
87,"' 신에게 선택받은, 단 하나의 부족 ' <PRAY>","1,240,000",82,"1,500,000",53명
88,한 달에 300만원 네이버 카페로 평생 월세받기,"2,840,750",568,"500,000",98명
89,나 요즘 어떻게 지내? 나에게 답하다. <셀프카운슬링북>,"9,907,200",1981,"500,000",221명
90,"옛 것의 새 활용, 한복 곱창밴드","2,702,200",540,"500,000",248명
91,[은목서] 오스만투스 블라썸 '파퓸드블랑',"4,253,000",850,"500,000",96명
92,"매일 손이 가는 한복, '라빔 마고자& 단청바지'","658,000",65,"1,000,000",7명
93,"누가 왕이 될 상이냐, <일월오봉도> 페이퍼 아트 액자","354,000",6,"5,400,000",7명
94,"미안,.내가 붕어빵 다 먹었다옹. 먹보냥 에어팟케이스","1,940,600",64,"3,000,000",93명
95,"일러스트, 웹툰을 위한 아르누보풍 유니크 브러쉬","14,406,000",1440,"1,000,000",399명
96,"동양을 담은 관능 한방울 ""오리엔탈 로즈&베일""향수","9,527,500",952,"1,000,000",182명
97,나만의 향을 담다 : 스톤디퓨저 [담향],"2,985,000",298,"1,000,000",41명
