title,category,current_funding_amount,percentage,target_funding_amount,supporter
"짐볼로 만든 인형, '돌리볼리'",캐릭터 · 굿즈,329000,8,4112500,6명
"함께 만드는 악기 전문 웹진, <The Strings>",출판,701000,14,5007100,27명
감사한 분들께 드리는 마음을 담을 고급 가죽 봉투,디자인 문구,0,0,0,0명
마다가스카르 사진전,사진,2322000,38,6110500,54명
인형의 시간들,출판,727000,36,2019400,29명
"나무로 만든, 만년달력 연필꽂이",디자인 문구,128000,19,673600,4명
생활의 바다에서 플라스틱 쓰레기를 없애는 [바벗 카드지갑],잡화,337000,42,802300,10명
달파란 첫번째 일러스트 아트북,출판,575000,19,3026300,26명
ROPEAN의 첫 번째 프로젝트; TEXAS TRUCK,잡화,2790000,79,3531600,29명
우리 아이 첫 성교육 지침서,출판,26000,2,1300000,2명
화투로 니냐노 놀아보자!,홈 · 리빙,879000,58,1515500,36명
여름에 자유를 더하다! FREEDOM 일러스트 면 티셔츠,의류,974000,18,5411100,31명
고양이왕 뱃지와 기타 굿즈 제작,캐릭터 · 굿즈,641000,98,654000,47명
2021 미니멀라이프 이태리 베지터블가죽 핸드폰 카드지갑,잡화,154000,30,513300,4명
나만의 옷을 만들자!,의류,5000,0,0,1명
길고양이 캐릭터 마마마 굿즈 만들기!,캐릭터 · 굿즈,570000,19,3000000,20명
"당신만을 위해 제작하는, 버블 이니셜 목걸이",주얼리,112000,37,302700,4명
「 바라보다; 자폐성 장애 인식 개선 전시회 」,예술,42000,5,840000,5명
"고민하는 크리스챤을 위한, 기억하고 기도하기 위한 뱃지",잡화,26000,1,2600000,3명
내 방안의 작은 겨울 - 핸드메이드 월행잉,홈 · 리빙,75000,15,500000,3명
소비자와 광고주가 원하는 진짜 광고플렛폼 !!,테크 · 가전,100000,1,10000000,1명
비싼 이어폰! 관리 제대로 하고 계신가요?가죽 이어폰케이스,잡화,822000,41,2004800,48명
눈꽃과 함께 찾아온 겨울새 뱃지,캐릭터 · 굿즈,134500,26,517300,13명
"어른이를 위한 칭찬스티커판, [라이크플로우판]",캐릭터 · 굿즈,207500,41,506000,3명
"판타지 비주얼 노벨 게임 <블루문 파크>, PC판 출시!",디지털 게임,1168000,38,3073600,30명
판타지 랜덤 디펜스 모바일,디지털 게임,20000,4,500000,3명
특별하고 소중한 한 권의 책을 위한 '한 곳',홈 · 리빙,375000,6,6250000,6명
나의 여름을 더 빛내줄 매력적인 일러스트 비치타올,잡화,205000,3,6833300,8명
리이슈 코리아 아트페어: 서울,예술,370000,1,37000000,29명
"당신을 위한 평생 친구이자 특별한 선물, 아토",테크 · 가전,1281000,3,42700000,20명
1장 그림책 '복숭아는 복숭복숭' 만들기,예술,18000,2,900000,1명
"멸종 위기 동물 뱃지, '라니'와 '네오'",캐릭터 · 굿즈,417000,26,1603800,32명
멸종위기동물 뱃지 WITH US,캐릭터 · 굿즈,255000,17,1500000,14명
웹툰배경 스케치업-모던 단독주택,웹툰 리소스,87000,17,511700,3명
박현종의 겨울콘서트 <마음>,음악,417000,8,5212500,8명
무농약 자색 양파를 (즙즙즙),푸드,180000,5,3600000,2명
인류의 절반은 생리를 한다. 그림 에세이 <생리 중이야>,출판,707000,47,1504200,29명
웹툰 배경 스케치업- 단독주택 및 주거공간,웹툰 리소스,207000,41,504800,9명
"내 손안의 작은 숲, 이끼 테라리움",홈 · 리빙,39000,3,1300000,1명
"생각 많은 밤, 5가지 후드티",의류,0,0,0,0명
영화 배뱅이굿 사전제작비,영화 · 비디오,3894000,1,389400000,32명
"인장이와 인정이는 지금 휴가중! ""선인장 뱃지""",캐릭터 · 굿즈,361000,12,3008300,13명
Would you like 우주?,디자인 문구,383400,38,1008900,12명
뭉글뭉글 고양이 뱃지,잡화,502000,27,1859200,29명
소아암 환아들의 러브하우스,캐릭터 · 굿즈,328500,20,1642500,13명
"스누지의 귀여운 일러스트 캐릭터, 키링과 에어팟케이스 !",잡화,47500,11,431800,4명
제8회 목포인권영화제 「새로고침」,영화 · 비디오,310000,10,3100000,5명
심플하면서 따뜻한 2021년 강아지 일러스트 달력,디자인 문구,358000,51,701900,9명
「변변찮은 마술강사와 금기교전」애니 종영기념 메모리얼 세트,영화 · 비디오,0,0,0,0명
"✧하트가챠뱃지, 랜덤으로 행복뽑기✧",잡화,222000,44,504500,20명
"나의 안전한 작은 공간, PVC 에어캡 파우치",잡화,240000,48,500000,12명
국내 최초 채식하는 호랑이! 당근이 굿즈 3종 세트,캐릭터 · 굿즈,144000,28,514200,8명
나의 여행을 소중하게 FRAGILE 스티커 세트,캐릭터 · 굿즈,30000,6,500000,3명
"민화를 뛰쳐나온 고양이, 전통의 미를 담은 노트북 파우치",잡화,365500,24,1522900,13명
"'왕따', 우리 모두는 가해자가 될 수 있다",음악,390000,16,2437500,8명
저희의 예술성을 알려주세요 서울오케스트라 X 프로젝트 아더,잡화,749000,37,2024300,7명
20살 졸라맨 기념주화 뱃지 제작,캐릭터 · 굿즈,114000,11,1036300,6명
내 고양이의 귀여움을 기록하는 노트 <귀여운 내 고양이>,디자인,308000,44,700000,17명
[네코장] 핑크빈의 일상 피규어,캐릭터 · 굿즈,225000,22,1022700,5명
전통문양 문창살 실버&가죽 팔찌,잡화,180000,36,500000,2명
콩냥콩냥 뱃지,캐릭터 · 굿즈,1142800,57,2004900,57명
Toast it! 빵덕후들을 위한 필수템,캐릭터 · 굿즈,156000,7,2228500,6명
우리집 고양이 소리를 녹음/재생할 수 있는 <부르냥 키링>,잡화,401000,2,20050000,17명
"우리 막내, 꽃길 뱃지와 꿈 뱃지",캐릭터 · 굿즈,159000,6,2650000,7명
"윤리적 소비를 실현시키는 공정무역 스티커, 뱃지",잡화,5000,0,0,1명
"찐찐 만두, 만두토끼 인형",캐릭터 · 굿즈,1153000,46,2506500,27명
하나되는 대한민국,잡화,57000,3,1900000,4명
<모든 글쓰기> 온라인 강의,출판,30000,3,1000000,1명
마법과 마녀의 이야기 <마녀의 비밀일기>,출판,2224500,63,3530900,100명
"유관순열사 뱃지, ""대한 독립 만세""",캐릭터 · 굿즈,96000,24,400000,10명
웹툰 스케치업 얼굴 표정,웹툰 리소스,130000,13,1000000,3명
자막없이 미드를 보고 싶어?《미드 속 영어표현》을 배워봐!,출판,316700,63,502600,26명
빛나는 우리말 반지 [두번째],주얼리,791500,79,1001800,14명
스케치업 웹툰 소품 - 안경,웹툰 리소스,235500,23,1023900,7명
[디즈니 정품] 토이스토리 체인 핀뱃지,캐릭터 · 굿즈,522000,26,2007600,13명
초보를 위한 변형짧은뜨기 '쉼표 목도리',잡화,80000,20,400000,2명
"데노메 & 단춤과 함께하는 빵 배달, 브레드백",잡화,105000,10,1050000,2명
"thanks to you, Jane",캐릭터 · 굿즈,123000,4,3075000,2명
"'미스터G 앤 팬더' 모찌 인형, 키링",캐릭터 · 굿즈,580000,48,1208300,28명
웹툰 <테러맨> 공식 굿즈,웹툰 · 만화,3420000,13,26307600,44명
다정한 일러스트 머그컵:외롭지 않은 겨울을 위하여,홈 · 리빙,73000,7,1042800,3명
멕시코 화가를 주제로 한 창작극,공연,205000,41,500000,9명
별 하나에 어머니,출판,2707000,90,3007700,16명
"[키링,노방백] 한여름에도 싱그러운 플라워 노방백",잡화,478000,95,503100,14명
"아티스트들이 만드는 핸드폰 케이스, '아티펑크'",잡화,80000,16,500000,2명
희망의 매리 메리 크리스마스,잡화,711500,35,2032800,44명
당신의 애버리지를 높여줄 어벤져스가 왔다!,출판,760000,76,1000000,29명
심플함과 고귀함 `Cross BallCap`,잡화,168000,8,2100000,4명
"위로, 괴로움을 씻어주고 마음을 즐겁게 함",출판,634000,31,2045100,21명
"플라스틱, 비닐 사용 줄이기 캠페인_뱃지 & 에코백",캐릭터 · 굿즈,739000,49,1508100,42명
유튜버 커뮤니티 사이트,테크 · 가전,1000,0,0,1명
"마음이 쌀쌀할 땐, 국밥 한그릇 뱃지",캐릭터 · 굿즈,262000,29,903400,20명
"별거없는헌법 별일없는우리, 편하게 누워서 보는 헌법 책",출판,888000,42,2114200,34명
단 하나뿐인 당신의 스터디 파트너- ‘공양미 플래너’,출판,633959,57,1112200,34명
탐테 (Tamte) - 페스티벌 실시간 라인업 알림앱,테크 · 가전,645000,25,2580000,10명
"3월의 봄을 담은, 여명의 결정 뱃지와 주얼리트레이",캐릭터 · 굿즈,782000,43,1818600,37명
"지지않고 피어나는 꽃처럼, jewelry garden",주얼리,172000,34,505800,4명
"남성향 수인 연애 시뮬레이션 '그리고, 다시 봄'",디지털 게임,983000,39,2520500,18명
‘여름은 무지개빛’ 텀블러백,잡화,413000,41,1007300,23명
"후회 없는 소비를 위한 ""감정 비용 노트""",디자인,236000,33,715100,18명
국가순위만 알아도 당신은 똑똑 대장,출판,321000,64,501500,24명
몰아서 하는 효도; 어버이날 선물 카네이션 올인원 세트,홈 · 리빙,388000,7,5542800,17명
투명함; 당신의 색으로 채우기를,잡화,16500,0,0,2명
[연극] 환경을 사랑하는 북극곰과 책 속 여행을 떠나요!,공연,300000,6,5000000,1명
종이와 글(=Book)의 가치를 아는분과 함께하는 독서굿즈,캐릭터 · 굿즈,228000,6,3800000,9명
"반려동물과의 추억을 담는 드로잉북, <반려동물 다이어리>",출판,717000,39,1838400,29명
동주 뱃지 ; 시인 윤동주를 새기다,캐릭터 · 굿즈,187000,37,505400,14명
크리스마스 준비는 내손에서 시작되었다. '눈꽃향초' DIY,홈 · 리빙,178000,17,1047000,8명
