,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,"잠 못 이루는 밤, 웰니스나잇을 위한 <미드나잇 원더랜드>","3,193,000",319,배송 완료,70명
1,"소설 <유리, 바다> - 바다가 되면 숨이 막히지 않겠지","3,193,000",319,배송 완료,132명
2,장핀 다람쥐뱃지 Chipmunk Badge,"1,117,500",319,"350,000",62명
3,"서울예대 광고창작 동아리 광끼 26번째 잡지, <세미콜론>","1,277,000",319,배송 완료,34명
4,"<혹시, 산부인과 가봤어?> 소책자 앙코르 인쇄","11,173,000",319,"3,500,000",930명
5,아이디어 캐쳐 : 떠아,"1,596,000",319,배송 완료,103명
6,스케치업 내맘대로 움직이는 3D해골병사,"1,595,000",319,배송 완료,36명
7,시간이 생명인 작가님을 위한 디지털소스 '생활 포즈집',"3,190,000",319,배송 완료,67명
8,"지친 일상 속의 빛 ""Afternoon Tea Party""","3,190,000",319,배송 완료,51명
9,결국 퇴사할 수 밖에 없는 <공채형 인간>,"3,189,812",318,배송 완료,112명
10,북유럽 숲을 담은 조립형 가랜드 [감성캠핑 장식],"1,594,700",318,배송 완료,33명
11,일러스트레이션 전시 프로젝트 <HEART ACTION>,"3,189,000",318,배송 완료,129명
12,[웹툰 스케치업] 판타지 비밀의 숲,"3,189,000",318,"1,000,000",62명
13,"눈처럼 하얀 고양이들을 위한 뱃지, 예쁜만큼 더 아껴주세요","3,188,000",318,배송 완료,251명
14,우리에겐 편식 할 자유가 있다. '편식 뱃지',"1,275,000",318,배송 완료,117명
15,기분에따라 다른색으로. 담수진주 목걸이,"1,593,000",318,배송 완료,53명
16,발 끝이 시리지 않는 따뜻한 울 양말,"3,186,000",318,"1,000,000",116명
17,"[1919, 기억을 입다] 대한민국을 기억하는 티셔츠","3,185,000",318,"1,000,000",80명
18,< Slice of 'M' > : 라이티스트 사진엽서,"796,176",318,배송 완료,71명
19,피치못할 복숭아 모찌 인형 ver.2,"3,184,500",318,배송 완료,139명
20,지워선 안될 우리의 역사! 게임 '웬즈데이',"95,533,000",318,"30,000,000","3,551명"
21,영원한 봄의 나라 솔롤라에서 온 가방,"3,184,000",318,"1,000,000",37명
22,"만지기 좋은, two-way 모꼬지 매듭 가방","3,183,500",318,배송 완료,75명
23,"사고력 복원 프로젝트 - 영문법 다시 읽기, 명사와 수식어","4,774,777",318,"1,500,000",98명
24,해미~페미~만물: 정확한 이해를 돕는 손수건 외 2종,"1,591,000",318,배송 완료,133명
25,hEY YOU!! 마카롱은 !! hEY ME!!,"1,591,000",318,"500,000",99명
26,회화재료를 다룬 '예술가의 도구설명서',"3,181,000",318,"1,000,000",141명
27,마법진 이펙트 소스,"3,181,000",318,배송 완료,160명
28,카라 더봄센터 아카이브북: 동물의 집을 짓다,"6,361,000",318,배송 완료,208명
29,"죽음에 매혹된 사진가의 이야기, 소설 <쿠조(KUJO)>","3,180,000",318,배송 완료,153명
30,남자친구가 사라졌다 <거꾸로 하는 날>,"4,766,990",317,"1,500,000",78명
31,"사서인식개선프로젝트 2018 소식지 ""사소""","1,588,777",317,"500,000",140명
32,머니머니해도 '재물운 굿즈 컬렉션',"3,177,300",317,배송 완료,73명
33,"[내가 쓰려고 만든 향수] 지금, 사랑하고 있나요?","3,177,000",317,배송 완료,104명
34,"<럭키백>, 가장 고전적인 오늘의 가방","4,765,200",317,배송 완료,81명
35,뉴트로 무드 '레트로 보타니컬 플라워 시리즈',"1,588,200",317,배송 완료,28명
36,"너와 나 우리의 이야기, 연극 <82년생 김지영>","1,588,000",317,"500,000",135명
37,대형트럭세트와 물류창고,"3,175,000",317,배송 완료,51명
38,청량한 바닷바람을 타고 울리는<조개풍경>,"1,587,000",317,"500,000",33명
39,MAKF 한글 폰트,"3,808,000",317,배송 완료,106명
40,아버지들의 이야기를 이야기합니다 <THE NEW GREY>,"952,000",317,"300,000",25명
41,"후가공 박 견본집 'Gold, Silver, More'","20,618,000",317,배송 완료,884명
42,SDGstory: 동화책으로 들려주는 세계시민교육 이야기,"3,806,000",317,배송 완료,128명
43,"""귀여운 황제펭귄"" 페페리코 랜덤 피규어 Vol 4,5","9,512,000",317,배송 완료,161명
44,취향이 특별한 너에게딱!! 마시는 초콜릿^^,"2,536,500",317,"800,000",93명
45,[사진에세이/전자책] 오늘도 덕소로,"317,000",317,배송 완료,42명
46,고전풍 로맨스 악세서리 for 웹툰 / 일러스트,"3,170,000",317,배송 완료,112명
47,컵홀더와 드링크백을 하나로 '2 in 1 드링크백',"951,000",317,배송 완료,41명
48,셀프네일러들을 위한 '워터컬러 네일데칼',"951,000",317,배송 완료,52명
49,"스케치업 웹툰 배경, 고속도로 휴게실+휴게실 음식+ 주유소","3,170,000",317,"1,000,000",101명
50,따뜻한 겨울을 2가지색상의 울목도리와 함께,"1,584,800",316,배송 완료,53명
51,"독도를 사랑하는 당신에게, '독도고래 뱃지'","6,339,000",316,"2,000,000",494명
52,"(앵콜) 단순함의 미학, 노리타케 핸드폰 케이스","3,169,300",316,"1,000,000",65명
53,[드라이에이징] 특허 받은 드라이에이징 소등심과 목살,"1,584,600",316,배송 완료,44명
54,여행의 설레는 마음을 담은 ♡ 여행자 뱃지,"3,802,270",316,"1,200,000",147명
55,아그아그들이 서리한 당근 데려가세요!,"1,584,200",316,"500,000",89명
56,"다시 여름, 일상을 달달하게 만들어줄 크림투피스","1,584,000",316,배송 완료,15명
57,[피노키오 프로젝트] 심신 안정과 스트레스를 해소하세요.,"1,583,800",316,배송 완료,54명
58,한나네 유기견 보호소 프로젝트:) 유기견 엽서 책,"3,167,300",316,"1,000,000",144명
59,두유로 만든 비건밀크티,"1,583,100",316,배송 완료,62명
60,포포포 매거진 No.04 <Dearest daughter>,"3,166,000",316,배송 완료,89명
61,내 컵에 딱 맞는 “002 사이즈 컨트롤 드링크백”,"1,583,000",316,배송 완료,91명
62,<하나도 예쁘지 않은 여행책 > 아프리카 여행 수필,"1,899,500",316,"600,000",50명
63,새콤달콤 케찹 & 머스타드 뱃지,"2,849,000",316,배송 완료,173명
64,당신의 초경을 응원합니다 'CHEER YOUR LIFE',"5,698,000",316,"1,800,000",370명
65,어서와 뇌과학 굿즈는 처음이지?,"949,590",316,배송 완료,63명
66,"현대인의 필수 고양이서, '흑백 고양이들'","2,532,000",316,배송 완료,89명
67,"아름다운 별자리를 수놓은 트럼프 카드, 황도십이궁","9,494,404",316,배송 완료,332명
68,"명상이 처음이라면, 멍상 여행 키트","3,163,500",316,배송 완료,79명
69,"뱃지, 한국의 민화 시리즈 (1)","3,163,000",316,배송 완료,121명
70,블루샤크의 걷는상어 샥 봉제인형,"15,812,893",316,"5,000,000",442명
71,다이아몬드? 그거 별거 아니야 우리도 낄 수있어!,"4,743,000",316,"1,500,000",25명
72,삶과 죽음을 다룬 이야기 <자살클럽1> 단행본 제작,"1,581,000",316,배송 완료,103명
73,'MazM: 오페라의 유령' 금속뱃지를 소개합니다,"6,324,000",316,"2,000,000",241명
74,회사 밖은 지옥? 퇴사 말고 사이드잡,"3,161,800",316,배송 완료,152명
