,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,소셜 미디어 속의 익명들 '언네이머스',"9,000,000",180,배송 완료,277명
1,"자연을 담은, 패브릭포스터 <Mongolian Road>","1,800,000",180,"1,000,000",39명
2,Save The Ocean <바다거북을 구해주세요!>,"720,000",180,배송 완료,65명
3,내 맘 알아주는 속담 책 x 속담 다이어리 꾸미기 세트!,"540,000",180,배송 완료,17명
4,모두의 건축,"4,500,000",180,"2,500,000",104명
5,마비노기 테마 액세서리 네코제 with.Lovely Mix,"360,000",180,배송 완료,10명
6,F1레이싱카툰-일요과속극장-39화,"270,000",180,배송 완료,28명
7,나만 없어 사랑하는 개: 박솔뫼의 소설 + 커피 + 산책,"5,399,027",179,"3,000,000",171명
8,완벽한 봄나들이를 위한 TMI 질문 카드 게임,"1,799,000",179,배송 완료,70명
9,"인구소멸지역의 잊혀져 가는 문화재, 마을유산찾기","1,079,000",179,배송 완료,34명
10,우리 아이의 이야기를 세상에 하나뿐인 동화책으로,"1,079,000",179,"600,000",37명
11,<서울의 지하철> 20세기 서울 지하공간의 탐색,"5,394,000",179,배송 완료,148명
12,"세상을 꼬집는 창작뮤지컬, 파란:우리를 위한 학교","809,000",179,배송 완료,38명
13,볼빵빵 깜찍감성 뚱냥이 <냐냐>의 모든것,"719,000",179,배송 완료,17명
14,비오는날이 기다려지는 <WHOIN umbrella>,"2,696,000",179,"1,500,000",52명
15,연남동 덤앤더머 데뷰 앨범,"3,594,000",179,"2,000,000",50명
16,"<부산대 극회 정기공연> 대학생 연극, '빵'","1,796,832",179,배송 완료,79명
17,"추운 겨울 집에서 즐기는 진저라떼, '진저시럽'","1,796,800",179,"1,000,000",42명
18,꿈속 이야기 ' 드림로즈 ',"538,800",179,배송 완료,28명
19,포장소재와 폐타이어 신발로 만든 스타일리시 멀티백.,"1,795,000",179,배송 완료,19명
20,웹툰 <1598> 시즌1,"5,385,000",179,"3,000,000",39명
21,이화 총연 가을공연 연극 <장미의 성>에 어서 오세요,"1,077,000",179,"600,000",58명
22,"두번째 이야기로 돌아온, 가담항설 웹툰 오디오드라마 시즌2","224,297,000",179,"125,000,000","1,967명"
23,"Google비서 따라 만들기, 코딩 몰라도 시작.!!","1,256,000",179,"700,000",39명
24,"뛰다 아카이빙 주간 ""뛰다, 멈추다, 묻다""","5,382,000",179,배송 완료,52명
25,대화로 풀어나가는 45가지 상황의 딜레마 < 이프 >,"1,794,000",179,배송 완료,76명
26,2020년 좋은 일들이 생기는 '끌어당김달력'-소사장소피아,"1,794,000",179,배송 완료,63명
27,학교에 가지 못하는 여자 아이들,"1,794,000",179,"1,000,000",80명
28,한 사진을 열두 명의 시로 읽기 <시차: 사진과 시>,"1,435,000",179,배송 완료,114명
29,"환경을 위한 첫 걸음, 생분해 폰케이스 <Mariposa>","896,700",179,배송 완료,54명
30,"더욱 나은 세상을 위한 첫걸음, '하얀리본 캠페인'","1,076,000",179,"600,000",73명
31,"피부가 만든 혁신적인 마스크, '세컨드 스킨'","6,276,400",179,"3,500,000",109명
32,안녕 난 호랑! '호랑'이와 함께하는 귀여운 2022 일상,"896,550",179,"500,000",47명
33,남성/여성 천연청결제 선택이 아닌 필수입니다.,"896,500",179,배송 완료,14명
34,"이너걱정, 반팔걱정 끝! ‘면100% 무지티’","896,000",179,배송 완료,39명
35,한번은 나올만한 원샷 웹툰배경,"1,792,000",179,배송 완료,55명
36,"크리틱스 레코드, 음악 비평가를 기록하다","3,583,609",179,"2,000,000",115명
37,"도움이 필요한 유기동물 보호소를 위한 ""꽃길프로젝트""","2,150,000",179,배송 완료,132명
38,2030년 우리아이에게 필요한 필수교양 팟캐스트<필스교양>,"5,374,000",179,배송 완료,92명
39,"돕는 기쁨, 만드는 재미, 실생활 활용까지- 스트링아트시계","1,343,000",179,배송 완료,8명
40,원단부터 내 [취:향]대로! 나만의 노트북 하우스.zip,"1,790,600",179,배송 완료,37명
41,반짝이는 소망을 담는 새로운 '달수정 보물상자 보석함',"1,253,000",179,배송 완료,32명
42,직장인 2주만에 시작하는 Airbnb “월급노예 탈출하기”,"895,000",179,배송 완료,39명
43,팔랑 팔랑 팔랑귀~~ [우쭈쭈마이펫_쿵 봉제인형],"1,790,000",179,배송 완료,47명
44,"감성 홈카페를 담은 도자기, Rim studio","1,790,000",179,"1,000,000",33명
45,"가볍고 싹싹 꺼내기 쉬운, 포슈백","895,000",179,배송 완료,15명
46,멜트프레소 MINI 캔들워머,"3,580,000",179,배송 완료,55명
47,"작가의 그림을 내 방으로, 일상그림x황로우","984,400",178,"550,000",28명
48,"박력 넘치는 네팔 프로젝트 이야기,골디 물 한잔 마시고 가","6,801,000",178,"3,800,000",197명
49,알바생 권익 신장 기능성 게임 '알바생 시뮬레이터!',"3,326,810",178,배송 완료,116명
50,<일본 복식 문화사> 기모노의 모든 것,"8,051,000",178,배송 완료,314명
51,WE CAN SAVE : POLAR BEAR,"3,577,518",178,배송 완료,227명
52,꿈을 찾아가는 창작 뮤지컬 ‘BAR PIPUL’,"1,252,044",178,"700,000",50명
53,유기견의 꽃길 걷기를 돕는 <꽃개 프로젝트>,"3,577,215",178,배송 완료,209명
54,어쨌든 일어나는 <월요일 아침 일곱시>,"5,364,333",178,배송 완료,209명
55,우리 아이들을 위한 특별한 제안 : 키즈모리 페이퍼토이!,"894,000",178,배송 완료,11명
56,"한글을 이용한 우리말 달력, '한글月력'.","894,000",178,"500,000",22명
57,하야하라! 티셔츠로 나눔을 실천하세요!,"1,788,000",178,"1,000,000",36명
58,간절함이 보낸 신호 시그널. 이번에는 당신이 응답해주세요,"3,575,881",178,배송 완료,120명
59,파일드-타임라인 어드벤처,"7,508,000",178,"4,200,000",289명
60,"""달달한게 최고야"" 0kcal 집콕 테라피 <스윗박스>","893,700",178,"500,000",12명
61,일상 속 작은 즐거움을 차곡차곡 <아카이브 에브리띵 키트>,"5,361,900",178,배송 완료,138명
62,힘내세요 이국종 - d by d 커피드립백,"5,361,500",178,"3,000,000",170명
63,"봄부터 가을까지 얼굴 빛을 밝혀 줄, 100% 실크 스카프","1,787,000",178,배송 완료,51명
64,"2020 달력, 손으로 필요한 만큼 찍어요 /잔잔 달력","982,500",178,배송 완료,32명
65,우아하고 관능적인 향기의 왕 ’자스민(JASMINE)’,"1,786,300",178,배송 완료,41명
66,지속가능한 식문화 매거진 <SUSTAIN-EATS> 2호,"2,143,000",178,배송 완료,93명
67,상처 입은 마음을 보듬어 줄 <트립풀 방콕> + 사진집,"1,785,400",178,배송 완료,57명
68,쌍둥이 자매 모무와 모다 이야기 <MOMO TWINS>,"2,678,000",178,배송 완료,115명
69,내 체질에 맞게 만들어 마시는 <DIY TEA키트>,"3,253,000",176,배송 완료,76명
70,"2021 자작나무 거치대 사진달력 <그날, 그 달月>","3,463,000",178,"1,940,000",91명
71,서울 감성의 친환경 신소재 '한글안경',"1,785,000",178,"1,000,000",12명
72,IDIA(이디아),"2,142,000",178,배송 완료,65명
73,여성 퀴어 단편영화 <수이>,"3,570,000",178,배송 완료,56명
74,한쪽짜리 만화를 읽어요,"3,570,000",178,"2,000,000",107명
75,'멸종위기 야생생물'을 담은 2021년 캘린더,"892,000",178,"500,000",33명
76,"한 번 클릭으로 이미지를 저장하다, 'HoldFold'","892,000",178,"500,000",71명
77,백지 X 비옥 희망찬 2020년을 위한 섬유향수!,"1,784,000",178,"1,000,000",61명
78,'복숭아계절' 유리병에 담은 기분좋은 달달함 복숭아 잼&청,"892,000",178,배송 완료,32명
79,길냥이에게 행복한 봄을 <벚꽃냥이 패키지>,"2,140,500",178,"1,200,000",92명
80,[꿈사냥을 떠나자] 1남3녀헌팅패밀리의 미국유럽횡단기,"5,351,000",178,"3,000,000",73명
81,태공오 일러스트 2021 탁상용 캘린더 & 엽서,"891,700",178,배송 완료,30명
82,인천 로컬 매거진 <spectacle> 창간호,"5,349,600",178,배송 완료,202명
83,제13회 여성인권영화제 <이제 멈출 수는 없어> 굿즈,"5,349,000",178,배송 완료,181명
84,[스케치업 웹툰배경] 피트니스·헬스머신 소품 시리즈 30종,"891,500",178,"500,000",50명
85,"천연 가죽으로 만들어진, 시간을 담는 2020 달력","623,900",178,배송 완료,24명
86,[스케치업] 상반신 자세 2000개,"2,852,000",178,배송 완료,31명
87,"게임을 동화로 만나다, 아빠와 딸의 이야기","2,672,000",178,"1,500,000",146명
88,당신의 이야기도 담고 싶습니다! <좋은 일 하시네요>,"3,562,500",178,배송 완료,155명
89,아라타,"16,031,000",178,배송 완료,380명
90,단편영화 [이 자리에 봄바람이 불어오면],"5,877,777",178,배송 완료,43명
91,여행을 추억하고 기대하는 마음으로 < 치앙마이 드로잉북 >,"1,175,000",178,배송 완료,42명
92,"빈곤 결식아동을 돕는 착한팔찌, 실버 플라워 팔찌","1,246,200",178,배송 완료,53명
