,title,category,description,current_funding_amount,percentage,target_funding_amount,supporter
329,S부터3XL까지 가슴에 자유를! 미드에어X66100 브라렛,의류,여성의 자유로움에는 사이즈에 한계가 없어야 합니다. S부터 3XL까지 브라렛을 만듭니다.,48007000,4800,500000,892
330,"그들에게 전하는 편지, Adogtive의 반팔 티셔츠",의류,공혈견을 줄이기 위해 헌혈견을 지원하여 반려견 헌혈 문화를 활성화시키는 목적의 프로젝트,23938877,4787,500000,850
331,"여성 주연, 비 로맨스 테마 출판만화 앤솔로지 여명기",웹툰 · 만화,"12명의 프로, 아마추어 여성 만화가가 모여 제작한 만화 앤솔로지「여명기 」입니다.",142693900,4756,500000,4455
332,2020년을 기록하는 100가지 질문 <연말정산> 6주년,출판,"벌써 6년째, 2020년에도 여러분의 1년이 궁금해 100가지 질문을 들고 찾아왔습니다!",23753000,4750,500000,1151
333,스파이가 훔친 딸기 '베리로제',향수 · 뷰티,"흙에 잠긴 딸기, 생동감 있는 장미의 조화 '베리로제' 오 드 퍼퓸",47489700,4748,500000,921
334,고전 문학과 그리스 신화의 향기를 담은 <멀티유즈 크림>,향수 · 뷰티,9600%를 달성했던 묘약의 향기로 ‘아름다운 체향과 건강한 피부’를 만들어보세요!,23729200,4745,500000,330
335,손그림처럼 그리는 <아이패드 브러쉬와 굿즈 만들기 비법서>,예술,디지털에 아날로그 감성을! <손그림 같은 아이패드 프로크리에이트 브러쉬 10SET>,47412000,4741,500000,1974
336,"<평화, 새로운 시작 _ 남북정상회담> 뱃지",캐릭터 · 굿즈,2018. 4. 27. 남북 정상회담 개최! 이 역사적인 순간을 뱃지로~!!,42608000,4734,500000,1781
337,후추 유목민/후추 덕후/후추 고수들을 위한 후추 키트,푸드,곧 당신이 좋아하는 후추를 알게 될 거에요. 오페퍼와 함께 다같이 후추덕질을 시작해볼까요?,23563500,4712,500000,672
338,물담배에서 피어나는 양귀비 향을 담은 향수 '후카',향수 · 뷰티,양귀비 향을 담아 물담배로 표현한 후카 향수를 소개합니다.,46935000,4693,500000,1114
339,봄 햇살과 당신을 위한 '모두의 꽃잎 수채화 KIT',예술,누구든지 쉽게 꽃잎 수채화 컬러링을 배우고 자신만의 작품을 만들 수 있게 도와드리는 KIT,18751000,4687,500000,746
340,"잊혀지지 않는 붉은 빛, 루비 목걸이",주얼리,같은 취향을 가진 이들에게 다가갑니다.,4683000,4683,500000,226
341,MZ세대를 위한 <한 권으로 끝내는 자취방 구하기>,출판,"자취방 구하기의 A to Z를 담은 가이드북과 메모지, 스티커, 엽서 문구세트를 소개합니다",23187000,4637,500000,1577
342,[로판웹툰: 스케치업] 여주의 두근두근 멜로한스푼!,웹툰 리소스,'웹툰 제작시' 효과적으로 사용할 수 있는 스케치업 파일 입니다.,46342000,4634,500000,580
343,마음까지 따듯해지는 가격 '일상의 울코트',의류,가격 거품을 걷어낸 '일상의 울코트' 입니다.,92582000,4629,500000,1129
344,여성의 몸을 잘 아는 간호사가 만든 Y존이 숨쉬는 사각팬티,의류,"림프절 순환을 막는 삼각팬티, 걸으면 말리는 드로즈 NO! 정혈대 부착이 가능한 사각팬티",69404000,4626,500000,992
345,사과 한 알이 통째로 퐁당 [한알가득 사과담아],푸드,"경북 의성의 제철 사과를 통채로 넣었어요. 사과, 깎지 말고 이제는 짜먹으세요!?",23082000,4616,500000,112
346,"강아지공장 구조견들을 위한, ""집에 가자, 댕댕아."" 보틀",캐릭터 · 굿즈,강아지공장에서 구출된 강아지들을 후원하는 취지의 보틀입니다.,23069373,4613,500000,1669
347,[스케치업 웹툰배경] 앤틱한 고급양복점,웹툰 리소스,고풍스러운 맞춤양복점의 내부와 외관,8256250,4586,500000,91
348,소매에 주머니 달린 맨투맨 봤나요?,의류,"반팔티보다 저렴한 2만원대, 가장 쓸모있는 맨투맨",22796090,4559,500000,660
349,"별빛의 색을 담아 시를 쓰다, 윤동주 별 헤는 밤 잉크",디자인 문구,윤동주 시인의 별 헤는 밤 중 '별'과 '밤 하늘'의 색을 담은 만년필/딥펜 잉크,22687700,4537,500000,564
350,"포근하고 따뜻하게 겨울을 나는 방법, 양면 솜저고리",의류,집에서도 여행에서도 어디든 찰떡! 양면으로 착용이 가능해 한 벌로 끝내는 올겨울.,45373000,4537,500000,242
351,"티, 버블티, 커피 그 이상의 텀블러, Teaboco",홈 · 리빙,"차, 버블티, 그리고 커피 그 이상을 담는 텀블러 Teaboco 텀블러입니다.",45193000,4519,500000,1073
352,"베를린잡화점X스냅툰, 바로크양식 [마법학교] 로판웹툰배경",웹툰 리소스,"청량한 바다 위, <마법학교8공간>과 <함선> 웹툰배경 프로젝트!",45020000,4502,500000,321
353,매일의 마음이 모여 완성되는 '1년 마음 포스터',디자인 문구,"하루 끝에 그날을 돌아보고, 마음을 나타내는 색 스티커를 붙여봐요. ",27004500,4500,500000,1890
354,[스케치업 웹툰 배경] 19세기 사용인의 공간 9종세트,웹툰 리소스,"19세기 저택, 그 중에서도 저택 사용인들의 생활 공간을 제작해 보았습니다.",44784000,4478,500000,762
355,웹툰상생프로젝트#8 WEEX 웹툰 배경 자동 내보내기,웹툰 리소스,웹툰상생 프로젝트 8번째. 웹툰 배경 이미지를 자동으로 내보내주는 스케치업 익스텐션!,22350000,4470,500000,447
356,"스케치업 웹툰배경-""앤틱 별장""",웹툰 리소스,"웹툰배경으로 활용하실 수 있는 ""앤틱 별장 "" 스케치업 파일입니다~!^^",44694000,4469,500000,664
357,가볍고 따뜻한 한복 두루마기의 재해석 두루자켓,의류,"한복 두루마기의 재해석, 누구나 두루두루 따뜻하고 예쁜 양면 두루자켓",44646000,4464,500000,281
358,당신의 바다꽃이 될래요. 탄생화 자개 DIY키트,홈 · 리빙,스스로 만드는 '나전칠기 탄생화' ,22222000,4444,500000,302
359,"신神사전 2탄, '이처럼 다양하神'",출판,세계 곳곳의 신과 신화들을 모은 <다양하神> 시리즈가 2부 <이처럼 다양하神>으로 돌아왔다,133322100,4444,500000,4680
360,세렌 웹툰 스케치업 #5 쇼핑센터&로데오거리,웹툰 리소스,"웹툰,일러스트 작가분들이 사용하기 좋은 스케치업을 저렴하게 펀딩합니다..! 세렌 스케치업",44399000,4439,500000,479
361,[스케치업 웹툰 배경] 판타지 신전,웹툰 리소스,근세풍 신전/성당 용도의 스케치업 배경을 제작합니다.,35415374,4426,500000,661
362,"손글씨 교정을 도와드립니다, '글씨 코어 키우기' 노트",디자인 문구,내 글씨체도 반듯해질 수 있을까? 당신의 손글씨 코어를 키워드리는 특별한 노트입니다.,88369000,4418,500000,3302
363,웹툰을 위한 주거 공간 스케치업,웹툰 리소스,"웹툰을 위한 아파트, 원룸, 오피스텔 실내 주거 공간 스케치업",44120000,4412,500000,510
364,만화 <장례식 케이크 전문점 연옥당>,웹툰 · 만화,만화 < 장례식 케이크 전문점 연옥당>의 단행본 제작을 위한 프로젝트입니다.,88135000,4406,500000,2505
365,"카페인 걱정없이 가장 맛있는 차, '밤을 가볍게 마시다'",푸드,"카페인 걱정없이 마시는, 가장 맛있는 블렌딩차에요.",21934300,4386,500000,696
366,[스냅툰] 웹툰 배경 3종세트,웹툰 리소스,"웹툰에서 자주사용하는 배경 3가지를 스케치업과 스냅툰으로 제작, 공급하는 프로젝트입니다.",43496000,4349,500000,1132
367,"여름준비시작, 시원한 그늘이 되어주는 '린넨 벙거지'",잡화,햇빛을 시원하게 잘 가져줄 린넨 벙거지,30325400,4332,500000,1373
368,"우주의 빛을 관측하는 투명한 아름다움, 혼천의 썬캐쳐",홈 · 리빙,"창가에 아른거리는 빛을 가장 아름답게 관측하는 방법, 혼천의 썬캐쳐입니다.",43296000,4329,500000,732
369,(투닥토닥 판타지) 스케치업 프로젝트 No.11_로판 성,웹툰 리소스,안녕하세요. 그래픽 디자인팀 투닥토닥 입니다 .^^,43265000,4326,500000,509
370,배경효과넣는 시간을줄이자! Seperate Exporter,웹툰 리소스,스케치업에서 원하는 오브젝트와 나머지 배경을 따로 추출해주는 루비 확장 프로그램!!,43155000,4315,500000,862
371,유튜버 알간지 후드티 한정판,의류,"유튜버 알간지의 첫번째 굿즈, 후드티입니다.",238584072,4294,500000,3795
372,디저트 퍼퓸가게 '델리'에 오신것을 환영합니다.,향수 · 뷰티,디저트 퍼퓸가게 '델리'는 여러분이 좋아하시는 디저트를 향기로운 향수로 만드는 가게입니다.,21284500,4256,500000,413
373,좋은 말 뱃지들 : 하고싶던 말 들,캐릭터 · 굿즈,"하고싶었지만 하지 못했던 말, 마음속으로만 담아뒀던 말 들을 뱃지로 달고다녀 봅시다.",4253500,4253,500000,348
374,창작자를 위한 아르누보 패턴 브러시,웹툰 리소스,"자연물 모티브의 컬러브러시입니다.아르누보 패턴, 레이스장식과 심플패턴으로 구성됩니다.",21249000,4249,500000,801
375,조개껍데기는 녹슬지 않는다. 자개 명화 그리기,홈 · 리빙,"스스로 만드는 ""나전칠기""",21142000,4228,500000,479
376,배조임없는스타킹으로 편안하게 겨울나기,잡화,매일 신고 싶은 마약같은 핏팅감! [배조임없는 스타킹]으로 편안한 겨울 보내세요.,42276315,4227,500000,1222
377,"[스케치업 웹툰 배경] 커스터마이징 펜트하우스, 1탄",웹툰 리소스,<스냅툰X더블엠> 커스터마이징 가능한 2가지 펜트하우스입니다.,21062000,4212,500000,234
378,"고려시대와 조선시대, 웨딩 컨셉으로 풀어낸 두 시대의 한복",의류,"웨딩으로만 입으면 아쉽죠, 일상에서도 입을 수 있게 디자인 했어요.",41864000,4186,500000,195
379,"제주의 봄을 맛보다, 제주금귤 유자 초콜릿",푸드,우리 제주금귤을 이용해 프랑스 초콜릿 오랑제뜨를 새롭게 재해석합니다.,20926800,4185,500000,751
380,"유니크하다고 자부합니다, 신들의 향을 담은 '르파써'",향수 · 뷰티,찰나의 그 순간을 남기길 바라는 향 브랜드 Le Passeur입니다.,41782000,4178,500000,868
381,신기방기 손 포즈집 - 1000개 이상의 3D손 포즈,웹툰 리소스,하늘아래 같은 손은 없다. 신기방기 손포즈집!,41780000,4178,500000,335
382,조연은 그만. 오늘은 내가 주인공 할게요 <안개꽃 향수>,향수 · 뷰티,"작고 평범한 존재가 만들어낸 기적, 하늘의 빛깔을 담아낸 안개꽃",20880000,4176,500000,574
383,"일상의 편안함에 한복의 미를 더하다, 우리;의(衣) 홈웨어",의류,국내 봉제업 활성화를 위해 국내 자체 제작 의류 브랜드 우리;의가 탄생하였습니다.,20863000,4172,500000,252
384,"우리가 사랑하는 물의 순간, <아카이브 오브 워터>",사진,부서지고 빛나는 순간의 물을 담은 사진 엽서집과 마스킹테이프,29127000,4161,500000,1179
385,웹툰 스케치업 배경-뒷골목UP,웹툰 리소스,웹툰 배경으로 사용할 뒷골목 프로젝트 업그레이드 버전입니다.,20760000,4152,500000,173
386,소중한 당신을 위해 샴푸부터 바꿔봐요! 비건 고체샴푸바,향수 · 뷰티,대세는 안전한 고체샴푸! 한번 써보면 빠져드는 더비건글로우 오리지널 샴푸바 & 컨디셔너바,12453500,4151,500000,359
387,"한텐? 아니요 마고자인데요? 우리 겨울옷, 마고자",의류,"따뜻한 생활 한복, 홈웨어 마고자와 함께 포근한 겨울 보내세요!",248966990,4149,500000,2379
388,"웹툰 스케치업 배경 판타지도시,시골마을",웹툰 리소스,"웹툰 스케치업 배경 판타지도시,시골마을 입니다. 판타지(중세~근대)시대의 성,대저택,시계탑",20740000,4148,500000,308
389,[스케치업 웹툰배경] 무협 사극 배경,웹툰 리소스,무협과 사극에 폭넓게 쓰일만한 배경을 제작하고 있습니다.,41375000,4137,500000,331
390,뚜껑이 없어도 마르지 않는 '에어리스 12색 사인펜',디자인,뚜껑이 없어도 마르지 않고 간편하게 눌러서 사용할 수 있는 에어리스팬-12색 사인펜,12381000,4127,500000,564
391,장애묘의 집사가 되어 주세요 : 완벽하지 않아도 괜찮아,잡화,장애묘에게 새로운 세상을 보여주기 위한 프로젝트입니다. 아이들의 가족이 되어주세요,12359000,4119,500000,948
392,"영원히 너를 안아줄게,나의 반려동물 털반지 [리멤버 허그]",캐릭터 · 굿즈,Remember Hug :기억을 안다. 소중한 반려동물의 흔적을 기억과 함께 지닐수 있도록,41025000,4102,500000,352
393,우 리 동 네 2 . 0,웹툰 리소스,#스케치업 #웹툰 #배경 #우리동네 2.0,41020000,4102,500000,329
394,"수백 가지 조합으로 빠르게, [판타지 의상 디자인 키트]",웹툰 리소스,"중세부터 근대까지, 자료 참고 없이 나만의 의상 쉐입을 즉석에서 디자인합니다.",32800000,4100,500000,756
395,아름다운 페이퍼 돌이 시대를 초월한 클래식 동화와 만났다!,출판,"라펫의 클래식 페이퍼 돌_ 소공녀 편［일러스트 텀블러,사각거울,복조리파우치］",12295500,4098,500000,662
396,달 한 잔 하실래요? 추석맞이 주병선물세트,홈 · 리빙,금빛 달에 취해 달달(月月)한 추석을 보내보는건 어떨까요? 핸드메이드 도자주병 선물세트,16344000,4086,500000,334
397,(100개 한정)여정을 기록하는 하나뿐인 세계지도 배낭,잡화,"2020년 야망이 세계일주인 여행자를 찾습니다. 100개 한정, 2주간 진행되는 기습펀딩!",40780000,4078,500000,172
398,"시를 품은 동주의 가방, 6공 다이어리",디자인 문구,"윤동주 시인의 학생 가방(책가방)을 모티브로 디자인한, 시(詩)가 있는 6공 다이어리",40778500,4077,500000,938
399,"디자이너, 창작자, 프리랜서가 꼭 알아야 할 <세무>",출판,"프리랜서, 1인 사업자를 위한 세무 기초 가이드북입니다.",12200900,4066,500000,3442
400,세렌 웹툰 스케치업#7 테헤란로 도시거리&상점가,웹툰 리소스,"웹툰,일러스트 작가분들이 사용하기 좋은 스케치업을 저렴하게 펀딩합니다..! 세렌 스케치업",40630000,4063,500000,373
401,"소복이 쌓이는 향기, 인센스홀더 '설와'",홈 · 리빙,"처마 위에 소복이 쌓이는 눈 처럼, 당신의 향기 또한 소복이 쌓입니다. 인센스홀더 '설와'",20275000,4054,500000,425
402,앤티크하고 빈티지한 일러스트 타로카드 세트,디자인,아름다운 꽃 그림과 으스스한 빈티지 해부학 일러스트가 어우러진 타로 카드로 점을 봐보세요.,40257000,4025,500000,1015
403,12년동안 5천개 제품 써보고 만든 속건조 진정 에센스,향수 · 뷰티,당신의 1억을 아껴드릴게요. 2년만에 완성한 속건조 잡는 저점도 고보습 에센스,40063799,4006,500000,760
404,"DIY 오르골, 여러분의 멜로디를 담아보세요",홈 · 리빙,"12월, 나와 당신에게 주는 선물.",59964000,3997,500000,1538
405,[취생몽사] 취한듯 살다 꿈꾸듯 죽는 삶의 향기를 담아내다,향수 · 뷰티,"인생, 어차피 취한 듯 살다가 꿈꾸듯 가면 그만인 것",19738000,3947,500000,328
406,셰프 줄리아 차일드의 프랑스 요리의 기술,푸드,"미국인이 가장 사랑하는 셰프, 줄리아 차일드의 <프랑스 요리의 기술>",39433800,3943,500000,727
407,"비혼 여성들을 위한 경제지침서, BECONOMY(비코노미)",출판,B(비혼여성의) + Economy(경제)지속 가능한 비혼 생활을 위한 생애주기별 경제지침서,78599000,3929,500000,2873
408,보호종료아동의 꿈을 담은 버킷백 & 뱃지,캐릭터 · 굿즈,보호종료아동이 디자인한 버킷백과 뱃지로 꿈을 향한 출발에 함께해주세요!,19642508,3928,500000,734
409,"여름엔 가볍게 한 장만 걸치세요, '노브라 반팔 셔츠'",의류,"웨이사이드의 두 번째 프로젝트, 여름을 위한 노브라 반팔 셔츠입니다!",39100000,3910,500000,803
410,비전공자/프리랜서/신입을 위한 편집 디자인 실무 가이드북,디자인,"전문디자이너가 되는 첫걸음, 표지디자인 편",38990000,3899,500000,1268
411,"전통패턴 그대로, 간편하게 즐기는 저고리 원피스",의류,현대에서 재해석하는 저고리,65310000,3887,500000,349
412,TEA전문가 큐가든의 세젤맛 밀크티 2탄!! 밀크티 KIT,푸드,TEA전문가 큐가든의 세.젤.맛 밀크티2탄!! 밀크티 KIT로 집에서도 쉽게 만들어 먹어요,19423500,3884,500000,414
413,잠 못 이루는 엄마를 위한 숙면베개 <깊은잠공방>,홈 · 리빙,우리 엄마의 갱년기로 인한 불면증을 <깊은잠공방>에서 해결해보세요.,11594512,3864,500000,434
414,박나나 키보드 장패드,디자인 문구,박나나 굿즈! 실용적인 키보드 장패드로 책상 위를 산뜻하게~,134703500,3848,500000,5064
415,웹툰 [병원]스케치업배경 !,웹툰 리소스,[병원내부 스케치업배경 세트입니다],38416000,3841,500000,743
416,"디지몬 어드벤처 - 버터플라이, 브레이브하트 앨범 발매",음악,"디지몬어드벤처 극장판 버터플라이, 브레이브하트 음원 발매를 위한 프로젝트입니다.",1342749000,3836,500000,27457
417,[스케치업 배경] 소박하지만 아늑한 빅토리아 시대 하우스,웹툰 리소스,[스케치업] 소박하지만 아늑한 빅토리아 시대의 집입니다.,38335000,3833,500000,697
418,"세상에 오직 하나, 한국의 판타지 아이템 도감",출판,300여종의 찬란하고 신비한 한국의 판타지 아이템/도구들을 기록한 도감입니다,76553500,3827,500000,2404
419,서산의 그림자 : 56년간 잃어버린 우리의 달을 찾아주세요,주얼리,"서산개척단 피해자들의 슬픈 역사를 기억하고, 잃어버린 땅을 되찾아주고자 합니다.",15288933,3822,500000,933
420,"디자이너, 창작자, 프리랜서의 [권리]",출판,"디자이너, 창작자, 프리랜서를 위한 법률 기초 가이드북입니다",11442200,3814,500000,576
421,"사계절 테마 악세사리 - 귀걸이/귀찌, 책갈피, 핀, 반지",주얼리,"봄, 여름, 가을, 겨울. 아름다운 네 계절을 장신구에 담았습니다.",11428000,3809,500000,269
422,"신의 반열에 오른 인간, 영생을 얻는 매혹적인 금단의 술.",향수 · 뷰티,"인간에겐 허락치 않았던 금기의 술, 강인한 생명력을 선사하는 '영생'의 술 을 향기로.",18992000,3798,500000,469
423,"2021년 귀신고래의 행운을 담은, 고래도장 & 명함디퓨져",홈 · 리빙,울산 귀신고래의 행운의 염원을 담은 고래도장 & 고래 페이퍼디퓨져 입니다.,18986000,3797,500000,394
424,웹툰 스케치업 프로젝트_03.대학교,웹툰 리소스,웹툰 및 그림 작업에 활용 가능한 배경인 대학교 전경및 내외부로 구성되어 있습니다.,37861000,3786,500000,633
425,세렌 웹툰 스케치업#10 학교 3종 외부와 내부 세트,웹툰 리소스,"웹툰,일러스트 작가분들이 사용하기 좋은 스케치업을 저렴하게 펀딩합니다..! 세렌 스케치업",37860000,3786,500000,438
426,당신의 덕질을 완성하는 하나뿐인 디지털 다이어리 <취미록>,디자인 문구,"일상부터 공연, 덕질, 독서, 장르독서, 드라마, 영화, 운동까지 당신을 채울 8가지 기록",11324500,3774,500000,491
427,<모퉁이 뜨개방> 단행본 제작,웹툰 · 만화,"무기력이 삶이 덮어버릴 때, 다시 한번 숨을 쉬는 방법을 찾아가는 일상판타지 만화",339298700,3769,500000,7436
428,"나는 화가 날 때 일기를 써, 하이드의 극대노 다이어리",디자인 문구,현생에 열받을 때마다 꺼내 쓰는 분노의 다이어리. ,37650000,3765,500000,1560
429,기억하시나요? 그때 그 추억의 로션 향기,향수 · 뷰티,어릴 적 추억의 로션 향기를 담은 향수[투데이이즈 인 마이 메모리],18818100,3763,500000,362
430,비전공자를 위한 이해할 수 있는 IT 지식,출판,비전공자를 위한 이해할 수 있는 IT 지식 책 출간 프로젝트입니다.,75130433,3756,500000,4493
431,"[꼬냑향수] 영원한 강자, 꼬냑(Cognac)",향수 · 뷰티,"짙어지는 계절, 나폴레옹의 브랜디 '꼬냑(Cognac)'의 향기와 함께",18684000,3736,500000,372
432,여자 셋이 만든 <노브라 티셔츠> 숨통이 트이는 '숨통티',의류,"땀 차고 체하는 브래지어 안녕~ 다가올 여름, 가뿐하게 한장으로~ #소화제티셔츠",48659000,3743,500000,1165
433,<두 친구 이야기> 대통령 당선일 아침 신문 디자인 뱃지,캐릭터 · 굿즈,"두 친구 노무현 , 문재인 대통령 당선일 아침 신문을 디자인한 굿즈뺏지: 고급케이스에 포장",37395000,3739,500000,1314
434,"여성 민주열사를 기억하는, <파란여성 프로젝트>",캐릭터 · 굿즈,<파란여성 프로젝트>는 여성 민주열사를 기리고 업적을 재평가하기 위해 시작되었습니다.,18566100,3713,500000,1392
435,신기방기 발 포즈집 - 1000개 이상의 3D 발 포즈,웹툰 리소스,스케치업과 클립스튜디오에서 사용할 수 있는 3D 발 포즈집,37100000,3710,500000,580
436,스케치업 웹툰 배경 [로판 섬 왕국 패키지],웹툰 리소스,판타지 장르 웹툰에 다양하게 활용할 수 있는 패키지 구성 입니다.,37086000,3708,500000,316
437,[스케치업배경] 왕궁침실과 물위의정원 set,웹툰 리소스,판타지에서 활용하실 수 있는 서양스타일 스케치업 배경세트 입니다.,36915000,3691,500000,535
438,웹툰 스케치업 배경 - 홍대 거리,웹툰 리소스,빙봉이가 홍대거리 프로젝트로 돌아 왔습니다. 많은 관심 드려요.^^,18450009,3690,500000,205
439,"나무와 흙, 낙엽이 전하는 3가지 ""가을"" 숲속 향기",향수 · 뷰티,"시원한 나무와 비혹한 흙 그리고 이슬에 젖은 낙엽이 전하는 3가지 ""가을""숲속의 향기",18448340,3689,500000,311
440,"아홉번 매혹되는 향기, 구미호가 품은 향수",향수 · 뷰티,"운명도 막지못한 구미호의 사랑, 그리고 고혹적인 그녀의 향기",18399204,3679,500000,448
441,영원한 우리들의 여정을 기억해! '반려동물 털 목걸이',주얼리,영원한 가족인 반려동물을 평생 기억하기위해 반려동물의 털을 넣어 목걸이를 만들어드립니다.,36757490,3675,500000,499
442,감독이 참여한 첫 공식 도서 <크리스토퍼 놀란>,출판,"영화 감독 '크리스토퍼 놀란'의 삶과 그의 작품에 대해 다룬, 감독의 첫 공식 도서입니다.",36734800,3673,500000,918
443,"이세계의 모든 빛을 담은 보석, 오팔",주얼리,"루비의 불꽃, 자수정의 보라빛, 에메랄드의 바다빛을 담은 오팔을 소개합니다.",18333700,3666,500000,180
444,"언제나 내 품에, 보들보들 why bear 노트북파우치!",잡화,"언제나 품에 안고 다니고 싶은, 보들보들 why bear 노트북 파우치입니다.",29273500,3659,500000,702
445,내 손 안에 작은 도자기 '고려청자 케이스',캐릭터 · 굿즈,장수와 길조를 상징하는 [고려청자 무선이어폰&핸드폰 케이스],18255500,3651,500000,685
446,야망100%충전 : 도서 All About Ambition,출판,"거대한 야망을 펼치기 위해, 배터리 100%로 살아가는 방법, 야망 개념서A.A.A.",18255000,3651,500000,869
447,어른이들을 위한 “마음 학습지” #심리 #상담,출판,"지금까지 없었던 새로운 방식으로, 돌봐주지 못했던 자신과의 만남을 선물합니다",36469000,3646,500000,811
448,[스케치업] 자동차/연예인 롱밴/외제차/슈퍼카,웹툰 리소스,"자동차,연예인벤,외제차등 내외부가 작업된 스케치업 모델링 입니다 :D",36417500,3641,500000,332
449,앤트 웹툰 스케치업 #1 - 중세 저택내부,웹툰 리소스,웹툰전문 앤트스튜디오의 배경팀에서 웹툰작가님들의 편리한 작업을 위한 스케치업제작 프로젝트,36402000,3640,500000,591
450,[촛불뱃지] 어둠은 빛을 이길 수 없다,잡화,"HOPE. 더 나은 세상, 마음 편히 살아갈 행복한 세상. a Better World",14526100,3631,500000,1036
451,딸기와 담배는 언제나 널 떠오르게 해 < 레더베리 >,향수 · 뷰티,트로이시반의 'strawberries & cigarettes'에서 영감을 받아 만들었습니다,36302500,3630,500000,972
452,"여성의 모든 일이 편안하길, 클래식 니플커버",의류,여성이 하는 모든 일에 브래지어가 방해되지 않도록 : 클래식 니플커버 Ver.2,36259000,3625,500000,1467
453,노브라로 입는 편하고 예쁜 홈웨어 '프리찌' 겨울시즌,의류,노브라로 입는 편하고 예쁜 홈웨어입니다. (말려올라가는 단점을 보완한 기능을 넣었습니다.),46399000,3624,500000,491
454,웹툰 일러스트를 위한 프릴 레이스와 장식 브러쉬!,웹툰 리소스,"색다른 디자인의 프릴! 그리고, 다양한 프릴 장식들을 만나보세요!",18081000,3616,500000,520
455,"프리랜서, 창작자의 불규칙한 수입관리",출판,"프리랜서, 창작자를 위한 수입관리 가이드북입니다.",10831200,3610,500000,333
456,"Paper Ring ""메세지를 전하다""",주얼리,좋아하는 문구를 담을 수 있는 페이퍼링입니다. 전하고픈 말을 반지에 새겨보세요 :),17859400,3571,500000,309
457,"꽃이 차오르는 봄날의 찻잔, 봄잔",홈 · 리빙,차를 따르면 찻잔 안에 아름다운 벚꽃 그라데이션이 생겨요. 핸드메이드 도자찻잔 <봄잔>,28532500,3566,500000,692
458,[과자와 생활-3] 리리키친의 접시,홈 · 리빙,리리키친이 '과자전 접시 세트'를 만듭니다. '과자와생활' 프로젝트(3),7114000,3557,500000,245
459,공장 자체제작 실용적인 디자인의 쌍둥이 크로스백,잡화,저희는 가방을 전문으로 제작하고 경기도 구리에 위치해 있는 공장입니다.,35498500,3549,500000,2172
460,"월간커피, 민초단 모여라! 민트 초코맛 콜드브루 커피",푸드,'월간커피'라는 이름으로 매달 새로운 싱글 오리진 콜드브루 커피를 한정수량으로 선보입니다.,17675000,3535,500000,1118
461,카세트테이프의 새로운 쓰임새 '테잎테잎(TAPETAPE)',디자인 문구,"오래된 물건은 이유 없이 좋아요, 이대로 잊혀지기에는 너무 아쉬워요. 마스킹테이프 디스펜서",35318000,3531,500000,1441
462,[스케치업] 로판 일러스트를 위한 평민들의 집,웹툰 리소스,판타지에 등장할법한 집을 스케치업으로 제작하였습니다.,17626000,3525,500000,508
463,[스케치업]자동차 2탄/외제차/국산차/경차,웹툰 리소스,"자동차프로젝트2탄! 외제차,국산차,고급차,경차,소형차로 돌아왔습니다.",35207500,3520,500000,284
464,지금 바로 할 수 있는 투잡 41가지,출판,인생역전이 가능한 투잡부터 소소한 투잡까지 현존하는 모든 투잡들을 총정리했습니다.,35085000,3508,500000,1561
465,"귀차니즘 필수 아이템, 요일 티셔츠",의류,안녕하세요 프로젝트 요약입니다,34924000,3492,500000,778
466,[스냅툰] 자연배경 세트,웹툰 리소스,"웹툰에서 자주사용하는 자연 배경을 스냅툰으로 제작, 공급하는 프로젝트입니다.",34916000,3491,500000,480
467,치약 아니고 민트! 리베르 민트비누향 섬유향수.,향수 · 뷰티,“민트향기의 신세계를 보여줄게.”치약 아니고 민트! 리베르 민트비누향 섬유향수.,17260600,3452,500000,927
468,세렌 웹툰 스케치업#9 아현동 반지하 주택가&친정 단독주택,웹툰 리소스,"웹툰,일러스트 작가분들이 사용하기 좋은 스케치업을 저렴하게 펀딩합니다..! 세렌 스케치업",34487000,3448,500000,384
469,"초가집 웹툰배경 스케치업(소품, 선비집, 주막, 저잣거리)",웹툰 리소스,소품세트/소박한 선비집/주막/저잣거리 조선시대 초가집 웹툰 배경 스케치업 프로젝트입니다.,34441000,3444,500000,457
470,돌고래에게 자유를,잡화,돌고래를 좁은 수족관에서 꺼내 바다로 돌려보내줍시다. 돌고래에게 자유를 프로젝트,68880089,3444,500000,3205
471,고퀄리티 2D 배경 소스 210종 (하늘&나무&돌&풀),웹툰 리소스,"웹툰, 일러스트 작업에 꼭 필요한 고퀄리티 2D 배경 소재(하늘, 나무, 돌&풀)",34411000,3441,500000,328
472,재미있는 영화 클리셰 사전 <여자 주인공만 모른다>,출판,"영화, 드라마 등 대중문화 속 진부한 표현_클리셰들을 모아 놓은 사전입니다.",34351000,3435,500000,2220
473,웹툰용 메신저 프로그램(EnableToon),웹툰 리소스,쉽고 빠르게 웹툰용 메신저 이미지를 만들 수 있습니다.,34320000,3432,500000,847
474,"내 폰, 놓치지 않을꺼예요. 그 어디에도 없던 '하이루프'",잡화,'하이루프'는휴대폰 기종에 관계없이 케이스에 부착하여 사용하는 신개념 폰 스트랩입니다.,17139500,3427,500000,1108
475,내 곁에 숨겨진 이야기 [The fairy ring],주얼리,"우리 자연속 자연스럽게 숨은 요정들의 이야기, 반지속에 담긴 요정들의 이야기를 만나보세요.",17139000,3427,500000,379
