,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,서로에게 어른이 되어가는 법을 배우는 <열여덟 서른아홉>,"3,281,000",58,"5,600,000",58명
1,포토샵보다 쉽다! 핫한 무료 디자인 툴 '피그마' 가이드,"5,177,000",369,"1,400,000",174명
2,45년 전 로코만화? 1976년작 <여학생남학생>,"2,555,000",85,"3,000,000",102명
3,"알브레히트 뒤러의 '기도하는 손', 희생과 치유의 인센스향","599,500",59,"1,000,000",15명
4,"새해 소망을 띄워봐요 제주바다에, 유리 문진과 달력","3,009,000",601,"500,000",66명
5,[스냅툰+로.웹.제]로판 대공님의 성 대저택 12종 패키지,"16,951,000",1695,"1,000,000",129명
6,"뇌인지과학 전공생이 그린, <만화로 보는 뇌과학 이야기>","3,532,650",706,"500,000",181명
7,"내 손 안에 머무는 별이 따스하다, '별과자기 시온머그잔'","10,188,000",339,"3,000,000",116명
8,"몽마르뜨르로 떠나는 기묘한 여행, <파리의 아메리카노>","2,361,200",236,"1,000,000",59명
9,탈코르셋 다큐멘터리 '목줄을 끊으려는 여성들에게',"5,875,869",106,"5,500,000",260명
10,죽음을 결심한 밤에 찾아온 <나의 상냥한 사신>,"189,000",18,"1,000,000",13명
11,4테마 판타지 오브젝트 소재 [SUNDOWN],"78,000",15,"500,000",13명
12,책한권으로 330만원 번 모든 노하우/얼리버드 8900원,"704,800",140,"500,000",52명
13,믹스커피보다 간편하게! 물에 타먹는 진한 수제식혜 베이스.,"673,000",134,"500,000",24명
14,"감성 패브릭 달력! 일년 365일, 고양이로 물들다.","685,700",34,"2,000,000",26명
15,마을P.1[공원/주택/빌라/상가/아파트/옥상거리꾸미기소품],"3,870,000",387,"1,000,000",47명
16,누구나 호랑이가 될 수 있다 BORN TO BE TIGER,"3,844,000",128,"3,000,000",49명
17,[모모링]사랑스러운 아가토끼 아이패드 파우치,"1,223,000",122,"1,000,000",24명
18,"남겨진 것들의 아름다움, <발자국 은반지>","1,035,000",206,"500,000",25명
19,"그날, 숲이 나에게 전해 줄 기억 <소원 담은 테라리움>","2,296,500",153,"1,500,000",46명
20,다시 모인 직장인들의 사진 이어달리기 <사진으로 바톤터치>,"2,592,000",64,"4,000,000",81명
21,R-ETROZ: Re-Enter The Room Of Z,"95,000",11,"800,000",9명
22,당신에게도 찬란했던 순간이 있나요? 단편만화집 <찬란>,"213,000",10,"2,000,000",9명
23,[숏트롱크루즈] 단편영화 세상을 항해하는 3개월간의 여정,"1,968,000",196,"1,000,000",40명
24,영감은 '디깅'하고 써먹어야 제맛이니까.,"1,066,900",133,"800,000",43명
25,"즐겁고 '짭짤'하게 사는 법, <나의 짭짤한 작은 상점>","1,856,000",80,"2,300,000",78명
26,"스카프를 한 매트, Place Your Love Here","1,052,600",52,"2,000,000",10명
27,웅수다만의 특색이 담긴 구움과자 6종 세트,"1,198,000",239,"500,000",42명
28,상큼한 귤호떡을 집에서도 간편하게 소은 귤호떡 밀키트,"1,114,000",185,"600,000",52명
29,국제앰네스티 편지쓰기캠페인 공식 굿즈,"1,328,000",132,"1,000,000",62명
30,"당신에게, 2021 당신의 조각을 담아.","1,222,000",122,"1,000,000",13명
31,[2022 캘린더] 위기에 처한 동물들을 구해주세요!,"517,900",103,"500,000",24명
32,"성장하는 3개월을 만드는 다이어리 [삶, 삼]","1,845,000",92,"2,000,000",52명
33,"타임슬립 로맨스 오디오드라마, <사랑은 없는 것처럼>","33,108,000",60,"55,000,000",281명
34,"별나라 아이들의 작은 이야기 퍼즐 게임, [루나 스도쿠]","939,000",46,"2,000,000",23명
35,"[설탕 걱정없는 맛있는 요리]당빼! 제육볶음, 간장불고기","288,400",14,"2,000,000",6명
36,향이 흐르는 곳:[향유] 콘 인센스 홀더,"3,284,000",328,"1,000,000",57명
37,[스페셜]웹툰에 최적화 된 엑스트라,"2,144,000",214,"1,000,000",87명
38,우리가 '사는' 이유 & 나에게 쓰는 편지,"781,000",156,"500,000",30명
39,김아현 싱글 앨범 'A Winter Ago' 제작,"1,163,000",116,"1,000,000",18명
40,또 다른 지구의 모습을 담은 엽서북 <oval earth>,"2,195,222",439,"500,000",75명
41,1992-2021 우리시대의 에세이스트 <서경식 다시읽기>,"3,683,000",184,"2,000,000",87명
42,피천득 문학전집(전7권):금아 피천득선생 서거15주기 기념,"3,470,000",9,"35,000,000",38명
43,멸종위기 1급 두루미를 위한 <도로미 팔찌>,"513,000",102,"500,000",25명
44,"당신의 손으로 선택하는 소설의 결말, OR PROJECT","870,000",87,"1,000,000",33명
45,커피 한 잔 가격으로 만나는 삶의 여유!,"258,000",51,"500,000",24명
46,시한부 여배우의 꿈 - 영화 <속절없는 쪽으로>,"2,195,200",36,"6,000,000",36명
47,"변함없이 변하는 것들을 담다, <숨;빛 케이스>","94,900",17,"550,000",3명
48,대학문학상 수상 창작극 '작자 미상 수정 배포 자유',"80,000",5,"1,500,000",2명
49,"화이트 티, 우아한 향에 취할 수 있으니 조심하세요!","3,911,100",782,"500,000",56명
