,title,category,intro,url
32,맥베스의 향기를 찾았다 <넵튠과 아포리아>,향수 · 뷰티,맥베스와 레이디 맥베스를 향기로 가득 담았습니다.,https://tumblbug.com/neptune
33,[RE:PLA] 쓰레기도 줄여주고 플라스틱 업사이클까지??,홈 · 리빙,버려지는 플라스틱이 쓰레기를 줄이는 제품으로 돌아오다,https://tumblbug.com/repla01
34,웹툰&일러스트에 활용하기 좋은 <헤일로(후광)>소재,웹툰 리소스,웹툰&일러스트에서 심심한 뒷배경을 채울 수 있는 소재입니다!,https://tumblbug.com/halo
35,나의 졸업을 막으려는 누군가가 있다? [공포의 조별과제],보드게임 · TRPG,[100%달성]이번 학긴 A+!우리 조에 빌런이 있다구?! 빌런 피해 조별과제하는 보드게임,https://tumblbug.com/isthisteamwork
36,대체 불가한 독보적인 컬러의 아티스트 프롬 LP 발매,음악,대체불가한 독보적인 컬러의 싱어송라이터 프롬 (Fromm)의 첫 LP 발매,https://tumblbug.com/fromm_lp
37,내년의 우린 좀 더 평안하고 행복하길 <차와향 리추얼키트>,푸드,티소믈리에가 엄선한 차와 향기작가가 만든 천연향으로 오감을 힐링하는 차와 향 리추어 키트,https://tumblbug.com/teaaromakit
38,"사랑을 다룬 단편선, <기묘한 사랑에 관한 보고서>",웹툰 · 만화,인외적 존재와의 기묘한 사랑을 다룬 단편집.,https://tumblbug.com/bizarre_love
39,"강원의 겨울산 모습을 닮은 세미 커스터마이징 가방, 산산백",잡화,"겉가방 따로, 속가방 따로! 맘대로 새로운 룩을 연출할 수 있는 캔버스백을 소개합니다",https://tumblbug.com/sansanbag
40,"서사의 주인공을 맡아보세요, 짙은 여운을 머금은 북퍼품",향수 · 뷰티,"""높은 파도, 오후의 볕, 한낮의 잠, 짙은 새벽-"" 작가가 직접 조향한 프리미엄 북퍼퓸 ",https://tumblbug.com/atthismoment
41,녹차 없는 녹차는 그만! 설탕 없이 달달한 달콤 아몬드녹차,푸드,"화학첨가물과 설탕은 빼고, 건강한 달콤함과 아몬드의 고소함을 담아낸 녹차 파우더입니다.",https://tumblbug.com/teasomme2
42,따듯한 햇살의 포근함을 드려요 [ 안전한 섬유 탈취제 ],향수 · 뷰티,좋은원료로 만든 안전한 섬유 탈취제! 고민할 필요없이 선택은 필수입니다.,https://tumblbug.com/bellement02
43,폐플라스틱의 재탄생! 따뜻한 플라삭스,잡화,"[일상의 가치있는 제품]
폐플라스틱 담은 따뜻한 양말 플라삭스.",https://tumblbug.com/plasocks
44,윌리엄 모리스가 말하는 『아름다움을 만드는 일』,출판,"영국 빅토리아 시대의 대표 예술가, 윌리엄 모리스가 말하는 『아름다움을 만드는 일』",https://tumblbug.com/morris
45,서울대생이 만든 공부습관 형성 플래너 & 뉴스레터,출판,꾸준히 공부하는 데에 어려움을 겪는 학생들을 위한 공부습관 형성 프로젝트,https://tumblbug.com/plannergonggan
46,인생의 향기가 궁금할 때 <6가지 여정의 향>,향수 · 뷰티,여섯 가지 향기가 전하는 여정과 함께 해보세요. 피우미 섬유향수&룸스프레이,https://tumblbug.com/piumee_6_journey
47,극단 '공백' 2021 창작뮤지컬 [레테의 정원],공연,극단 공백 2021 창작뮤지컬 [레테의 정원],https://tumblbug.com/0back_garden_of_lethe
48,"믿을 수 있는 건 무엇인가요?, 단편영화 <침묵>",영화 · 비디오,안녕하세요. 서울예술대학교 젊은창작 지원 사업 당선작 단편영화 <침묵>입니다.,https://tumblbug.com/silencekeep
49,지구돌봄을 위한 유쾌한 탐험! 생태놀이판 <토킹어스>,보드게임 · TRPG,"보드게임을 통해 기르는 생태감수성, 생태놀이판 <토킹어스>",https://tumblbug.com/talkingearth
50,할머니 할아버지를 위한 놀이책 <월간 실버>,출판,'월간 실버'는 할머니 할아버지를 위해 만들어진 책입니다.,https://tumblbug.com/silverbook
51,"달빛을 머금은 도자기, 월백 균요",홈 · 리빙,"동양의 오래된 청자, '월백 균요'를 현대적으로 재해석한 테이블웨어로 선보입니다.",https://tumblbug.com/junware
52,연필스케치 컬러링 북 '널 위해 핀 꽃',출판,부드러운 연필 스케치로 이뤄진 감성 힐링취미 보테니컬 컬러링&엽서북 같이 색칠해요!,https://tumblbug.com/4242
53,[시간 탐험집] 나와 당신의 서른 즈음에,출판,서른은 우리의 삶을 어떻게 바꿨을까? 서른에 대한 30개의 물음과 30인의 답장.,https://tumblbug.com/30project
