index,title,category,current_funding_amount,percentage,target_funding_amount,supporter,description,result,title_len,intro_len
0,"짐볼로 만든 인형, '돌리볼리'",캐릭터 · 굿즈,329000,8,4112500,6,,0,18,
1,"함께 만드는 악기 전문 웹진, <The Strings>",출판,701000,14,5007100,27,,0,31,
2,감사한 분들께 드리는 마음을 담을 고급 가죽 봉투,디자인 문구,0,0,0,0,,0,28,
3,마다가스카르 사진전,사진,2322000,38,6110500,54,,0,11,
4,인형의 시간들,출판,727000,36,2019400,29,,0,8,
5,"나무로 만든, 만년달력 연필꽂이",디자인 문구,128000,19,673600,4,,0,18,
6,생활의 바다에서 플라스틱 쓰레기를 없애는 [바벗 카드지갑],잡화,337000,42,802300,10,,0,33,
7,달파란 첫번째 일러스트 아트북,출판,575000,19,3026300,26,,0,17,
8,ROPEAN의 첫 번째 프로젝트; TEXAS TRUCK,잡화,2790000,79,3531600,29,,0,31,
9,우리 아이 첫 성교육 지침서,출판,26000,2,1300000,2,,0,16,
10,화투로 니냐노 놀아보자!,홈 · 리빙,879000,58,1515500,36,,0,14,
11,여름에 자유를 더하다! FREEDOM 일러스트 면 티셔츠,의류,974000,18,5411100,31,,0,32,
12,고양이왕 뱃지와 기타 굿즈 제작,캐릭터 · 굿즈,641000,98,654000,47,,0,18,
13,2021 미니멀라이프 이태리 베지터블가죽 핸드폰 카드지갑,잡화,154000,30,513300,4,,0,32,
14,나만의 옷을 만들자!,의류,5000,0,0,1,,0,12,
15,길고양이 캐릭터 마마마 굿즈 만들기!,캐릭터 · 굿즈,570000,19,3000000,20,,0,21,
16,"당신만을 위해 제작하는, 버블 이니셜 목걸이",주얼리,112000,37,302700,4,,0,25,
17,「 바라보다; 자폐성 장애 인식 개선 전시회 」,예술,42000,5,840000,5,,0,27,
18,"고민하는 크리스챤을 위한, 기억하고 기도하기 위한 뱃지",잡화,26000,1,2600000,3,,0,31,
19,내 방안의 작은 겨울 - 핸드메이드 월행잉,홈 · 리빙,75000,15,500000,3,,0,24,
20,소비자와 광고주가 원하는 진짜 광고플렛폼 !!,테크 · 가전,100000,1,10000000,1,,0,26,
21,비싼 이어폰! 관리 제대로 하고 계신가요?가죽 이어폰케이스,잡화,822000,41,2004800,48,,0,33,
22,눈꽃과 함께 찾아온 겨울새 뱃지,캐릭터 · 굿즈,134500,26,517300,13,,0,18,
23,"어른이를 위한 칭찬스티커판, [라이크플로우판]",캐릭터 · 굿즈,207500,41,506000,3,,0,26,
24,"판타지 비주얼 노벨 게임 <블루문 파크>, PC판 출시!",디지털 게임,1168000,38,3073600,30,,0,32,
25,판타지 랜덤 디펜스 모바일,디지털 게임,20000,4,500000,3,,0,15,
26,특별하고 소중한 한 권의 책을 위한 '한 곳',홈 · 리빙,375000,6,6250000,6,,0,26,
27,나의 여름을 더 빛내줄 매력적인 일러스트 비치타올,잡화,205000,3,6833300,8,,0,28,
28,리이슈 코리아 아트페어: 서울,예술,370000,1,37000000,29,,0,17,
29,"당신을 위한 평생 친구이자 특별한 선물, 아토",테크 · 가전,1281000,3,42700000,20,,0,26,
30,1장 그림책 '복숭아는 복숭복숭' 만들기,예술,18000,2,900000,1,,0,23,
31,"멸종 위기 동물 뱃지, '라니'와 '네오'",캐릭터 · 굿즈,417000,26,1603800,32,,0,24,
32,멸종위기동물 뱃지 WITH US,캐릭터 · 굿즈,255000,17,1500000,14,,0,18,
33,웹툰배경 스케치업-모던 단독주택,웹툰 리소스,87000,17,511700,3,,0,18,
34,박현종의 겨울콘서트 <마음>,음악,417000,8,5212500,8,,0,16,
35,무농약 자색 양파를 (즙즙즙),푸드,180000,5,3600000,2,,0,17,
36,인류의 절반은 생리를 한다. 그림 에세이 <생리 중이야>,출판,707000,47,1504200,29,,0,32,
37,웹툰 배경 스케치업- 단독주택 및 주거공간,웹툰 리소스,207000,41,504800,9,,0,24,
38,"내 손안의 작은 숲, 이끼 테라리움",홈 · 리빙,39000,3,1300000,1,,0,20,
39,"생각 많은 밤, 5가지 후드티",의류,0,0,0,0,,0,17,
40,영화 배뱅이굿 사전제작비,영화 · 비디오,3894000,1,389400000,32,,0,14,
41,"인장이와 인정이는 지금 휴가중! ""선인장 뱃지""",캐릭터 · 굿즈,361000,12,3008300,13,,0,27,
42,Would you like 우주?,디자인 문구,383400,38,1008900,12,,0,19,
43,뭉글뭉글 고양이 뱃지,잡화,502000,27,1859200,29,,0,12,
44,소아암 환아들의 러브하우스,캐릭터 · 굿즈,328500,20,1642500,13,,0,15,
45,"스누지의 귀여운 일러스트 캐릭터, 키링과 에어팟케이스 !",잡화,47500,11,431800,4,,0,32,
46,제8회 목포인권영화제 「새로고침」,영화 · 비디오,310000,10,3100000,5,,0,19,
47,심플하면서 따뜻한 2021년 강아지 일러스트 달력,디자인 문구,358000,51,701900,9,,0,28,
48,「변변찮은 마술강사와 금기교전」애니 종영기념 메모리얼 세트,영화 · 비디오,0,0,0,0,,0,33,
49,"✧하트가챠뱃지, 랜덤으로 행복뽑기✧",잡화,222000,44,504500,20,,0,20,
50,"나의 안전한 작은 공간, PVC 에어캡 파우치",잡화,240000,48,500000,12,,0,26,
51,국내 최초 채식하는 호랑이! 당근이 굿즈 3종 세트,캐릭터 · 굿즈,144000,28,514200,8,,0,29,
52,나의 여행을 소중하게 FRAGILE 스티커 세트,캐릭터 · 굿즈,30000,6,500000,3,,0,27,
53,"민화를 뛰쳐나온 고양이, 전통의 미를 담은 노트북 파우치",잡화,365500,24,1522900,13,,0,32,
54,"'왕따', 우리 모두는 가해자가 될 수 있다",음악,390000,16,2437500,8,,0,25,
55,저희의 예술성을 알려주세요 서울오케스트라 X 프로젝트 아더,잡화,749000,37,2024300,7,,0,33,
56,20살 졸라맨 기념주화 뱃지 제작,캐릭터 · 굿즈,114000,11,1036300,6,,0,19,
57,내 고양이의 귀여움을 기록하는 노트 <귀여운 내 고양이>,디자인,308000,44,700000,17,,0,32,
58,[네코장] 핑크빈의 일상 피규어,캐릭터 · 굿즈,225000,22,1022700,5,,0,18,
59,전통문양 문창살 실버&가죽 팔찌,잡화,180000,36,500000,2,,0,18,
60,콩냥콩냥 뱃지,캐릭터 · 굿즈,1142800,57,2004900,57,,0,8,
61,Toast it! 빵덕후들을 위한 필수템,캐릭터 · 굿즈,156000,7,2228500,6,,0,23,
62,우리집 고양이 소리를 녹음/재생할 수 있는 <부르냥 키링>,잡화,401000,2,20050000,17,,0,33,
63,"우리 막내, 꽃길 뱃지와 꿈 뱃지",캐릭터 · 굿즈,159000,6,2650000,7,,0,19,
64,"윤리적 소비를 실현시키는 공정무역 스티커, 뱃지",잡화,5000,0,0,1,,0,27,
65,"찐찐 만두, 만두토끼 인형",캐릭터 · 굿즈,1153000,46,2506500,27,,0,15,
66,하나되는 대한민국,잡화,57000,3,1900000,4,,0,10,
67,<모든 글쓰기> 온라인 강의,출판,30000,3,1000000,1,,0,16,
68,마법과 마녀의 이야기 <마녀의 비밀일기>,출판,2224500,63,3530900,100,,0,23,
69,"유관순열사 뱃지, ""대한 독립 만세""",캐릭터 · 굿즈,96000,24,400000,10,,0,21,
70,웹툰 스케치업 얼굴 표정,웹툰 리소스,130000,13,1000000,3,,0,14,
71,자막없이 미드를 보고 싶어?《미드 속 영어표현》을 배워봐!,출판,316700,63,502600,26,,0,33,
72,빛나는 우리말 반지 [두번째],주얼리,791500,79,1001800,14,,0,17,
73,스케치업 웹툰 소품 - 안경,웹툰 리소스,235500,23,1023900,7,,0,16,
74,[디즈니 정품] 토이스토리 체인 핀뱃지,캐릭터 · 굿즈,522000,26,2007600,13,,0,22,
75,초보를 위한 변형짧은뜨기 '쉼표 목도리',잡화,80000,20,400000,2,,0,23,
76,"데노메 & 단춤과 함께하는 빵 배달, 브레드백",잡화,105000,10,1050000,2,,0,26,
77,"thanks to you, Jane",캐릭터 · 굿즈,123000,4,3075000,2,,0,20,
78,"'미스터G 앤 팬더' 모찌 인형, 키링",캐릭터 · 굿즈,580000,48,1208300,28,,0,22,
79,웹툰 <테러맨> 공식 굿즈,웹툰 · 만화,3420000,13,26307600,44,,0,15,
80,다정한 일러스트 머그컵:외롭지 않은 겨울을 위하여,홈 · 리빙,73000,7,1042800,3,,0,28,
81,멕시코 화가를 주제로 한 창작극,공연,205000,41,500000,9,,0,18,
82,별 하나에 어머니,출판,2707000,90,3007700,16,,0,10,
83,"[키링,노방백] 한여름에도 싱그러운 플라워 노방백",잡화,478000,95,503100,14,,0,28,
84,"아티스트들이 만드는 핸드폰 케이스, '아티펑크'",잡화,80000,16,500000,2,,0,27,
85,희망의 매리 메리 크리스마스,잡화,711500,35,2032800,44,,0,16,
86,당신의 애버리지를 높여줄 어벤져스가 왔다!,출판,760000,76,1000000,29,,0,24,
87,심플함과 고귀함 `Cross BallCap`,잡화,168000,8,2100000,4,,0,25,
88,"위로, 괴로움을 씻어주고 마음을 즐겁게 함",출판,634000,31,2045100,21,,0,24,
89,"플라스틱, 비닐 사용 줄이기 캠페인_뱃지 & 에코백",캐릭터 · 굿즈,739000,49,1508100,42,,0,29,
90,유튜버 커뮤니티 사이트,테크 · 가전,1000,0,0,1,,0,13,
91,"마음이 쌀쌀할 땐, 국밥 한그릇 뱃지",캐릭터 · 굿즈,262000,29,903400,20,,0,21,
92,"별거없는헌법 별일없는우리, 편하게 누워서 보는 헌법 책",출판,888000,42,2114200,34,,0,31,
93,단 하나뿐인 당신의 스터디 파트너- ‘공양미 플래너’,출판,633959,57,1112200,34,,0,30,
94,탐테 (Tamte) - 페스티벌 실시간 라인업 알림앱,테크 · 가전,645000,25,2580000,10,,0,30,
95,"3월의 봄을 담은, 여명의 결정 뱃지와 주얼리트레이",캐릭터 · 굿즈,782000,43,1818600,37,,0,29,
96,"지지않고 피어나는 꽃처럼, jewelry garden",주얼리,172000,34,505800,4,,0,30,
97,"남성향 수인 연애 시뮬레이션 '그리고, 다시 봄'",디지털 게임,983000,39,2520500,18,,0,28,
98,‘여름은 무지개빛’ 텀블러백,잡화,413000,41,1007300,23,,0,16,
99,"후회 없는 소비를 위한 ""감정 비용 노트""",디자인,236000,33,715100,18,,0,24,
100,국가순위만 알아도 당신은 똑똑 대장,출판,321000,64,501500,24,,0,20,
101,몰아서 하는 효도; 어버이날 선물 카네이션 올인원 세트,홈 · 리빙,388000,7,5542800,17,,0,31,
102,투명함; 당신의 색으로 채우기를,잡화,16500,0,0,2,,0,18,
103,[연극] 환경을 사랑하는 북극곰과 책 속 여행을 떠나요!,공연,300000,6,5000000,1,,0,32,
104,종이와 글(=Book)의 가치를 아는분과 함께하는 독서굿즈,캐릭터 · 굿즈,228000,6,3800000,9,,0,33,
105,"반려동물과의 추억을 담는 드로잉북, <반려동물 다이어리>",출판,717000,39,1838400,29,,0,32,
106,동주 뱃지 ; 시인 윤동주를 새기다,캐릭터 · 굿즈,187000,37,505400,14,,0,20,
107,크리스마스 준비는 내손에서 시작되었다. '눈꽃향초' DIY,홈 · 리빙,178000,17,1047000,8,,0,33,
108,환경을 생각하는 마음을 담아 만든 선인장 카드지갑 칵토,잡화,1804800,59,3058900,23,,0,31,
109,이별 일러스트 <우리의 시간은 조금 다르다>,예술,0,0,0,0,,0,25,
110,"고양이 발 젤리, 하루종일 만지자!",예술,172000,34,505800,12,,0,20,
111,아... 오늘따라 「그곳에 두고 온 두루마기 생각난다」,출판,748000,24,3116600,17,,0,31,
112,"안녕, 동물원 : 동물원 속 동물을 울타리 밖으로!",캐릭터 · 굿즈,368000,46,800000,30,,0,29,
113,'페이퍼 프로젝트' 페미니즘 명언 캘리그라피 굿즈,캐릭터 · 굿즈,1809000,90,2010000,25,,0,28,
114,"코로나 시대, 모두가 기다리던 <나의 첫 필사노트>의 부활",출판,766000,38,2015700,18,,0,33,
115,커넥티드 북페어 2021 - 릴레이 북 v2,출판,164000,27,607400,4,,0,25,
116,폭신폭신 쿼카 우기 노트북파우치,잡화,1154000,12,9616600,31,,0,18,
117,카드 수집형 RPG 'Epic Of Elysium',디지털 게임,105000,1,10500000,4,,0,29,
118,"아무도 모르게 티내고 싶은 커플링 ""자세히 보아야 사랑꾼""",홈 · 리빙,0,0,0,0,,0,33,
119,따뜻하게 해줄게; 코듀로이 떡볶이 크로스백,잡화,192000,19,1010500,4,,0,24,
120,원목 트레이로 식탁을 요리하자~,홈 · 리빙,0,0,0,0,,0,18,
121,초딩도 멋있게 입자구요! 아이가 먼저 찾는 옷과 모자,의류,74400,14,531400,1,,0,30,
122,"매력 뿜뿜, 앵무 캐릭터 굿즈",잡화,118500,23,515200,4,,0,17,
123,시간을 줄이고 효율은 높여줄 3D 헤드 어시스트 모델,웹툰 리소스,1242000,82,1514600,12,,0,30,
124,"2017 장미대선, 스페이스정글이 함께 합니다!",예술,548000,18,3044400,20,,0,27,
125,학교에서 펼쳐지는 어반판타지! 여성향 추리게임 <비포다운>,디지털 게임,7234000,72,10047200,111,,0,33,
126,나를 위한 휴가 <교토의 여름>,의류,676000,33,2048400,7,,0,18,
127,"브라이덜샤워를 위한 조금 특별한 파티키트, '오킷'",홈 · 리빙,373500,22,1697700,9,,0,29,
128,한글나라 캐릭터 디자인 굿즈,캐릭터 · 굿즈,44000,4,1100000,3,,0,16,
129,꼬옥 안아주고 싶은 먀옹이 쿠션,웹툰 · 만화,5189000,61,8506500,121,,0,18,
130,"마다가스카르 그림책 '안녕, 마다가스카르!'",출판,1269500,50,2539000,38,,0,25,
131,WITH YOU_당신은 혼자가 아닙니다. 함께합니다,캐릭터 · 굿즈,339000,26,1303800,20,,0,29,
132,"지친 나를 위한 작은 위로. 수고했어, 오늘도.",캐릭터 · 굿즈,78500,15,523300,9,,0,27,
133,[커버노트] 건설 소재의 재해석 3탄,디자인 문구,2378000,47,5059500,100,,0,21,
134,퀴어프렌들한 카페 사르르녹다,디자인,81000,8,1012500,6,,0,16,
135,이성편/감성편으로 구성된 다이어리세트 [냉정과 열정사이],디자인 문구,335000,11,3045400,14,,0,32,
136,"새로운 하루를 위한 , 새로운 타월",홈 · 리빙,8000,0,0,1,,0,20,
137,[유기동물 뱃지]시린 이 겨울 따뜻한 밤하늘을 선물해주세요,잡화,641000,32,2003100,43,,0,33,
138,"인생 숙제, 나의 죽음 준비 프로젝트 [메멘토모리]",출판,53000,5,1060000,4,,0,29,
139,"손 안의 작은 조약돌, 페블 그립톡",캐릭터 · 굿즈,436300,87,501400,10,,0,20,
140,『좋아하는 일을 해도 우울할 때』 삽화 에세이 ebook,출판,40000,4,1000000,2,,0,32,
141,조동우 연출작 - [옆집에 간첩이 산다.],영화 · 비디오,230000,23,1000000,6,,0,24,
142,"찰나의 순간 , 쨍 하게 나를 빛내 줄 <봄 치마>",의류,5015000,50,10030000,50,,0,29,
143,보기만 해도 심쿵! 꾸르미와 꼬래 모찌쿠션,캐릭터 · 굿즈,267700,5,5354000,9,,0,24,
144,스케치업 웹툰 배경 - 중세 산골마을/판타지,웹툰 리소스,420000,42,1000000,14,,0,25,
145,편안하고 자연스러운 조끼형브라 '꿈브라',의류,1142000,78,1464100,18,,0,23,
146,백화점에서 줄서서 먹던 스콘의 친환경 B대면 DIY 키트,푸드,275000,27,1018500,16,,0,32,
147,'해마’와 ‘날개하늘나리’에게 내일을 선물해 주세요.,홈 · 리빙,1459000,97,1504100,54,,0,30,
148,"모른다면 생존할 수 없다 ""주식 투자 숨겨진 5가지 원칙""",출판,187000,37,505400,14,,0,33,
149,웹툰과 일러스트를 위한 꽃브러쉬,웹툰 리소스,49651500,4965,500000,1659,웹툰과 일러스트에 사용할수있는 꽃소재입니다.,1,18,25.0
150,오디오웹툰으로 만나는 <고래별_경성의 인어공주> 시즌2,웹툰 · 만화,347353000,267,500000,1712,많은 사랑을 받았던 네이버웹툰 <고래별> 오디오웹툰 펀딩이 시즌2로 돌아옵니다!,1,31,45.0
151,꼬마마법사 레미 공식 한정판 굿즈,영화 · 비디오,74329000,247,500000,979,방영 20주년 기념 '꼬마마법사 레미' 공식 한정판 굿즈를 소개합니다!,1,19,40.0
152,만화가의 금융에세이 <자산소득으로 생활하기 프로젝트>,출판,12830500,366,500000,471,1억1천400만원을 모으겠어! 노동탈출 금융에세이 <자산소득으로 생활하기 프로젝트> 단행본,1,30,51.0
153,"당신을 지켜주는 영물, '메롱해치 자수 KIT'",홈 · 리빙,7777000,777,500000,298,메롱해치 자수 키트는 쉽게 프랑스 자수를 배울 수 있는 키트입니다.,1,27,38.0
154,파댕이가 돌아와따 ! [흑우 파댕이 인형],캐릭터 · 굿즈,36523000,456,500000,683,파댕이가 돌아와따 ! 모찌 흑우 파댕이의 입양자가 되어주세요!,1,24,35.0
155,"코디 걱정 없이 편하게, '나봄 저고리 셔츠&허리치마'",의류,85799000,8579,500000,624,"내가 가지고 있는 일상복과도 매치하기 쉬운 한복, 나봄 저고리 셔츠&허리치마",1,31,43.0
156,[스케치업] 로판 일러스트를 위한 평민들의 거리,웹툰 리소스,34548000,1727,500000,261,다양한 디자인으로 구성된 평민들의 거리를 제작하였습니다.,1,27,32.0
157,죽음을 연습하는 200가지 질문 -『질문의 죽음』,출판,3822000,318,500000,226,죽음을 연습하는 질문 200개가 수록된 질문집,1,28,26.0
158,로맨스 판타지 웹툰에 도움이 되는 엑스트라 브러쉬,웹툰 리소스,49309000,2465,500000,531,로맨스판타지 작품에 도움이 될만한 엑스트라의 활용도를 더 높여 돌아왔습니다!,1,28,43.0
159,"혼자하는 담력시험, 공포게임『Last Light』",디지털 게임,14010000,280,500000,493,친구를 찾아 어두운 폐병원을 헤매는 공포 게임... 과연 설화는 친구를 찾을 수 있을까..,1,28,51.0
160,[AAF] 50인의 아티스트가 해석한 <식물 합작 아트북>,출판,23092333,209,500000,268,"팀 Artist Ability Family의 첫번째 텀블벅 프로젝트.
<마법의 숲 도서관>",1,33,51.0
161,오스카 와일드 <행복한 왕자> 1888년 초판 복원,출판,8298000,276,500000,395,1888년에 발표된 오스카 와일드의 <행복한 왕자> 초판을 복원하려고요!!!,1,29,43.0
162,변호사가 알려주는 성폭력 피해자를 위한 법률가이드,출판,4912000,982,500000,251,성폭력 피해 직후부터 재판에 이르기까지의 과정 동안 어떻게 대응해야 할지를 알려드립니다.,1,28,50.0
163,"웹툰, 일러스트를 위한 100종류의 다양한 문양들",웹툰 리소스,4914000,982,500000,223,100가지 종류의 다양한 문양 장식들을 준비 중 입니다. ,1,28,33.0
164,[지갑송 장편소설] <소설 속 엑스트라 큐브 편> 애장판,출판,26742000,106,500000,152,"지갑송 작가 퓨전 판타지 장편소설, 소설 속 엑스트라 하드커버 애장판",1,32,39.0
165,매일 3분 라인이 살아나는 습관,출판,5046000,504,500000,133,일상의 기록만 해도 라인이 살아나는 습관,1,18,23.0
166,"내 손으로 하이드를 깨우다, 지킬 투 하이드 잉크",디자인 문구,34047000,3404,500000,703,지킬 잉크에 약물을 주사하면 하이드 잉크로 변신하는 만년필/드로잉 잉크 <지킬 투 하이드>,1,28,51.0
167,목격자의 진술로 사건을 해결하는 추리 게임 [미제 사건],보드게임 · TRPG,15207000,304,500000,327,목격자 진술을 바탕으로 연쇄 살인마의 사건을 추리하세요.,1,32,32.0
168,[CachiBag]물과 햇빛 그리고 선인장으로 빚은 가치백,잡화,32778000,409,500000,193,"물과 햇빛 그리고 선인장으로 진짜 환경을 생각하는 패션, 가치백을 소개합니다.",1,33,44.0
169,시간을 담은 포스터 만화책 <MEMO> 출간,웹툰 · 만화,3684000,184,500000,111,작가의 메모를 이미지화 시킨 포스터만화책 출간 프로젝트입니다.,1,25,35.0
170,"식물이 있는 우리, 타이페이식물원",출판,3842500,109,500000,85,대만 그림여행에서 만난 타이페이식물원. 그곳을 산책하며 남긴 드로잉을 모아 독립출판합니다.,1,19,51.0
171,길몽 팔아서 1억을 번다고요? 한국형 판타지 소설 <옥토>,출판,4040000,808,500000,183,조선시대부터 길몽과 흉몽을 거래해온 평창동 꿈집! 그 신비롭고 애틋한 이야기를 풀어봅니다.,1,33,51.0
172,"우주만큼 복잡한 내 감정 찾기, 코스믹 마인드 오로라 카드",디자인,15203000,337,500000,546,"공감과 마음챙김 명상의 기초를 위한 시각적 자료, 감정카드입니다.",1,33,37.0
173,"영롱한 펄과 함께 동화 속으로 초대할게요, 밀크웨이 입욕제",향수 · 뷰티,18002500,3600,500000,446,"저희가 만든 동화같은 작고 아름다운 공간, 한 번 만나보시겠어요?",1,33,37.0
174,혹시 나도 탈모인가? 걱정한적 있다면! 헤막안티헤어로스샴푸,향수 · 뷰티,7307900,146,500000,167,"두피는 건강하게, 모발은 부드럽게, 향기로운 꽃향을 담은 탈모증상완화에 도움을 주는 샴푸!",1,33,51.0
175,"스케치업 해안마을과 소방차, 이삿짐차",웹툰 리소스,13925000,1392,500000,262,"만화에 적합한 배경, 자연과 가까운 마을, 탁트인 전망, 다양한 구조로 만들었습니다.",1,21,48.0
176,지구 멸망을 앞둔 두 여자의 사랑 소설 <멸망의 감정>,출판,3850000,192,500000,174,"보이지 않는 것들까지 미움받는 예언가와 사랑에 빠진 여자, 그 두 사람 앞의 지구 멸망.",1,31,50.0
177,66100 2020 브라렛,의류,11615200,116,500000,171,"더 좋은 원단, 편안한 디자인으로 다시 돌아온 66100 브라렛",1,15,36.0
178,30종의 비인간 존재가 되어보는 <상괭이와 춤을> 키트,보드게임 · TRPG,6392000,127,500000,136,지구 위 모든 존재의 평화로운 삶을 꿈꾸며 사람이 아닌 존재들의 이야기를 담았습니다.,1,31,48.0
179,맥베스의 향기를 찾았다 <넵튠과 아포리아>,향수 · 뷰티,5728000,636,500000,131,맥베스와 레이디 맥베스를 향기로 가득 담았습니다.,1,24,28.0
180,[RE:PLA] 쓰레기도 줄여주고 플라스틱 업사이클까지??,홈 · 리빙,5451200,545,500000,231,버려지는 플라스틱이 쓰레기를 줄이는 제품으로 돌아오다,1,33,30.0
181,웹툰&일러스트에 활용하기 좋은 <헤일로(후광)>소재,웹툰 리소스,11918000,1191,500000,316,웹툰&일러스트에서 심심한 뒷배경을 채울 수 있는 소재입니다!,1,29,34.0
182,나의 졸업을 막으려는 누군가가 있다? [공포의 조별과제],보드게임 · TRPG,7687700,109,500000,169,[100%달성]이번 학긴 A+!우리 조에 빌런이 있다구?! 빌런 피해 조별과제하는 보드게임,1,32,51.0
183,대체 불가한 독보적인 컬러의 아티스트 프롬 LP 발매,음악,28807000,960,500000,529,대체불가한 독보적인 컬러의 싱어송라이터 프롬 (Fromm)의 첫 LP 발매,1,30,42.0
184,내년의 우린 좀 더 평안하고 행복하길 <차와향 리추얼키트>,푸드,3793000,379,500000,38,티소믈리에가 엄선한 차와 향기작가가 만든 천연향으로 오감을 힐링하는 차와 향 리추어 키트,1,33,50.0
185,"사랑을 다룬 단편선, <기묘한 사랑에 관한 보고서>",웹툰 · 만화,3072000,438,500000,136,인외적 존재와의 기묘한 사랑을 다룬 단편집.,1,29,25.0
186,"강원의 겨울산 모습을 닮은 세미 커스터마이징 가방, 산산백",잡화,8523500,852,500000,102,"겉가방 따로, 속가방 따로! 맘대로 새로운 룩을 연출할 수 있는 캔버스백을 소개합니다",1,33,48.0
187,"서사의 주인공을 맡아보세요, 짙은 여운을 머금은 북퍼품",향수 · 뷰티,6369000,212,500000,124,"""높은 파도, 오후의 볕, 한낮의 잠, 짙은 새벽-"" 작가가 직접 조향한 프리미엄 북퍼퓸 ",1,31,51.0
188,녹차 없는 녹차는 그만! 설탕 없이 달달한 달콤 아몬드녹차,푸드,3300000,660,500000,93,"화학첨가물과 설탕은 빼고, 건강한 달콤함과 아몬드의 고소함을 담아낸 녹차 파우더입니다.",1,33,49.0
189,따듯한 햇살의 포근함을 드려요 [ 안전한 섬유 탈취제 ],향수 · 뷰티,5369000,1073,500000,94,좋은원료로 만든 안전한 섬유 탈취제! 고민할 필요없이 선택은 필수입니다.,1,32,41.0
190,폐플라스틱의 재탄생! 따뜻한 플라삭스,잡화,1177800,235,500000,52,"[일상의 가치있는 제품]
폐플라스틱 담은 따뜻한 양말 플라삭스.",1,21,36.0
191,윌리엄 모리스가 말하는 『아름다움을 만드는 일』,출판,3278000,163,500000,103,"영국 빅토리아 시대의 대표 예술가, 윌리엄 모리스가 말하는 『아름다움을 만드는 일』",1,27,47.0
192,서울대생이 만든 공부습관 형성 플래너 & 뉴스레터,출판,1533590,306,500000,85,꾸준히 공부하는 데에 어려움을 겪는 학생들을 위한 공부습관 형성 프로젝트,1,28,41.0
193,인생의 향기가 궁금할 때 <6가지 여정의 향>,향수 · 뷰티,3018900,603,500000,122,여섯 가지 향기가 전하는 여정과 함께 해보세요. 피우미 섬유향수&룸스프레이,1,26,42.0
194,극단 '공백' 2021 창작뮤지컬 [레테의 정원],공연,5057000,101,500000,69,극단 공백 2021 창작뮤지컬 [레테의 정원],1,28,26.0
195,"믿을 수 있는 건 무엇인가요?, 단편영화 <침묵>",영화 · 비디오,1238332,103,500000,39,안녕하세요. 서울예술대학교 젊은창작 지원 사업 당선작 단편영화 <침묵>입니다.,1,28,44.0
196,지구돌봄을 위한 유쾌한 탐험! 생태놀이판 <토킹어스>,보드게임 · TRPG,1798000,359,500000,29,"보드게임을 통해 기르는 생태감수성, 생태놀이판 <토킹어스>",1,30,33.0
197,할머니 할아버지를 위한 놀이책 <월간 실버>,출판,1739000,289,500000,129,'월간 실버'는 할머니 할아버지를 위해 만들어진 책입니다.,1,25,33.0
198,"달빛을 머금은 도자기, 월백 균요",홈 · 리빙,2587000,258,500000,33,"동양의 오래된 청자, '월백 균요'를 현대적으로 재해석한 테이블웨어로 선보입니다.",1,19,46.0
199,연필스케치 컬러링 북 '널 위해 핀 꽃',출판,2362000,118,500000,74,부드러운 연필 스케치로 이뤄진 감성 힐링취미 보테니컬 컬러링&엽서북 같이 색칠해요!,1,23,47.0
200,[시간 탐험집] 나와 당신의 서른 즈음에,출판,2542000,195,500000,87,서른은 우리의 삶을 어떻게 바꿨을까? 서른에 대한 30개의 물음과 30인의 답장.,1,23,46.0
201,"크레용으로 그린, 따스한 공간이 담긴 2021년 패브릭달력",디자인 문구,575000,191,500000,20,마음이 따스해지는 크레용 그림이 담아서 2021년 패브릭/종이 달력을 만들었습니다.,1,33,47.0
202,2022 나만의 색으로 채우는 ColorFill Diary,디자인 문구,2545000,127,500000,47,"당신의 일상을 다채로운 색으로 채워나가며 기록하고
자신만의 컬러 시스템을 구축해보세요.",1,33,49.0
203,Band 'WILLY' 첫 EP앨범 제작,음악,3694000,147,500000,76,"2020년 4월 'dreamers' 발매 후, WILLY 첫번째 EP앨범 발매 프로젝트.",1,23,50.0
204,"색다른 그림책, 색 상상책 1편",출판,3775000,188,500000,78,색 상상책은 평범한 하나의 색으로부터 특별한 이야기가 시작됩니다.,1,18,37.0
205,"미세먼지 거두고 예쁜 도시로, 보드게임 '더스트 플래닛'",보드게임 · TRPG,4122000,103,500000,83,"미세먼지가 점령한 마을! 미세먼지를 거두고 자연과 동물, 사람이 더불어 살도록 도와주세요!",1,32,51.0
206,[스케치업] 화려하고 실용적인 로판 호텔공간9종+기차,웹툰 리소스,5346000,534,500000,92,로판풍 호텔의 아름다운 9가지 공간과 증기기관차를 담은 웹툰배경입니다.,1,30,40.0
207,"물 위에 뜬 자연, 제주의 잔영(殘影)이 그린 사진집",사진,2051000,102,500000,70,"물 위에 뜬 자연, 제주와 배우 류아벨 그들을 닮은 그림 사진집 <류의섬>",1,31,42.0
208,"우리들의 여행을 지키기 위해, TMT travel set",잡화,3350100,670,500000,66,"'Too Much Trash!'
여행과 지구를 생각하는 [TMT travel set]",1,32,48.0
209,[보람줄] 웹툰배경#4 회사로비 & 사무실,웹툰 리소스,1500000,150,500000,25,세련된 회사 로비와 빈티지 감성이 묻어 난 사무실 입니다.,1,24,33.0
