index,title,category,current_funding_amount,percentage,target_funding_amount,supporter,description,result,title_len,intro_len
4668,아델리의 스티커 타투,캐릭터 · 굿즈,4551000,455,1000000,184,가장 가까운 곳에서 피어나는 아델리의 꽃을 만나보세요.,1,12,31.0
4669,핑케치업 소품창고,웹툰 리소스,9100000,455,20000,335,웹툰 제작에 필요한 스케치업 소품들 입니다.,1,10,25.0
4670,2022년 빨간고래의 캘린더 /고양이와 꽃,디자인 문구,13649700,454,3000000,634,귀여운 고양이와 꽃이 그려져있는 2022년도 일러스트 캘린더 입니다.,1,24,39.0
4671,"동양화 속에 들어간 소녀 , 린 (燐)",디지털 게임,9098000,454,2000000,263,"""내 이름은 린 (燐) , 그림 속으로 들어간 소녀이다."" // 동양화를 품은 게임 [린]",1,22,51.0
4672,"[톤포투] 여성용 드로즈, Air Light",의류,22727000,454,5000000,445,"톤포투의 두 번째 여성용 드로즈, 에어 라이트입니다.",1,25,30.0
4673,"아동 성착취 실태 알리기, 타임스퀘어 광고 KEDO OUT",예술,90901000,454,20000000,4586,KEDO OUT은 대한민국 아동 성범죄 근절을 위한 타임스퀘어 광고를 진행합니다.,1,33,46.0
4674,"우리의 사랑은 모두, <평범하고 특별했던>",웹툰 · 만화,1363000,454,3002,59,<평범하고 특별했던>과 <2B 2018 만화모음>이라는 단편 만화 프로젝트입니다.,1,24,46.0
4675,자연과 시간이 빚어낸 115가지 매력적인 돌 이야기,출판,13627000,454,30015,684,“이토록 아름다운 돌”_우리 곁에 있지만 미처 몰랐던 돌의 모든 것,1,29,38.0
4676,새해 '복을 채우다' 설맞이 주병선물세트,홈 · 리빙,3633000,454,8002,62,"새해 기분 좋은 첫잔, 새해 복(福) 많이 채우세요- 핸드메이드 도자주병세트",1,23,43.0
4677,"코코넛 럼 향기 가득, 달콤한 파인애플 칵테일 #피나콜라다",향수 · 뷰티,4540000,454,10000,142,부드러운 코코넛 럼과 달코~옴한 파인애플이 만나 세상 둘도 없는 피나콜라다가 되었습니다.,1,33,50.0
4678,[웹툰 스케치업] 한국 재벌 대저택의 모든 것,웹툰 리소스,4540000,454,10000,58,"다양한 활용이 가능한 <히트 드라마 ""재벌의 저택"" 사용해보기> 라는 테마로 준비했습니다.",1,26,51.0
4679,풍요로운 한가위! 여러분들을 위한 건강 한 바구니!,푸드,2270000,454,500000,55,풍요로운 한가위! 건강 한 바구니 선물하세요~,1,29,26.0
4680,몰랑 크리스마스 트리 피규어 세트,캐릭터 · 굿즈,9076000,453,20035,148,Merry Christmas~!! 몰랑 한정판 크리스마스 피규어와 트리세트를 선물해보세요~,1,19,51.0
4681,네이버웹툰 <좀비딸> 귀염뽀짝 애용이쿠션과 애용껄룩 키링,캐릭터 · 굿즈,68055071,453,15000000,2344,인기 목요웹툰 <좀비딸>의 씬스틸러 애용이와 껄룩이가 쿠션과 키링으로 재탄생했습니다!,1,32,48.0
4682,[뱃지] 아치X하탄미심즈의 꽃길 냥프로젝트!,캐릭터 · 굿즈,6805000,453,1500000,200,아치&하탄미심즈를 사랑해주는 분들을 위한 후원 굿즈입니다. 꽃길만 걷자냥!,1,25,42.0
4683,"봉사자가 인수한 유기견 보호소, ‘희망’을 노래하다",캐릭터 · 굿즈,22665500,453,50034,785,"봉사자가 인수한 유기견 보호소, '감염률 42%' 사상충 치료비 및 운영비 마련을 위하여!",1,29,51.0
4684,연애시뮬레이션게임 <TS FANTASY>에 목소리를 주세요,디지털 게임,11329000,453,2500000,181, Steam 출시예정인 어드벤처 연애 시뮬레이션 게임에 한국 성우를 붙이고 싶습니다.,1,33,48.0
4685,MBTI에 관한 거의 모든 것이 담긴 책『MBTI의 의미』,출판,9062700,453,2000000,379,MBTI에 관한 거의 모든 것이 담긴 책,1,33,23.0
4686,"올바른 지갑, 전쟁을 반대하다",잡화,453000,453,1000,11,"모순적인 두 단어 ""평화와 전쟁""의 메세지를 담아 실험적 이미지의 유니섹스 디자인 입니다.",1,17,51.0
4687,마녀를 좋아한다면 필독! 마녀 교과서 「 위치즈 」,출판,31709000,452,7000000,1234,오컬트 교과서 시리즈 그 첫 번째 마녀 교과서 위치즈 마녀의 모든 것을 알려 드립니다,1,29,48.0
4688,"[쿠키들의 파티] : 최고의 쿠키 ""랑그드샤""",푸드,2264600,452,5010,93,"안녕하세요 쿠키 & 케익 전문 ""알오 디저트""입니다.",1,26,30.0
4689,웹툰 스케치업 왕궁시리즈#3 침실3종 & 엔틱 가구100종,웹툰 리소스,4525000,452,10011,49,왕궁시리즈 3탄 '침실'과 앤틱가구들 모음입니다.,1,33,28.0
4690,웹툰 일러스트를 위한 헤어 브러쉬,웹툰 리소스,2262000,452,5004,114,간단하고 빠르게 헤어를 그리기 위한 브러쉬 30종!,1,19,29.0
4691,"사서인식개선프로젝트 ""사서라고 불러주세요""",잡화,6783000,452,1500000,314,"도서관에서 지워진 직업 사서에 대해 이야기하고 싶습니다. 우리를 ""사서""라고 불러주세요.",1,24,50.0
4692,"금단의 열매, 그 기름진 붉은 '속살'의 향기",향수 · 뷰티,3617100,452,8002,83,부드럽다 못해 끈적이기까지한 달콤한 과육의 무화과. 욕망 가득 찬 금단의 열매로 만든 향수,1,26,51.0
4693,<최초의 스노우볼 주얼리>흩날리는 벚꽃의 계절을 담아,주얼리,4521200,452,10002,103,일년에 한 번뿐인 벚꽃의 계절을 담아 간직하는 벚꽃 스노우볼 주얼리!,1,30,39.0
4694,"칵테일을 향수로, '칵테일 프래그런스 바'에 초대합니다",향수 · 뷰티,4521000,452,10002,78,"뜨거운 도심 속에서 느끼는 청량한 칵테일의 향, '다이키리'와 '시브리즈'",1,31,42.0
4695,내가 쓰는 전시회. 나를 만나는 예술 질문집 [미술관],출판,2260333,452,5000,77,신진작가들의 작품과 질문을 통해 자신의 삶이 던지는 물음에 답하세요.,1,31,39.0
4696,태블릿PC 유저를 위한 바댈의 [2021 비즈니스 플래너],디자인 문구,1356000,451,3006,89,태블릿 PC와 착! 붙어버릴 여러분의 오피스 라이프를 위한 디지털 플래너,1,33,41.0
4697,로판 프릴 & 레이스 장식 브러쉬,웹툰 리소스,4520000,451,10022,154,▣ 총 100종이 넘는 로판풍 프릴 & 레이스브러쉬 & 보석브러쉬 & 보석장식 입니다~!,1,19,50.0
4698,"젊은 광부의 이야기, 단편영화 <정원>",예술,2711000,451,600000,12,동아방송예술대학교 졸업작품 <정원> 입니다.,1,22,25.0
