,title,current_funding_amount,percentage,target_funding_amount,supporter
2816,[보타닉하우스] 시더우드숲에서 발견한 신비로운 호수의 향기,3755100,751,5000,182명
2817,연인의 성적취향을 알 수 있는 커플 질문 카드게임 붕가카드,3755000,751,500000,246명
2818,당신을 위한 한권의 책 '일상발견 다이어리',7504200,750,1000000,371명
2819,"내 몸을 위한 안전한 씻음, 여성속옷세제 '마이랑쥬80'",4502500,750,6003,169명
2820,"유기견을 위한 굿즈, 뱃지 & 강아지 인식표",6001500,750,8002,416명
2821,나의 일상과 함께하는 기타 Klang+,37506000,750,5000000,129명
2822,[3차앵콜]한번 신으면 벗을 수 없는 메모리폼 스니커즈,3750400,750,5000,74명
2823,하루 10분 공부로 끝내는 주식꿀팁 20가지,2250000,750,300000,375명
2824,"성지 할머니들의 꿈을 담은 물건들: 엽서책, 일력, 유리컵",7500000,750,1000000,333명
2825,스케치업 웹툰배경 놀이공원,1500000,750,2000,25명
2826,"너가 생각하던 상상 속 그 맛, 만화요리책",22496000,749,3000000,"1,253명"
2827,"산티아고로 도망간 두 유부녀, <우는 대신 걸을게요>",5249000,749,7008,181명
2828,빨강머리 앤의 선물 _ 영문으로 만나는 1일 1앤,7497000,749,10009,314명
2829,시스루 레이스 브러쉬,7497000,749,10009,172명
2830,<체스의 정석 - 기초편> 나도 퀸스 갬빗 주인공처럼!?,17230000,749,23004,733명
2831,세상에서 가장 심플한 스카프 '미니멀 실크 스카프',2246000,748,3002,81명
2832,"대한민국 국회의 정석, '국회과부도'",3742924,748,5003,223명
2833,캐주얼함과 포멀함의 경계 '데일리 스트라이프 셔츠',3742000,748,500000,90명
2834,우주를 줄게. 블랙 문스톤,2245000,748,300000,36명
2835,"[귀걸이 정기구독] 매달 새 기분을 보내드려요, 달나라",7476000,747,10008,161명
2836,플라스틱 업사이클링으로 만나는 책상 위 작은행복 책선반,7475000,747,1000000,191명
2837,판타지 월드 [평화와 파괴],3735000,747,5000,34명
2838,"달라서 아름다운, 감성 돌잡이 <아름다름>",5228000,746,700000,67명
2839,누구나 쉽게 적용 가능한 클립스튜디오 새 브러쉬 2탄!!,3732000,746,5002,189명
2840,[웹툰 스케치업 배경] 38평형 아파트 내부&핸드폰 7종,3732000,746,5002,106명
2841,"해와 달, 그리고 별이 있는 곳 : 스텔라리움",7461000,746,1000000,77명
2842,"웹툰배경셋트! 카페, 포장마차,법원,모텔,일식집등 45개!",7461000,746,1000000,71명
2843,마다가스카르의 꿈을 담은 포토에세이와 패브릭달력,7461000,746,1000000,180명
2844,[썸:]우치 : 썸을 타는 파우치,746000,746,1000,143명
2845,장애 아동과 함께하는 디자인 협업 프로젝트 'co-끼리',3727000,745,500000,79명
2846,SNS 인기툰『망생일기』출간 기념굿즈 (미공개 원고 포함),3726600,745,5002,182명
2847,스케치업 웹툰배경 #01 판타지 중세마을세트,7450000,745,10000,149명
2848,길냥이들을 지켜주세요,745000,745,100000,54명
2849,"꽃을 품은 초콜릿, 봄을 그리다.",745000,745,100000,25명
2850,노바1492,74494503,744,10000000,"1,117명"
2851,"화투를 ""타로카드""로 만들다! - 사계화투 타로카드",37238000,744,50051,732명
2852,멈-하! 퐁실퐁실 방구쟁이 <멈이>,14884007,744,20005,552명
2853,마법에 진심인 편! 장르불문! 마법에 필수 브러쉬 세트!,3720000,744,5000,130명
2854,취향 저격 봄 향기 <그린 레모네이드>,3718000,743,5004,118명
2855,"스케치업 웹툰배경-현대적인 감각의 회사, 사무실",7435000,743,10006,101명
2856,나는 스마트폰으로 매일 인생사진 찍는다,22293500,743,3000000,"1,379명"
2857,달콤한 조각 스위티시카빙,2970000,742,4002,130명
2858,"아이디어 하나로 돈 버는 노하우, [창작자 가이드북]",3710800,742,5001,216명
2859,키우면 복이 와요! 네이버웹툰 <범이올시다!> 범이 인형,31157000,741,4200000,712명
2860,로버트 헌터의 <정글북>,11122000,741,15009,427명
2861,"울퉁불퉁! 모나도 사랑스러워! 쫀~득, 꾸~덕 범피 쿠키!",7413200,741,10004,179명
2862,속셈을 가진 단편만화집 [속셈 vol. 1 여성서사],7413000,741,1000000,306명
2863,300만 살 브라키오의 일상에세이 '우리는 조구만 존재야',7410719,741,10000,291명
2864,합성첨가물 제로_아침에 따온 딸기로 만든 바른 딸기우유,3704100,740,5005,140명
2865,중세 마을풍경과 시장,9630000,740,13013,214명
2866,"5,000원으로 영작 달인, '베껴쓰기로 끝내는 영작문'",7407500,740,10010,676명
2867,네이버웹툰 <커피도둑> 단행본 1~3권 세트제작,22214000,740,30018,511명
2868,"신라 화랑 연애 어드벤처! ""봄이 오면 꽃이 피고""",37021000,740,5000000,411명
2869,"가슴이 이끄는 대로,「 Dear Ms. Me 가슴석고팩 」",7402300,740,10003,154명
2870,"수제청도 건강하게, '무설탕 수제청'",1109800,739,150000,37명
2871,조선여성 첫 세계일주기,3698000,739,5004,288명
2872,"내 Y존을 부탁해, '천연 여성청결제""",5916500,739,8006,182명
2873,"원 펀치 세븐 취향, 대담집 ⌈장르의 장르⌋",7395100,739,1000000,416명
2874,BEM FW 17 - 김경태 (EH),1478000,739,200000,37명
2875,[앵콜] 실용적인 디자인의 쌍둥이 크로스백,7389000,738,1000000,497명
2876,"웹툰 스케치업 배경_편의점,PC방,당구장(내부,외부)",7388500,738,10011,144명
2877,44부터 99까지 다양한 디자인으로 만나는 노브라 원피스,7387000,738,1000000,88명
2878,1일 1팩 ! 여름이니까 아이스초코,2216000,738,3002,93명
2879,내맘대로 디자인하는 여행용 스트랩샌들,7378900,737,10012,200명
2880,매일매일 할머니 사랑 안에 데일리백 3종,3688500,737,5004,74명
2881,초등학생이 좋아하는 글쓰기 소재 365 핸디북,7375000,737,10006,688명
2882,인쇄물 미리보기 <글자/틈/사이>,13267000,737,18001,711명
2883,『페미니즘 폰케이스』손 안의 페미,3683000,736,500000,194명
2884,웹툰 이펙트+엑스트라,3682000,736,5002,83명
2885,4색 팔레트 실버 원석 목걸이,2208000,736,3000,66명
2886,"근미래 수사물, 스타일리쉬 TRPG 팀셜록",73577000,735,10000000,"2,025명"
2887,바리스타가 만들어 맛있는 수제 밀크티베이스 4종,3678000,735,5004,139명
2888,"월간커피, 카카오 56% 맛의 진하고 고소한 콜드브루 커피",3677000,735,5002,247명
2889,먹고 또 먹는 마카롱가게 '아롱트리',1837000,734,250000,88명
2890,아르누보풍 꽃무늬 브러쉬 세트 [ 아누쿠 ],3672000,734,5002,114명
2891,"도밍의 세계동화 컬러링북, 당신의 동화를 색칠하는 시간",36716500,734,5000000,921명
2892,2018 굿데이 프로젝트 첫번째 이야기 破 _한 아름 뱃지,3668000,733,500000,306명
2893,<반달베어스> 멸종위기야생동물 반달곰 캐릭터가 찾아왔어요!,3664000,732,5005,83명
2894,[냥만의 그립톡&굿즈]냥하! 나는 앙버터냥이고 그립냥,2198000,732,3002,104명
2895,나만의 혼술 ON.THE.RECORD,5856000,732,800000,189명
2896,웹툰스케치업 한강공원배경,7320000,732,10000,61명
2897,"[앵콜]화양연화(花樣年華), 이름의 의미를 담은 한자 반지",3657900,731,5003,53명
2898,청춘을 그리다 <푸른불꽃>,21945104,731,3000000,803명
2899,작은 읍.면 단위의 소도시입니다.,7315000,731,10006,209명
2900,"통째로 갈아만든 안동 생강진액 , 생강이야기",7312000,731,10002,195명
2901,나만을 위한 향을 만들다 : 퍼퓸 키트,14623000,731,2000000,355명
2902,한국의 전통예술을 가방에 담다: 한옥 가방,3654000,730,5005,13명
2903,"달을 닮은 천연석 반지, 당신의 이야기를 담아 빛나다",3653000,730,500000,70명
2904,따스한 감성과 실용성을 담은 '4가지 넥카라' 데일리 셔츠,3652500,730,5003,37명
2905,"유럽이 사랑한 작가, 국내 첫 출간 <2021 시즌그리팅>",3649100,729,5005,132명
2906,묘하고 아름다운 차 한 잔 - #1 나의 첫번째 중국차,14596000,729,20021,219명
2907,아 맛나! 스콘!,7295800,729,10007,170명
2909,채소요리 전문가 가족의 [베지따블 채소 레시피],5460200,728,750000,415명
2910,[올댓러브]사랑스런 복숭아&성숙한 튤립 (feat.맨디),3637000,727,5002,65명
2911,웹툰&일러스트 퀄리티를 높여주는 다채로운 꽃과 과일 브러시,7274000,727,1000000,263명
2912,웹툰 작가를 위한 밴드악기/합주실/라이브 홀 스케치업 배경,7274000,727,10005,149명
2913,"유기견 꽃길 프로젝트(드라이플라워 DIY 엽서, 뱃지3종)",9454000,727,13004,573명
2914,그 시절 요즘세대 <엄마의 마법 목걸이>,7270500,727,10000,195명
2915,"[앵콜전] 달한잔주병, 다과접시 선물세트",5816000,727,8000,119명
2916,로맨스판타지 장르에 어울리는 깔끔한 후광 문양 브러쉬 모음,3633500,726,5004,156명
2917,"[747] 로판을 위한 브러시, 소재, 프레임 세트",7266000,726,10008,181명
2918,잠 못드는 피부를 위한 깨끗한 습관 : zZz 베개 커버,5445708,726,750000,385명
2919,스마트폰 RPG만들기 'RPG스토어' 2차,3630000,726,500000,37명
2920,[eBook] 성희롱 고발 직장인의 5년 실패기,7259000,725,10012,254명
2921,"스케치업 배경, 동양풍 배경 시리즈-고위 관료의 집(외부)",3627000,725,5002,93명
2922,"[활자,압화책갈피]사라져가는 활판인쇄 되살리기",5077000,725,7002,234명
2923,신비로운 우주에서 차 한 잔 [뱃지 22종],7252500,725,10003,149명
2924,내 소중한 취향과 공간을 지켜주는 ‘세이프보드’ 가림막,3626000,725,5001,28명
2925,웹툰스케치업_루이16세의 기요틴,725000,725,1000,48명
2926,덕후공감 힐링만화 <툇마루에서 모든 게 달라졌다> 완간기념,3623800,724,500000,123명
2927,2020 달력 <Be Your Own Muse>,1449500,724,2002,73명
2928,"왕초보 영작문, ""베껴쓰기로 시작하는 영작문""",7246100,724,10008,420명
2929,"북극곰처럼 따듯하게, 폴라베어 자켓",7243500,724,10004,93명
2930,다양한 점들의 형태. 점을 주제로 한 인물사진 촬영.,7240000,724,1000000,77명
2931,신도하(하야미히로) 생일 축하 지하철 광고,21717616,723,3000000,981명
2932,문구와 패션이 만나 더 담백한 오늘,5790900,723,800000,160명
2933,만화 존잘식당 메이킹 북_레오나르도 다 빈치의 창업 일지,9044004,723,1250000,431명
2934,사라진 <독도쿠키>를 살려줘! 독도커피&쿠키 크리스마스선물,7234000,723,1000000,264명
2935,웹툰 스케치업 스팀펑크 도시,3616000,723,5001,71명
2936,S.I.D-Sound의 10주년 기념 프레젠트 앨범!,21695335,723,3000000,466명
2937,웹툰 <심해의 조각들> 소장본 출판,10846117,723,1500000,383명
2938,"봄 맞이, 달콤 쫀~득 꾸덕 바!",7230100,723,10000,214명
2939,"도쿄 카레 여행 에세이, <작고 확실한 행복, 카레>",6503500,722,9007,344명
2940,키티사우루스 루루 냠냠에코백,72243277,722,100059,"3,565명"
2941,마음을 가꾸는 영국의 감성 매거진 <브리드> 한국어판,21671400,722,30015,711명
2942,"<광란의 펭귄들> ""이 세상의 모든 펭귄들에게"" -닥터펜귄",10824500,721,15013,759명
2943,당신이 원하는 대로 채워나가는 일상 보관함,7215000,721,1000000,126명
2944,"""몰랑이와 피우피우 친구"" 랜덤피규어 12종",14429000,721,20012,270명
2945,"디자이너에 의한, 디자이너를 위한 신박한 요괴 자료집",21638001,721,3000000,"1,332명"
2946,"한복에서 찾은 특별함, 우리;의(衣) 여름 홈웨어",3605800,721,500000,47명
2947,“Back to Basic” 기본에 집중한 양말,3605700,721,5000,245명
2948,"[앵콜] 차가운 겨울, 따뜻한 향기 선물 '생활향수'",7211000,721,10001,142명
2949,자살한 이들이 살아가는 푸른세계 <제2한강>,10815500,721,15000,779명
2950,THE BOX : 살인자의 택배상자,7209000,720,10012,378명
2951,"블렌딩, '계절' 에 물들다.",3604111,720,500000,251명
2952,스케치업 웹툰배경 컨셉 Vol . 5 교도소,3600000,720,5000,90명
2953,웹툰 배경 연출을 위한 호텔,7200000,720,10000,180명
2954,편의점에 들어간 당신. 우유는 단 2개뿐.,7195500,719,10007,144명
2955,밤비 작가의 웹툰 <3737> 단행본 세트,39569000,719,55033,901명
2956,"우리 땅 수호신, 한국 전통 환타지 도감 <설화탐정AR>",14381000,719,20001,583명
2957,정통 텍사스 스타일!! 브리스킷 부채살 스테이크 3종!!,3594000,718,5005,92명
2958,걸어만 두어도 복이 찾아오는 노방 '책거리 조각보 그림',7186000,718,10008,51명
2959,베리택시룩스메아: 대학원생 코끼리 짤 제작자의 단편영화!,7184000,718,10005,188명
2960,다양한 도시괴담 모음집 <환상관리부서>,5747000,718,800000,376명
2961,[스케치업 웹툰 배경] 로판 엑스트라 배경 패키지,7183000,718,10004,107명
2962,난민 에세이 프로젝트 : 세계 난민의 날 연대,5027000,718,7001,197명
2963,복잡한 세상속 나의 마음 비우기,7178530,717,10011,133명
2964,폐허가 된 서울에서의 생존 [서울 2033 : 적자생존],71784000,717,100117,"1,212명"
2965,벨벳파우 we프로젝트 : 고양이와 컵의 위기,3588000,717,500000,130명
2966,"결식아동을 위한 행복 한 끼 [HAEPY MEAL, 해밀]",3587900,717,5004,152명
2967,한번 알아두면 평생 도움되는 부동산 사용 설명서,5017500,716,7007,203명
2968,"찬우유에 휘리릭~! 5초면 완성, 인생 아이스초코베이스",3583200,716,5004,114명
2969,사계절이 만족스러울 워터프루프 '데일리 벙거지',5016000,716,7005,168명
2970,"오묘하고 신비한 ""라일락과 자스민의 향기""",7165550,716,1000000,119명
2971,<봄이 오면 꽃이 피고> 공식 아트북/코멘터리북/OST,50100000,715,7000000,516명
2972,"당신을 위로해 줄 ""가슴친구"" 보따리",1789000,715,2502,50명
2973,"평온하고 따뜻한 일년을 기원하며, 2021달력 '더아치'",8586000,715,1200000,293명
2974,회사 엑셀을 2시간만에 완전히 끝장내는 엑셀 무대 안내서,2361000,715,330000,290명
2975,고양이 집사로 취업하셨나요? <고양이 상사>,3575000,715,5000,120명
2976,"향기를 품는 귀걸이, 손으로채움",7148500,714,10011,212명
2977,동양풍 자수 문양 소재 + 브러쉬,7145000,714,1000000,71명
2978,"잊지말아요, 군함도",2500500,714,3502,235명
2979,4학년 되기 전에 미리미리 준비하자! <포트폴리오 가이드>,2142900,714,3001,217명
2980,마술책:손기술이 필요없는 카드 마술,3571000,714,5001,121명
2981,(투닥토닥) 스케치업 프로젝트 No.15 _ 원룸,7141000,714,1000000,204명
2982,"웰메이드 보드게임의 탄생! ""발렌타인""",10710500,714,1500000,318명
2983,비마켓 '거즈손수건'으로 유기동물에게 희망을 선물해주세요,1427300,713,2001,96명
2984,100년 만에 부의 기회가 왔다,7136000,713,10008,110명
2985,제주할망 전문 인터뷰어 5년의 기록,7135100,713,1000000,247명
2986,하루 5분 공부로 끝내는 PPT,3565000,713,5000,403명
2987,웹툰 스케치업 - 폐공장,14260000,713,20000,208명
2988,"공스케이크의 두번째 구움과자, 마들렌 그리고 샤브레쿠키.",2138500,712,3003,55명
2989,"인생존맛 돼지특수부위, 훈연삼겹살 그리고 쌈용 와사비 잎",7121500,712,1000000,283명
2990,"일상 속 작은 판타지 하품, 여행일러스트 다이어리",7121100,712,10001,324명
2991,"리운스1주년, 특별한 '진짜' 향수를 만들었습니다",21336500,711,3000000,527명
2992,"부드러운 달빛이 비치는 새벽, 나를 위한 감성적인 향기",7110000,711,10000,148명
2993,"잊혀진 우리의 꽃을 새긴, 곤화포 블라우스와 팬츠",21327000,710,30038,138명
2994,세렌 웹툰 스케치업 학교 내부 신규 배경,21320000,710,3000000,324명
2995,"초콜릿 자체로 가지는 가치, 진짜 수제 얼그레이 생초콜릿",5682000,710,8002,250명
2996,더 달콤해진 글라소디 화이트데이 초콜릿 선물,1420000,710,2000,48명
2997,항정신과 약물을 복용 중인 모두를 위한 일러스트 북.,3549000,709,5005,104명
2998,우린 매일 너와 함께다냥! 2022 일력 <오늘도 고양이>,10646600,709,15016,381명
2999,디자이너 30명에게 물었습니다. 어떤 폰트를 많이 썼나요?,28379400,709,40027,"1,199명"
3000,[랩스커트/v넥] 여름을 즐기다! 나만의 linen 코디법,7093500,709,1000000,200명
3001,집콕러인 내가 마녀가 된다면? [마녀테스트 & 마녀도감],3545200,709,5000,309명
3002,'광복 光復' 우리의 빛을 되찾다 <무궁화 반지 & 팔찌>,1417600,708,2002,70명
3003,"""아가, 이제 집으로 가자"" 유기견을 위한 금속뱃지",7086700,708,10009,403명
3004,"앵콜! [대한민국 헌법] 제1조 1항, 2항 뱃지",3543000,708,5004,205명
3005,효율적인 나를 기록하는 스케줄러 [GOAL LOG],3541600,708,5002,160명
3006,"디자인, 소재 그리고 가격까지 충족시키는 썸머 블라우스!",7082000,708,10002,160명
3007,흔들리는 녹차밭에서 하동향이 느껴진 거야. 한국의 하동향,7080200,708,10000,236명
3008,웹툰 스케치업 - 종합물류단지,7080000,708,10000,64명
3009,늦봄의 편지―문익환 옥중서신,7078000,707,1000000,220명
3010,"팔찌를 통해 저소득층 소녀에게 생리대를, 꽃들에게 희망을",7077100,707,1000000,510명
3011,미처 보지 못한 건축에 대한 이야기에요,8488500,707,1200000,406명
3012,손안의 행복,3536000,707,500000,88명
3013,이은재 만화 청춘극장 단행본,14139333,706,2000000,438명
3014,"다이얼렉트 - 언어, 그리고 언어의 소멸에 대한 RPG",70649133,706,100069,"1,481명"
3015,언제 어디서나 수요시위! 참여패션 #ForgetNever,28234260,705,4000000,513명
3016,"씨네 다큐멘터리 프로젝트 <나, 나> (<NA, NA>)",14113888,705,2000000,349명
3017,웹툰이 그린 스케치업-(2)판타지 웹툰 유럽마을,7056000,705,1000000,120명
3018,자기애 프로젝트 두번째 스토리,3527000,705,500000,226명
3019,댕댕꼬의 반려견 사골 간식 '푸딩딩'과 '사골야채',3525000,705,500000,60명
3020,"여름 장마철, 젖은 우산도 가방에 쏙! ""우산백""",7044523,704,1000000,393명
3021,"패션에 대한 저항의 의미를 담은 굿즈,'UNFASHION'",2113000,704,300000,122명
3022,"부적이 필요하다면, 내 몸에 지니는 수호동물 목걸이",7041000,704,10001,173명
3023,자유로운 3가지 손 모델링과 다양한 포즈집,7040000,704,1000000,188명
3024,<환생소녀> 뱃지 시리즈 vol.1,3518000,703,500000,156명
3025,[메이크업올킬 타조알비누] 클렌징오일없이 마스카라까지 싹!,3517500,703,5003,176명
3026,"여름과 편안함 그 사이, 3 pattern shirts",7033500,703,1000000,182명
3027,브라가 필요없는 '노브라 맨투맨',7033473,703,1000000,180명
3028,온세상의 여신을 총망라한 '세계 여신 백과',21098300,703,30011,"1,284명"
3029,"정식 출시, 돌아온 디카페인 콜드브루 커피 쿨쿨쿨",3516000,703,5001,218명
3030,"유자를 트렌디하게 재해석하다, 무설탕 <쿨쿨유자티>",3514700,702,5006,150명
3031,"탄수화물,설탕 제로! 저탄고지 방탄코코아!",2108100,702,3002,78명
3032,섬위에 세워진 중세 도시 #스케치업 웹툰,7021000,702,1000000,53명
3033,"셰프들의 셰프, 마르첼라 하잔이 쓴 이탈리아 요리의 바이블",21062000,702,30002,517명
3034,장애인 인식 개선 캠패인 : WATS,2106100,702,300000,197명
3035,스케치업 웹툰배경 - 광화문 광장 일대,21060000,702,3000000,162명
3036,"한 권에 담긴 세상의 모든 노트, <세모노트>",2105000,701,3002,239명
3037,"세상을 바꾸는 가장 작은 잼, 잼통한사람들의 '착한과채잼'",7015477,701,1000000,301명
3038,꽃 피는 밤을 만나다. '꽃잎 수채화 블랙 KIT',21043700,701,3000000,735명
3039,천가방 제작을 위한 실무 안내서 <패브릭 패브릭>,10518500,701,1500000,546명
3040,브라와 홈웨어의 세상편한 캐미! 예쁜가슴을 위한 투인원캐미,7008000,700,1000000,100명
3041,[과자와생활-1] 프래그스튜디오 '과자전 미니포크',1400500,700,200000,51명
3042,[웹툰 스케치업] <<동화 판타지>> 자자 아일랜드,7000000,700,1000000,96명
3043,<쿡클럽 감자편> 강화농부가 집으로 보내주는 감자와 레시피,3675000,700,5250,132명
3044,행복한 다섯지혜 <2019 달력>,833000,700,1190,41명
3045,"쇼콜라띠에의 초콜릿 디저트, 글라소디 봉봉&마카롱",3499000,699,5005,93명
3046,원피스 악마의열매 크리스탈 무드등,3498000,699,5004,82명
3047,[HOT] 여권없이 떠나는 방구석 미식여행_유럽편,13987000,699,2000000,285명
3048,보르브의 리코타치즈 프로젝트 두번째 이야기,2096000,698,300000,66명
3049,[스케치업 배경] 한번에 끝내는 복층 원룸 패키지,6984500,698,1000000,102명
3050,미세플라스틱FREE! 농장에서 온 진짜 천연수세미,3491000,698,5001,218명
3051,실용성과 클래식한 멋을 갖춘 친환경 데일리 한옥에코백,2093700,697,3003,14명
3052,평범한 식단이 나뉘는 순간 작품이 되는 Meal'lette,3489000,697,500000,93명
3053,"좋은 건 더 가까이에 두고 보세요, 데코 뱃지 프레임",6978000,697,1000000,293명
3054,"작업을 더 빠르고 화려하게, 창작자를 위한 액세서리 소재",6972000,697,10002,138명
3055,1500원 드로잉북 BLANK DRAWING BOOK,13943200,697,20004,646명
3056,도예인을 위한 '색소지 컬러칩',20898500,696,30026,594명
3057,"완벽한 스커트 코디를 위한 속바지, 'Y커버'",6964600,696,1000000,197명
3058,크림히어로즈 고양이 모찌 인형 & 사진집,208826850,696,300038,"6,975명"
3059,한복처럼 여미는 한복깃 스카프! 설맞이 한복을 선물하세요,2778000,694,400000,58명
3060,"보통날도 특별해지는, 마법 같은 '아보카도 레시피'",6944000,694,1000000,332명
3061,"< 데미안 >, 그 작은 울림의 향기",5554500,694,8003,124명
3062,아린툰 - 스케치업 웹툰배경 - 버스 8종,3470000,694,500000,146명
3063,"슬로베니아 그림책 '첫사랑', 퀴어 어린이 어른이에게",6870000,693,9913,361명
3064,(유기견/장애견) 세상의 모든 슈가들을 위한 선물,6938000,693,10011,216명
3065,"일상의 사랑스러움, 하트지갑",13871000,693,20015,256명
3066,중세 판타지 성채시리즈,6935000,693,10007,115명
3067,[강원도산불피해동물돕기]-I'm still in here,2427000,693,3502,234명
3068,"""질소 포장이 뭐에요?""한통 가득 달콤함으로 채우다",2080000,693,300000,96명
3069,"초여름의 맛, '트로피컬 파인코코 청포오도' 아이스티베이스",3466300,693,5001,106명
3070,"한국의 판타지 세상, '묘시월드'",13864500,693,20006,435명
3071,프리랜서 매거진 <프리낫프리> 2호 - 창작하는 프리랜서,13862500,693,2000000,544명
3072,"특별한 데일리 감성, 소가죽 플랩 미니지갑",1386000,693,2000,36명
3073,"도어락 범죄 예방, 필름 한장으로 안심하세요 '안심필름'",3461300,692,5001,125명
3074,내가필요해서 만든 틀 시리즈,6920000,692,10000,187명
3075,멀리서 보아야 예쁘다 <엑스트라 배경>,692000,692,1000,41명
3076,[스케치업 웹툰배경] 멀티숍 H&B 스토어,6905000,690,10007,119명
3077,과자전 LOVE&THANKS 하트 인형,8976000,690,1300000,313명
3078,[툰툰마켓] 웹툰에 녹아드는 30평대 아파트 (스케치업),3450000,690,5000,86명
3079,웹툰 스케치업 배경 [ 상가거리 시리즈 ],6900000,690,1000000,138명
3080,"수국 향기를 담은 시향잉크(3종) 파랑,자주,분홍",13794000,689,20020,303명
3081,큐레이팅 분야의 고전 <큐레이팅의 주제들> 재출간,6891000,689,1000000,163명
3082,"동물과 환경을 사랑하는 당신을 위해, 선인장가죽 클러치백",6888001,688,10011,59명
3083,약육강식의 화투판에 공룡이 온다 [공룡 화투],6888000,688,10011,324명
3084,설날 에디션 - 까치 깃펜 '작필',1033000,688,1501,47명
3085,일상 속 '향기 한 잔 [동백]',4130000,688,600000,66명
3086,진짜 아싸의 리얼 미연시 <러브 딜리버리>,6881990,688,1000000,373명
3087,<언어를 타고 먼 동네로 떠나봅니다> 홈클래스 오픈,13758000,687,2000000,141명
3088,국화에 취하는 가을밤 - 국화차와 국화주 키트,6874000,687,1000000,175명
3089,"다채롭고 새로운 한해를 기대하며, 2022달력 '디 아치'",6871000,687,10001,261명
3090,[앵콜] 쉽고 빠르게 만드는 -웹툰 배경,6870000,687,1000000,170명
3091,"찬란하게 빛나는 당신의 순간, 크리스탈 하트 귀걸이",2061000,687,3000,124명
3092,[오꼬프렌즈] 멸종위기 바다친구들 3종 뱃지 & 스티커!,3777300,686,550000,321명
3093,취업까지 로켓배송! 개발자 취업 가이드 [오늘부터 개발자],6867000,686,10010,436명
3094,세상에 모든 길냥이들이 행복하길 바라는 '행복한 길냥이',13734000,686,2000000,537명
3095,제1회 창조도시 인디게임 제작 대회!!,2746000,686,400000,87명
3096,다가오는 여름을 위한 '린넨셔츠',6864000,686,10005,175명
3097,설레는 가을 당신을 찾아갈 이국적인 머스크 향기,6863000,686,10004,141명
3098,"소중한 고양이를 위한 집사 핸드크림, 디어그레이코트",68624849,686,10000000,"1,862명"
3099,찐찐찐찐 진~짜가 나타났다 3초 밀크티 베이스,3430850,686,5001,142명
3100,비인간존재와 기후위기에 마음이 쓰이는 당신을 위한 잡지,20582000,686,3000000,435명
3101,액운을 막아주는 수호신 <도깨비 문고리 스마트링>,6855000,685,10007,126명
3102,"그 겨울 <다시, 바람과 함께 사라지다>",27417000,685,4000000,769명
3103,"조 선 의 흉 배 , 티셔츠로 입다 .",3427000,685,500000,89명
3104,오랫동안 함께 할 우드의 감성이 담긴 클래식 우산,6854000,685,10005,117명
3105,커플 손 포즈집+일상 제스처+테마별 손포즈집,3426700,685,5002,85명
3106,하디가 알려준 물빛 립스틱밤 레시피,6851392,685,1000000,307명
3107,90일 셀프 카운슬링 #일 #관계 #마음 by.서늘한여름밤,23006600,684,33635,595명
3108,전국투표전도 2018: 나의 선택을 돕는 지방선거 가이드,13685888,684,20008,600명
3109,[스케치업+클튜3D소재] 로판 티 세트&티 룸 패키지,6842100,684,10003,179명
3110,"고양이 자수 포켓 티셔츠, POCAT",6839200,683,10013,147명
3111,바로 쓰는 북디자인 템플릿 286개와 올인원 가이드북!,34192600,683,5000000,"1,522명"
3112,천문과 실학의 만남 '간평의',4103000,683,6007,64명
3113,웹툰 스케치업 - 02 음식/외식 편-,6836000,683,10008,136명
3114,월광 : 달빛과 여정 금속 주사위 & 케이스,20506001,683,30023,218명
3115,길고양이와 행복한 공존 [행복한 길냥이 season.3],20505500,683,3000000,599명
3116,격동의 시대를 여미는 아홉빛깔 채색주화 '대동은전 노리개',47828000,683,70026,357명
3117,"소매치기 방지! 스타일 UP! ""미토도 도난방지 가죽백""",34160000,683,50014,487명
3118,한복입은 고양이 '냥이' 뱃지,3416000,683,5001,28명
3119,"애쉬크로프트와 NIGHT OFF의 합작, 카페인 안경",6832000,683,1000000,69명
3120,"섬유의 보석, 캐시미어 100% 스웨터 & 머플러",13662300,683,20003,173명
3121,주체적 삶을 위한 3개월의 도전! 계획 관리 학습지,2049300,683,3000,57명
3122,여성의 그날을 다루다. 샘 걱정 NO 질 분비물 완벽 흡수,6824800,682,10007,74명
3123,"장난감 같이 쉬운, 저가 국민 3D프린터, 토이프린터",13633800,681,2000000,47명
3124,익스플로러 키트 : 내 몸을 탐구하는 시간,23853000,681,3500000,"1,251명"
3125,겨울을 위한 따스한 '캐시미어 울 글로브',3407500,681,5003,101명
3126,바리공주 설화를 담은 '사망여각'(After Death),34053257,681,5000000,"1,042명"
3127,"계절과 방위의 수호자, <사방신 트윌리 스카프>",6810000,681,10000,106명
3128,꾸덕 쿠키나라에 사는 쿠키들의 생일파티! 해피벌쓰데이 쿠키,6808500,680,10012,201명
3129,배즙 가득 투명한 수련꽃 향기를 드려요 [워터 페어],6125000,680,9007,191명
3130,세상에서 제일 친절한 포토샵,5441000,680,8001,193명
3131,"풍미 사전 : 창의적인 요리사를 위한 조합과 레시피, 발상",13602500,680,2000000,316명
3132,"말로 된 타로카드, 말로(Malrot)",13602000,680,20002,599명
3133,❝ 매-일 2018 담음 일기장 ❞,10190000,679,1500000,326명
3134,아름답고 당당한 여성을 위한 '피리어드 파우치 & 테슬',3396000,679,5001,175명
