,title,current_funding_amount,percentage,target_funding_amount,supporter
108,[시간 탐험집] 나와 당신의 서른 즈음에,2542000,195,500000,87명
109,"크레용으로 그린, 따스한 공간이 담긴 2021년 패브릭달력",575000,191,500000,20명
110,2022 나만의 색으로 채우는 ColorFill Diary,2545000,127,500000,47명
111,Band 'WILLY' 첫 EP앨범 제작,3694000,147,500000,76명
112,"색다른 그림책, 색 상상책 1편",3775000,188,500000,78명
113,"미세먼지 거두고 예쁜 도시로, 보드게임 '더스트 플래닛'",4122000,103,500000,83명
114,[스케치업] 화려하고 실용적인 로판 호텔공간9종+기차,5346000,534,500000,92명
115,"물 위에 뜬 자연, 제주의 잔영(殘影)이 그린 사진집",2051000,102,500000,70명
116,"우리들의 여행을 지키기 위해, TMT travel set",3350100,670,500000,66명
117,[보람줄] 웹툰배경#4 회사로비 & 사무실,1500000,150,500000,25명
118,당신이 찾아 헤매던 <하이틴 디지털 스티커>,416000,138,500000,24명
119,"나는 향으로 행복해질래요 , 천연 블렌딩 오일",1132200,113,500000,26명
120,돈패닉서울의 아트워크가 영원히 기억되길 바라며 - 패닉버튼,20389000,101,500000,25명
121,"진리의 세상: 어디에나 있지만, 어디에도 없는 아트 오브제",1328800,132,500000,44명
122,"가르쳐줄게, 네가 원하는 그 향수. ""멜팅포션 프로젝트""",4874000,974,500000,66명
123,비밀토끼×밀크크림치즈가 만든 그림책 '한낮의 꿈',1591600,159,500000,61명
124,당신이 입은 옷은 누구인가요? 단편영화 <허물>,1179000,147,500000,46명
125,가산디지털단지역,6722000,672,500000,73명
126,"액션, 판타지 서양 무기 3d 소재 (웹툰, 일러스트)",2485000,248,500000,77명
127,당신의 내일을 응원합니다. <어쩌면 이건 너의 내일>,2674000,106,500000,71명
128,"창작곡 ""독도의 사계"" 서울 예술의전당 콘서트홀 실황 음반",10075000,100,500000,91명
129,코넛(Conut)의 EP <코코넛 블루스>,5371000,107,500000,62명
130,[스케치업 배경] 클래식한 디자인의 호텔 세트!,2635000,263,500000,64명
131,Ep.01 앙리마티스의 선과 색 [석고판 & 아로마오일],1266000,126,500000,18명
132,여러분 잘 먹고 있나요? 메모지 3종 세트,545100,109,500000,21명
133,송용창 4집 [향연],3138500,104,500000,23명
134,"봄을 기다리며 촛불로 꽃을 피웁니다, 캔들 홀더 '목련'",718000,102,500000,13명
