,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,"화이트 티, 우아한 향에 취할 수 있으니 조심하세요!","3,911,100",782,"500,000",56명
1,쏭지니어 버스킹 에세이 <배낭 대신 기타 메고 떠납니다>,"1,440,600",144,"1,000,000",48명
2,인연을 놓치고 싶지 않다면 <그게 다 사랑이었나봐요>,"1,210,000",121,"1,000,000",40명
3,스케치업 웹툰배경 - 어떤 서커스,"1,430,000",286,"500,000",51명
4,진소라의 '숨은 냥이 찾기' 엽서책,"6,339,000",211,"3,000,000",203명
5,부산 여행의 추억 <영도 마그넷> 시리즈,"815,000",163,"500,000",29명
6,이동책방 북다마스의 기록 <이토록 작은 세계로도>,"5,093,785",339,"1,500,000",189명
7,"소소하지만 확실한 전통 패션, 쌍학&쌍호 흉배 양말.","891,000",148,"600,000",27명
8,Fitd로 돌아온 판타지 - 포지드 인 던전,"9,088,000",139,"6,500,000",206명
9,[그림책] 초등학생들이 밝힌다! IT의 성차별 핫IT슈,"1,065,800",71,"1,500,000",29명
10,"나의 일상에 죽음을 선물하다, 청춘유언","1,565,000",44,"3,500,000",79명
11,육아라는 팀플에 더이상 무임승차를 거부한다! <부모익힘책>,"4,032,000",161,"2,500,000",78명
12,"퍼스널, 퍼사장, 그리고 <나는 왜 말이 많은가>","4,099,000",58,"7,000,000",97명
13,산책하는 계절을 간직한 엽서북 < 여기 너를 위한 위로 >,"745,000",149,"500,000",25명
14,영도의 원물과 크리에이터의 콜라보.섬.영도영감프로젝트,"607,000",121,"500,000",34명
15,신년운세는 어디에서 볼까? 무당은 어떤 직업일까?,"1,328,500",66,"2,000,000",65명
16,아파트 단지&집 내부 2종 [웹툰 3D스케치업 배경],"2,800,000",560,"500,000",110명
17,놀이터에서 만나요! 우리는 <네트워크에 연결 중입니다>,"883,500",110,"800,000",32명
18,"집에서, 학교에서 체험키트로 즐기는 노는꾸러미 수상한극장","965,000",44,"2,189,000",24명
19,대한민국 유일한 야생차 명인이 빚어낸 K-전통차,"4,707,000",470,"1,000,000",87명
20,싱어송라이터 CRISPY의 1st EP앨범 ['94] 발매,"2,761,000",110,"2,500,000",23명
21,매운맛 게임 ALTF4!! 공식 피규어 굿즈를 소개합니다.,"2,536,000",101,"2,500,000",33명
22,"감성 만화 - 응답하라, PARIS!","4,249,800",424,"1,000,000",137명
23,영비누의 새 싱글 <I don't know> MV 제작,"1,660,000",110,"1,500,000",21명
24,부담감을 구워삶을 때 쓴 기록 <망하려고 만든 게 아닌데>,"1,600,000",123,"1,300,000",48명
25,"상실이 만연한 이곳, <사랑이 넘치는 도시>","513,022",73,"700,000",20명
26,"날카롭게 아름다운 폰트, 가시명조체 제작 프로젝트","1,320,000",44,"3,000,000",20명
27,"[돈비토 판타지 배경 프로젝트1] 중세 여관, 병영","940,000",47,"2,000,000",19명
28,"산호의 색을 되찾다, 폐플라스틱 업사이클링 키링","1,094,300",218,"500,000",56명
29,"나를 180도 변화시킬 180개의 기록, 180도 다이어리","3,584,050",238,"1,500,000",102명
30,"오늘과 내일이 다른 가방, 사계절을 함께 시작할 사월백","1,916,700",191,"1,000,000",64명
31,빵실한 새가 앉아있는 마블 물결 트레이,"601,400",120,"500,000",26명
32,"삶, 사람, 사랑 <사랑은 불협화음>","562,000",112,"500,000",17명
33,2022년 행운을 밀어 넣어 줄 8번 곰!,"2,330,500",466,"500,000",76명
34,두 작가의 작은 전시회. 엽서북 사진'전',"2,082,999",416,"500,000",36명
35,스티커로 꾸미는 내 마음은 어떨까? : 컬러풀 질문다이어리,"2,227,900",405,"550,000",61명
36,K-전통 감성 원마일웨어 '쾌자 긴 조끼',"3,125,000",312,"1,000,000",22명
37,"한다, 한다 말할 때 두근거리는 독립문예지 ""Handa""","1,978,000",197,"1,000,000",83명
38,사랑스러운 캐릭터들의 정원과 축제를 담은 책 <비리던스>,"1,565,000",43,"3,600,000",26명
39,"우리는 ( )에 관해 말합니다, <가시화>","342,600",11,"3,000,000",15명
40,힙시크한 그리고 더 깊어진 매듭 <킹블랙>,"14,660,000",2255,"650,000",195명
41,제 5회 1맵1치킨 알만툴대회 with 플레임,"3,054,000",305,"1,000,000",185명
42,"스페인요리 치트키, 까탈루냐에서 온 <로메스코 소스>","1,238,000",82,"1,500,000",36명
43,<웰컴2022 달력> 2022년을 아름답게 시작해보세요!,"399,000",66,"600,000",15명
44,"새해 첫 선물 ""빛나는 그림자"" 자개 공예 diy키트","3,026,000",605,"500,000",73명
45,[사랑한다면 뽀뽀] 강아지와 산다는 건 어떨까요?,"1,205,000",126,"950,000",56명
46,"평범한 레즈비언, 나라와 아인의 이야기 <인어의 나라>","5,542,000",110,"5,000,000",77명
47,"단오의 햇볕을 품에 한아름, 양기 가득 쑥범이 인형!","901,000",60,"1,500,000",24명
48,"<일본에서> 좋은 소재로 바르게 만든 안경 99,000원","2,570,000",257,"1,000,000",30명
