,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,2022년 신간 <중국통용수어사전> 번역 발간 출시,"30,000",1,"2,000,000",1명
1,'사랑'입니다만...?,"5,000",0,"6,000,000",1명
2,홍콩여행 사진으로 만든 2022년 엽서형 달력(캘린더),0,0,"500,000",0명
3,제대로 화내기 위한 내 감정 돌아보기 <화풀이 노트>,0,0,"500,000",0명
4,[미니 결혼식] 결혼식을 닮은 모바일 청첩장,0,0,"3,000,000",0명
5,[crow] 나의 작품이 당신의 공간을 특별하게 채우길.,0,0,"2,000,000",0명
6,"인테리어 오브제, 'Twinkle' 아크릴 모빌 시리즈",0,0,"500,000",0명
7,"자연의 힐링을 더한 물고기 모빌, 컬러 시리즈",0,0,"500,000",0명
8,일상을 그리워하는 사람에게 보내는 필름사진 엽서,0,0,"500,000",0명
9,"나만의 디자인만들기, 입체아크릴포스터 'Day&Night'",0,0,"500,000",0명
10,오늘도 쇼핑을 했다,0,0,"1,000,000",0명
11,꿈의 회전목마,0,0,"2,000,000",0명
12,"집사의 작은 행동이, 댕댕이 양치질로. 양치 습관 다이어리",0,0,"2,000,000",0명
13,연애의 기술 -아낌없이 표현하라-,0,0,"1,000,000",0명
