,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,크리놀린 시대 복식 TPO 페이퍼 돌 <하티의 부티크>,"3,396,000",226,배송 완료,138명
1,"[앵콜] 지구를 위한 작은 실천, '실리콘 하트 빨대'","2,264,000",226,"1,000,000",168명
2,"프레임에서 벗어나 자아를 찾아가는 창작 뮤지컬, <멘델라>","3,395,700",226,배송 완료,135명
3,"마스크 없이 글로 떠나는 산책, 〈슬리퍼 챙겨요〉","740,260",226,"327,000",49명
4,LOVE IS LOVE :사랑은 사랑일 뿐,"1,426,000",226,"630,000",174명
5,어디서나 X캠핑각X 빛나는 '네온토퍼' 조명,"2,263,000",226,배송 완료,37명
6,"사적인 시간, 당신의 일상을 환기시켜 줄 잠옷","3,393,500",226,배송 완료,39명
7,<꼬마악어 타코> 리미티드 에디션,"9,048,333",226,"4,000,000",342명
8,"달빛을 담은 월광석 귀걸이, 팔찌, 책갈피 컬렉션","2,035,100",226,"900,000",86명
9,「천손의 시대 - 삼한세기」상(上)·하(下)편 합동 출간,"7,914,000",226,"3,500,000",223명
10,"당신의 맛있는 인생을 위한, 매거진 <시즈닝>","2,509,486",226,"1,110,000",97명
11,<정령타로> 동물 정령들이 알려주는 나의 운세,"2,260,000",225,배송 완료,114명
12,백파선을 아십니까 '우리가 꼭 알아야할 이름 백파선',"2,260,000",225,배송 완료,34명
13,비 바람에도 피어나는 아름다운 꽃 '자양화 컬렉션',"1,130,000",225,배송 완료,47명
14,오목눈의 자수 작업을 담은 <야만의 시대>,"1,808,000",225,"800,000",116명
15,Spring has come! 벚꽃자개귀걸이 & 진주목걸이,"678,000",225,배송 완료,19명
16,윤동주 시를 섬유향수에 담다,"2,260,000",225,배송 완료,50명
17,"언젠간 우리 다시 만날 거야, <someday>","2,260,000",225,"1,000,000",88명
18,"연인들의 진심을 전하는 테이블, 네오코믹스 아트테이블","1,130,000",225,"500,000",22명
19,[사운드로잉 프로젝트] 사진으로 연주하는 피아노 선율,"3,390,000",225,배송 완료,35명
20,나는 벌레가 싫어요! 워너펫 반려동물 해충방지 기능성스카프,"1,130,000",225,배송 완료,53명
21,여름에 어울리는 925은 발찌,"339,000",225,배송 완료,20명
22,"찬바람이 불때, 달콤한 수정과와 양갱","1,130,000",225,배송 완료,30명
23,서울의 도서관 구경 <도서관람> 발간,"3,389,890",225,"1,500,000",209명
24,"운명에 맞서다, 연극 <이오카스테>","5,649,000",225,"2,500,000",208명
25,당신의 바다에 계절을 입혀주세요 (계절의바다 2022달력),"3,162,999",225,"1,400,000",105명
26,허소영 EP <Celebrate in Paradise>,"11,295,555",225,"5,000,000",93명
27,노르웨이의 수상한 구멍(Hullet)책 앙코르전,"2,259,000",225,"1,000,000",64명
28,버선버섯 작가 신간 <이십툰>을 만나보세요!,"9,035,500",225,배송 완료,388명
29,"수취인분께 그려온 2년간의 조각들, <앙영의 편지>","33,874,553",225,"15,000,000",856명
30,일 좀 한다는 MZ세대들의 <요즘 마케팅> 확장판,"2,258,000",225,배송 완료,197명
31,오밀조밀 도자기 만들기 홈키트,"1,129,000",225,"500,000",17명
32,<잘하고 싶은데 잘하지 못해서...> 쓰고 부르다.,"1,129,000",225,배송 완료,27명
33,사실 저도 우울합니다만...,"2,258,000",225,배송 완료,29명
34,Low Hanging Fruits 첫 EP앨범 제작,"2,935,000",225,"1,300,000",64명
35,"바느질 없는 가죽공예, DIY 레더네트백","4,514,000",225,"2,000,000",53명
36,"퇴근 후, 영어회화극장 <홈클래스편> 4기 모집","4,513,000",225,배송 완료,64명
37,"가볍게, 맛있게 즐겨요. 저칼로리 과일잼","1,579,500",225,배송 완료,73명
38,알아두면 잘난 척하기 딱 좋은 설화와 기담사전,"2,256,000",225,배송 완료,144명
39,"일본군'위안부'<그녀들의 용기,우리들의 #WITH YOU>","4,512,000",225,"2,000,000",278명
40,"피아노 조율사의 중식 노포 탐방기, <중국집>","4,511,000",225,"2,000,000",206명
41,"한여름에도 시원한 냉감 브라렛, '에어렛'","6,765,000",225,배송 완료,128명
42,축구 다큐멘터리 'LOUD&PROUD',"33,820,554",225,"15,000,000",403명
43,"버려진 지하철 광고판, 가방이 되다: BANNERS","3,381,200",225,배송 완료,61명
44,고급무늬 액세사리 장식 50가지 팩 [ PNG 파일 ],"1,127,000",225,배송 완료,44명
45,"가을의 달콤한 꽃향기를 품은 콜드브루, 예가체프 코케 허니","1,127,000",225,배송 완료,48명
46,SNU DESIGN WEEK 서울대 디자인전공 졸업주간,"2,254,000",225,배송 완료,71명
47,인사팀의 눈으로 채워가는 '셀프취업준비 매뉴얼',"11,267,000",225,"5,000,000",419명
48,"굴하지 않는 강인함 : 마음에 새겨질, 진심을 담은 키링","169,000",225,배송 완료,11명
49,설득하고 의심하라! 롤플레잉 웹마피아 <월랑>,"338,000",225,배송 완료,34명
50,텀블벅 회원 1700명이 선택한 영어책 3쇄 돌입,"2,253,000",225,배송 완료,85명
51,"청춘을 위한 여행 <한 번의 퇴사, 열 번의 남미>","2,252,782",225,"1,000,000",91명
52,공간을 빌려쓰는 사람에 대한 이야기 <일리 없는 세상>,"4,504,000",225,배송 완료,159명
53,안목에서 만든 '여행자의 여행에세이 시리즈',"4,504,000",225,"2,000,000",68명
54,[앵콜] 신어보면 다르다. 발땀을 시원하게 날리는 와우삭스,"2,252,000",225,배송 완료,84명
55,세상에 단 하나뿐인 병아리. 뾰롱이 인형입니당!,"6,753,111",225,배송 완료,209명
56,가치있는 티셔츠 같이 입는 티셔츠 E.T.,"1,575,700",225,배송 완료,53명
57,파이널판타지14 한국 서비스 3주년 기념 지하철역 광고,"10,129,300",225,"4,500,000",470명
58,"인간은 무엇으로 정의되는가, 단편영화 <사람들>","1,800,000",225,"800,000",57명
59,"깜냥X깜댕, 까매도 예쁘지요 ?!","1,800,000",225,배송 완료,132명
60,#큰일은여자가_나는 오늘도 내가 만든 일터로 출근합니다,"4,499,000",224,"2,000,000",180명
61,"봄을 기다리며, 평화축배키트","2,475,276",224,"1,100,427",101명
62,여성영화 원하면 for feminist films 맨투맨,"4,497,000",224,배송 완료,118명
63,"사이버 펑크와는 다른 빈티지함, 수공예 스팀펑크 악세서리","2,248,000",224,배송 완료,52명
64,포포포 매거진 No.05 Inner child 내면아이,"2,248,000",224,배송 완료,56명
65,"시장을 통해 살펴보는 도시 인류학, ""슈퍼마켓""","6,742,700",224,배송 완료,209명
66,"2020년도 수리노을과 함께, 수리노을 달력","22,474,000",224,"10,000,000","1,118명"
67,"누구나 쉽게, 처음하는 천연 염색 DIY","1,685,500",224,배송 완료,34명
68,'체이싱 라이트' 메이킹 북과 굿즈,"11,236,368",224,"5,000,000",173명
69,공산주의 포스터; 공산주의 포스터 미술의 역사와 다양성,"6,741,000",224,배송 완료,130명
70,[미연시] 대학 생활 즐겨보자! <하나님의 캠퍼스 라이프>,"5,617,111",224,"2,500,000",195명
71,"한국의 전통 문양 뱃지 : 국화, 모란, 매화","1,348,000",224,"600,000",69명
72,나의 기록을 써 내려가는 시간,"674,000",224,배송 완료,41명
73,"고대·고려 공주를 찾다, <현예집요 : 고대·고려공주편>","11,233,000",224,배송 완료,383명
74,"전라도 청년이 쓰는 로컬 매거진, '샤인빌리지' VOL.4","449,200",224,배송 완료,11명
75,내가 살아남는 법! 아니...내가 살아가는 법!,"1,572,000",224,배송 완료,50명
76,CAN YOU SEE ME?,"786,000",224,"350,000",122명
77,"미치광이 디오니소스의 달콤한 유혹, 루나틱 포켓 드레스퍼퓸","2,245,603",224,배송 완료,122명
78,"[디지독]웹툰 배경세트-병원,노후주택,고급주택단지 세트","2,245,000",224,배송 완료,27명
79,머더 미스테리 <목 베는 마을>,"1,796,000",224,배송 완료,129명
80,"일생에 딱 두 번 찾아오는 '그 질문', 당신의 <앤써>는","2,245,000",224,배송 완료,74명
81,빅이슈를 팔며 거리에서 보낸 57통의 편지,"4,489,500",224,"2,000,000",234명
82,여성은 더 이상 약자가 아니다,"1,257,000",224,"560,000",121명
83,취미로 홈데코하자!! 미니어처 미니벽돌 벽난로 만들기,"2,244,500",224,배송 완료,78명
84,"당신의 특별한 날을 담아, '탄생달 팔찌'","1,346,000",224,배송 완료,66명
85,거창하지 않아도 괜찮아 '다음'을 위한 사소한 실천,"2,243,000",224,"1,000,000",51명
86,[비건] 끈적임 없는 여름 기초케어 찾으세요? 3초면 끝!,"2,242,400",224,"1,000,000",64명
87,故 노회찬의원 1주기 추모집 <그리운사람 노회찬>,"15,695,000",224,배송 완료,689명
88,"아기호랑이와 모자들 달력, 그리고 호앵이 아트토이","4,484,000",224,배송 완료,128명
89,이븐레인의 정규 1집 The First Knock,"1,121,000",224,배송 완료,43명
90,"응답하라, 한총련 - 다시쓰는 90년대 학생운동사","8,743,771",224,배송 완료,264명
91,100cm 웅장 (웅크린 선인장) 데려가세요! 첫 출시,"6,725,000",224,배송 완료,98명
92,"유기동물들을 위한 뱃지 - '사지말고, 입양하세요.'","4,483,100",224,"2,000,000",388명
93,[디즈니 정품] 디즈니 프린세스 경첩 핀뱃지 2탄,"2,241,000",224,배송 완료,65명
94,새로운 움직임을 선사할 생활한복 [다가옴],"1,120,000",224,배송 완료,30명
95,"웹툰상생프로젝트#13 동물의 왕, 호랑이虎","2,240,000",224,배송 완료,56명
96,<under pressure> 대안학교 뮤직페스티벌,"784,000",224,"350,000",35명
97,마영전 후디큐티 린 굿즈,"1,120,000",224,배송 완료,21명
98,전라남도의 스토리가 새겨진 로컬 아이템 '컵과 수건',"1,119,778",223,배송 완료,53명
99,또 하나의 시선 <페미니즘 미술관: 내가 화가다>,"4,479,000",223,"2,000,000",168명
100,향과 차 x hotel.ciao,"2,239,200",223,배송 완료,23명
101,"""나는 사랑하는 나를 사랑해"" 그녀의 사랑 이야기","6,716,700",223,"3,000,000",177명
102,집에서 만드는 나무반지,"2,238,900",223,배송 완료,119명
103,서울예술대학교 졸업영화 <우리는 서로 사랑해야 한다>,"3,357,999",223,배송 완료,63명
104,[유기견] 해피엔딩이 필요해!,"6,714,500",223,배송 완료,412명
105,제주 남쪽 작은책방의 사진집 <LABAS - 교토 편>,"5,594,665",223,배송 완료,168명
106,부산여행 그림책 - 6인의 일러스트레이터 <부산을 그리다>,"4,475,600",223,배송 완료,120명
107,밀크티부터 무알콜 칵테일까지! 나만의 홈카페!!,"895,000",223,배송 완료,30명
108,베트남 민간인 학살 문제를 기억하는 뱃지,"895,000",223,배송 완료,115명
109,산호의 백화현상에 대한 이야기 <산호 인어>,"7,826,000",223,"3,500,000",203명
110,당신의 하루를 말랑하게 해줄 말랑쿠션!,"4,472,000",223,"2,000,000",105명
111,향기브랜드에서 디퓨저를 만들면 뭐가 다를까,"1,117,600",223,배송 완료,34명
112,레트로빈티지 감성의 일러스트 굿즈,"670,500",223,배송 완료,43명
113,"텀블벅은 처음이지만, 성소수자의 세상이 평등해졌으면 좋겠어","447,000",223,배송 완료,42명
114,"나에게, 또는 누군가에게 전하는 마음 '위시 목걸이'","1,564,000",223,"700,000",36명
115,젊은 소설가 24인이 들려주는 <한남동 이야기>,"8,937,000",223,배송 완료,502명
116,give back : 완경을 축하합니다.,"2,681,000",223,배송 완료,183명
117,"<책><엽서집> ""수영,다녀오겠습니다""수영과 인생 팁","1,966,000",223,"880,000",65명
118,"스물다섯 개의 울림을 모아, 필름 사진집 <서울>","3,351,000",223,배송 완료,155명
119,반도체 노동자들 인권 지킴이 '반올림'단체를 응원해주세요!,"3,351,000",223,"1,500,000",205명
120,[라스트앵콜] 달달함을 부탁해 프로젝트 4탄,"1,116,700",223,배송 완료,50명
121,숭실대학교 사진예술연구회 빛누리 42회 정기전시회,"670,000",223,"300,000",25명
122,오롯이 나를 위한_ 블렌딩 에코백 & 파우치,"670,000",223,배송 완료,16명
123,네거티브 칸나: 19 - 3화,"670,000",223,"300,000",76명
124,"반가운 영감, 말씀머그잔","2,233,000",223,배송 완료,30명
125,[그 마법사가 남기고 간 이야기] - 5월 ('13),"223,220",223,"100,000",13명
126,"그림 다시보기, <리프레이밍 북>","1,339,000",223,배송 완료,36명
127,'전래동화'를 통한 문화유형 계승 굿즈,"5,578,000",223,배송 완료,208명
128,비혼여성들이 만든 잡지<비바: 비혼으로 바로서기>,"2,231,000",223,배송 완료,106명
129,"""옻칠수저"" 제로웨이스트의 시작","2,677,000",223,배송 완료,53명
130,당신이 있는 그 곳으로 <온고잉 패브릭포스터>,"1,115,100",223,배송 완료,31명
131,[2019 달력] 도리의 유럽여행 필름사진 달력,"446,000",223,배송 완료,25명
132,일러스트 매거진 다색상환 창간호,"13,374,456",222,"6,000,000",326명
133,"소중한 사람과 ""감성한 잔"" 어떠세요?","1,114,400",222,배송 완료,20명
134,미투데이 2007,"6,685,000",222,"3,000,000",410명
135,서울예술대학교 2018 하계 워크숍 연극 <팸의 아이들>,"1,114,064",222,배송 완료,41명
136,코로나블루 극복 프로젝트 힐링감동치유의 첼로 찬송가 연주곡,"1,114,000",222,배송 완료,35명
137,"[간편하게,딱한번]밀크티로 마음을 선물하다","1,114,000",222,"500,000",59명
138,스타크래프트 종족최강전,"2,227,444",222,"1,000,000",60명
139,"환영받고, 배웅받으며 [길고양이 인식개선]","1,336,000",222,배송 완료,97명
140,H.G.Wells의 단편소설집 [다가올 그날의 이야기],"2,004,000",222,"900,000",79명
141,당신의 하루에 계절을 선물할 홈패브릭,"1,113,200",222,배송 완료,29명
142,자연이 주는 당신을 위한 특별한 크리스마스 선물,"2,226,000",222,배송 완료,21명
143,영국 (음식) 미술 유학 만화 l The Londoner,"1,113,000",222,배송 완료,49명
144,이별을 먼저 배운 아이들,"1,113,000",222,"500,000",158명
145,"탈북인의 이야기가 담긴, 화담의 후드티","1,112,600",222,"500,000",37명
146,<프루동 평전> 국내 최초 번역 출판,"17,800,000",222,배송 완료,372명
147,클러치에 변화를 주다. 4way클러치백,"890,000",222,배송 완료,10명
148,입법을 알아야 기업이 산다,"2,225,000",222,"1,000,000",41명
149,"따듯한 소리를 모아 만드는 영상, 허챠밍의 <소리채집>","4,450,000",222,"2,000,000",169명
150,행복한 돌고래를 위하여,"1,001,000",222,"450,000",95명
151,"읽으면서 배우는 시사 스페인어, 에스빠뇰 악뚜알","2,224,000",222,"1,000,000",99명
152,"가족과 함께하는 창작 뮤지컬, 귀경길","1,779,168",222,배송 완료,82명
153,웹툰 <걸어서 30분> 위성은 다꾸세트 & 삐실이 인형,"44,476,510",222,"20,000,000",854명
154,"던져져도 괜찮아, <탱탱볼>","889,421",222,배송 완료,58명
155,[직업탐구백서] 하고 싶은 일을 하며 먹고 삽니다,"1,556,000",222,배송 완료,43명
156,당신의 실천을 응원하는 젤리곰 키링과 무적팔찌/발찌,"3,334,000",222,배송 완료,114명
157,침대가 제일 좋아! 공감 100% 키위새 모찌인형,"15,557,000",222,배송 완료,432명
158,"모두가 예술가, 쿵덕큥의 두번째 기획 *덕후축제*","2,222,000",222,"1,000,000",79명
159,한글 타이포그라피 서적 가나다라 6호,"4,443,839",222,"2,000,000",170명
160,'나'를 위한 데일리 '소확행 이어링/소확행 목걸이',"1,110,600",222,배송 완료,13명
161,2020년 멸종 위기 동물 달력,"2,221,000",222,배송 완료,129명
162,미라클보이스앙상블 제2회 정기연주회,"2,221,000",222,배송 완료,58명
163,한국 전통문양의 힙 한 변신 '손 따뜻한 샤무드 숄더백',"5,551,000",222,배송 완료,77명
164,"수국, 소녀들의 꿈을 지켜주세요.","888,000",222,배송 완료,72명
165,9만원으로 만나는 세상에 하나뿐인 러프 다이아몬드 귀걸이,"1,110,000",222,배송 완료,14명
166,임현정 첫 EP 앨범 '빛이 모여드는 곳에',"4,440,000",222,배송 완료,58명
167,블렌딩 티 전문 브랜드 베러댄알콜의 밀크티 베이스 2탄!,"4,439,500",221,배송 완료,86명
168,추상화를 담은 파울클레 플레잉카드,"7,767,000",221,배송 완료,199명
169,네 작가의 시선이 만나는 이야기 <우리는 서로에 기대어>,"2,219,000",221,배송 완료,88명
170,"인월, 인일, 인시에 제작되는 부적 악세서리","2,219,000",221,배송 완료,15명
171,2018년 빨간날 달력 스티커,"887,500",221,배송 완료,60명
172,일상에서 만나는 한국의 미 #전통원단 으로 만든 장신구,"665,500",221,배송 완료,31명
173,"멀기만 했던 영문법을 우리 곁으로, ""영문법 다시 읽기""","2,662,000",221,배송 완료,88명
174,리플랫 기획전: 존 쿡 개인전,"1,108,000",221,배송 완료,31명
175,"내 음악 취향에 어울리는 색으로, 공예가 에어팟 케이스","1,108,000",221,배송 완료,41명
176,스토리 트레이닝- 손지상 작가의 작법서 출간,"11,076,000",221,"5,000,000",341명
177,2017년의 마지막 열두 밤,"2,215,000",221,배송 완료,81명
178,"드로잉여행 독립출판 에세이, '드로잉 썸머'","1,771,800",221,배송 완료,73명
179,"어제는 청바지, 오늘은 노트북 파우치로.","664,400",221,"300,000",20명
180,자연을 벗삼아 삶을 디자인하다-한국화 캘리그라피 텀블러,"1,107,000",221,배송 완료,29명
181,그래픽 디자이너와 근육학,"6,642,000",221,배송 완료,289명
182,"발달장애인과 함께 일상을 기록하는, 꼬모이브로 초대합니다!","1,549,500",221,배송 완료,68명
183,언어를 타고 먼 동네로 떠나 봅니다,"4,427,000",221,배송 완료,40명
184,"따뜻한 실내 방한복, '참새한텐'","3,320,000",221,"1,500,000",32명
185,나를 알아 가는 시간'긱키 심플 드로즈 리얼 롱 ver',"2,213,100",221,"1,000,000",75명
186,알고 먹으면 더욱 재미있는 - 브래드씨의 이야기,"2,213,000",221,배송 완료,63명
187,나를 어떤 페미니스트라고 말하고 싶나요?,"2,213,000",221,배송 완료,189명
188,입고 태어난 듯 어울려! 플러스사이즈 하와이안셔츠/타월셔츠,"1,106,000",221,"500,000",8명
189,"일상 속 편안함을 입다, '차림 바람막이'","1,106,000",221,배송 완료,21명
190,"활자모―반흘림 서체, 달슬","6,635,000",221,"3,000,000",102명
191,퀴어문화축제 '무아지경' 굿즈!,"2,211,500",221,배송 완료,86명
192,드라마 잡지<THE Dramatist> : 미스터션샤인,"1,769,000",221,배송 완료,106명
193,만화 웹툰 리소스용 패턴 | 텍스쳐 | 문양 50종,"737,000",221,배송 완료,50명
194,엔터테인먼트 안내서 <여자들은 먼저 미래로 간다>,"8,844,000",221,배송 완료,444명
195,봄을 위한 사랑스러운 일러스트 맨투맨,"2,210,950",221,배송 완료,28명
196,"반려동물을 위한 팜프리 비건 비누, '아침구름'","663,000",221,배송 완료,22명
197,"[작업실 차리기 프로젝트] 두번째, 미니 트레이","1,105,000",221,배송 완료,22명
198,"유기견들의 이야기, ""당신을 기다려요""","442,000",221,배송 완료,39명
199,[앵콜] 보드게임으로 만나는 세종의 역사 <보드게임 세종>,"2,209,000",220,배송 완료,58명
200,일상의 평범한 멋을 담아낸 천연소가죽 스마트폰 월렛,"5,080,000",220,"2,300,000",64명
