,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
63,웹툰을 위한 스케치업 프로젝트 -회사 및 매장,"18,000,000",1800,배송 완료,350명
64,[앵콜전] 노르낫이 만든 PVC 갬성 서브지갑. 두번째,"12,577,000",1796,배송 완료,354명
65,스케치업 웹툰배경 파출소와 경찰서,"5,380,000",1793,배송 완료,140명
66,(브러쉬 170종) 고퀄웹툰 액션/효과 브러쉬 총 모음집!,"8,960,000",1792,"500,000",165명
67,영화 본 후 수다떨기! 무비톡 퀘스천카드,"10,735,000",1789,배송 완료,755명
68,[앵콜] 봄을 마셔요 <무카페인 꽃차 샘플러 ver.2>,"17,881,800",1788,"1,000,000",502명
69,"고요한 아침의 나라에서 온 선비향수 ""스콜라""","17,870,000",1787,배송 완료,374명
70,페미니즘 굿즈 <여성은 이미 강하다>,"12,504,000",1786,배송 완료,716명
71,"[앵콜] 진짜 프리지아향기 Yay, Free-sia! 향수","17,848,000",1784,배송 완료,422명
72,혼자서도 완벽한 행복을 위한 선택 <연애하지 않을 권리>,"17,842,500",1784,배송 완료,878명
73,"따스한 겨울, 아낌없는 울 70% 코트","35,665,000",1783,"2,000,000",382명
74,[웹툰배경스케치업]-자연물9종모음,"17,830,000",1782,"1,000,000",227명
75,스케치업 배경 - [조선시대 성곽 도시],"17,829,000",1782,"1,000,000",198명
76,한국의 아름다운 '보화'를 담은 트럼프카드,"17,828,103",1782,배송 완료,600명
77,"[추석선물] 매일매일 골라 신는 31가지 양말, 팬톤 삭스","17,812,900",1781,배송 완료,280명
78,내 삶의 질을 높일 열쇠가운,"17,811,000",1781,"1,000,000",206명
79,"한지에 스며드는 사색의 향, 묵향","17,808,000",1780,배송 완료,409명
80,'내 키에 맞는' 스타킹을 만나보세요,"17,779,000",1777,배송 완료,725명
81,해외 여행의 필수품 여행자를 위한 응급키트 반디,"8,886,500",1777,"500,000",269명
82,세상에서 가장 편한 정장을 만들었습니다.,"35,506,500",1775,배송 완료,590명
