,funding_amount,percentage,rest_day
167,"2,917,500원",583%,1일 남음
168,"1,290,000원",129%,4일 남음
169,"405,000원",73%,6일 남음
170,"1,671,000원",66%,4일 남음
171,"21,027,000원",2102%,26일 남음
172,"2,680,000원",268%,7시간 남음
173,"605,777원",121%,9일 남음
174,"2,511,800원",69%,13일 남음
175,"2,456,000원",62%,6일 남음
176,"258,000원",51%,7시간 남음
177,"174,000원",6%,13일 남음
178,"35,000원",2%,21일 남음
179,"2,210,000원",49%,43일 남음
180,"3,006,500원",601%,15일 남음
181,"1,659,000원",331%,35일 남음
182,"3,698,000원",194%,16일 남음
183,"3,126,000원",312%,13일 남음
184,"3,215,000원",459%,4일 남음
185,"1,453,000원",18%,57일 남음
186,"5,264,333원",526%,3일 남음
187,"3,689,000원",368%,23일 남음
188,"4,707,000원",470%,9일 남음
189,"822,000원",164%,31일 남음
190,"9,313,000원",931%,16일 남음
191,"5,695,000원",569%,16일 남음
192,"926,000원",185%,14일 남음
193,"22,311,000원",148%,7시간 남음
194,"976,700원",97%,18일 남음
195,"2,590,000원",86%,18일 남음
196,"5,484,000원",1096%,21일 남음
197,"3,970,000원",794%,1일 남음
198,"1,094,300원",218%,11일 남음
199,"2,835,500원",118%,15일 남음
200,"1,605,000원",80%,28일 남음
201,"607,400원",40%,27일 남음
202,"850,160원",28%,7일 남음
203,"3,281,000원",58%,4일 남음
204,"3,009,000원",601%,7일 남음
205,"2,361,200원",236%,6일 남음
206,"16,951,000원",1695%,22일 남음
207,"10,188,000원",339%,12일 남음
208,"200,000원",25%,13일 남음
209,"189,000원",18%,28일 남음
210,"78,000원",15%,22일 남음
211,"704,800원",140%,34일 남음
212,"673,000원",134%,5일 남음
213,"915,500원",183%,7시간 남음
214,"685,700원",34%,7일 남음
215,"3,870,000원",387%,7일 남음
216,"1,035,000원",206%,7일 남음
217,"3,844,000원",128%,7일 남음
218,"1,223,000원",122%,1일 남음
219,"2,296,500원",153%,14일 남음
220,"2,592,000원",64%,13일 남음
221,"95,000원",11%,18일 남음
222,"213,000원",10%,34일 남음
223,"1,968,000원",196%,13일 남음
224,"1,066,900원",133%,11일 남음
225,"517,900원",103%,4일 남음
226,"1,856,000원",80%,11일 남음
227,"1,052,600원",52%,9일 남음
228,"1,198,000원",239%,4일 남음
229,"1,114,000원",185%,6일 남음
230,"1,328,000원",132%,1일 남음
231,"1,222,000원",122%,28일 남음
232,"1,845,000원",92%,9일 남음
233,"33,108,000원",60%,18일 남음
234,"939,000원",46%,51일 남음
235,"288,400원",14%,28일 남음
236,"3,332,000원",333%,11일 남음
237,"2,168,000원",216%,12일 남음
238,"781,000원",156%,15일 남음
239,"1,163,000원",116%,18일 남음
240,"2,195,222원",439%,7일 남음
241,"3,683,000원",184%,2일 남음
242,"1,360,000원",151%,7시간 남음
243,"1,646,000원",137%,4일 남음
244,"1,352,900원",67%,7일 남음
245,"3,470,000원",9%,27일 남음
246,"513,000원",102%,1일 남음
247,"870,000원",87%,6일 남음
248,"2,195,200원",36%,11일 남음
249,"69,900원",12%,20일 남음
250,"3,869,100원",773%,37일 남음
251,"1,440,600원",144%,28일 남음
252,"1,210,000원",121%,36일 남음
253,"1,430,000원",286%,34일 남음
254,"6,339,000원",211%,7일 남음
255,"815,000원",163%,28일 남음
256,"4,099,000원",58%,25일 남음
257,"5,093,785원",339%,12일 남음
258,"4,032,000원",161%,16일 남음
259,"891,000원",148%,21일 남음
260,"9,133,000원",140%,6일 남음
261,"1,065,800원",71%,20일 남음
262,"1,565,000원",44%,7일 남음
263,"745,000원",149%,25일 남음
264,"607,000원",121%,20일 남음
265,"883,500원",110%,20일 남음
266,"1,328,500원",66%,18일 남음
267,"2,800,000원",560%,18일 남음
268,"2,536,000원",101%,24일 남음
269,"965,000원",44%,7일 남음
270,"4,249,800원",424%,19일 남음
271,"1,600,000원",123%,9일 남음
272,"2,761,000원",110%,24일 남음
273,"1,660,000원",110%,16일 남음
274,"513,022원",73%,35일 남음
275,"1,320,000원",44%,39일 남음
276,"940,000원",47%,34일 남음
277,"3,125,000원",312%,21일 남음
278,"3,584,050원",238%,11일 남음
279,"1,916,700원",191%,6일 남음
280,"601,400원",120%,7일 남음
281,"562,000원",112%,28일 남음
282,"2,330,500원",466%,4일 남음
283,"2,082,999원",416%,14일 남음
284,"1,978,000원",197%,20일 남음
285,"2,227,900원",405%,13일 남음
286,"1,264,500원",84%,11일 남음
287,"1,565,000원",43%,21일 남음
288,"342,600원",11%,22일 남음
289,"14,660,000원",2255%,20일 남음
290,"3,054,000원",305%,11일 남음
291,"377,000원",62%,6일 남음
292,"572,000원",57%,6일 남음
293,"3,026,000원",605%,2일 남음
294,"2,570,000원",257%,2일 남음
295,"1,205,000원",126%,1일 남음
296,"5,542,000원",110%,8일 남음
297,"901,000원",60%,4일 남음
298,"3,517,400원",703%,7일 남음
299,"2,452,000원",245%,9일 남음
300,"2,410,000원",241%,13일 남음
301,"5,865,869원",106%,5일 남음
302,"621,500원",83%,11일 남음
303,"760,000원",76%,30일 남음
304,"671,000원",55%,40일 남음
305,"2,494,000원",498%,2일 남음
306,"1,230,000원",123%,14일 남음
307,"508,200원",101%,6일 남음
308,"684,000원",45%,21일 남음
309,"357,000원",27%,21일 남음
310,"5,185,000원",518%,13일 남음
311,"1,571,000원",157%,13일 남음
312,"517,000원",103%,13일 남음
313,"534,500원",66%,5일 남음
314,"326,900원",64%,10일 남음
315,"711,200원",47%,14일 남음
316,"1,434,500원",286%,2일 남음
317,"4,720,000원",157%,21일 남음
318,"1,069,000원",106%,34일 남음
319,"2,026,000원",57%,6일 남음
320,"265,000원",53%,28일 남음
321,"484,000원",48%,27일 남음
322,"121,000원",12%,41일 남음
323,"8,647,000원",1729%,24일 남음
324,"3,372,000원",281%,21일 남음
325,"2,080,000원",208%,12일 남음
326,"1,345,900원",207%,25일 남음
327,"1,677,000원",167%,42일 남음
328,"656,010원",131%,5일 남음
329,"4,146,000원",103%,11일 남음
330,"947,000원",63%,8일 남음
331,"598,600원",59%,28일 남음
332,"310,000원",31%,10일 남음
333,"475,000원",23%,11일 남음
334,"118,000원",21%,22일 남음
335,"4,000,800원",800%,12일 남음
336,"4,072,000원",407%,14일 남음
337,"4,622,200원",231%,11일 남음
338,"1,132,000원",226%,2일 남음
339,"1,006,777원",201%,48일 남음
340,"872,000원",174%,7시간 남음
341,"639,000원",127%,11일 남음
342,"1,219,000원",121%,13일 남음
343,"1,131,000원",113%,7일 남음
344,"3,873,535원",77%,27일 남음
345,"1,667,000원",33%,28일 남음
346,"145,000원",28%,35일 남음
347,"1,989,000원",397%,15일 남음
348,"1,077,000원",215%,18일 남음
349,"720,000원",144%,9일 남음
350,"1,116,200원",111%,6일 남음
351,"1,811,000원",90%,15일 남음
352,"1,617,000원",80%,3일 남음
353,"1,325,000원",44%,7일 남음
354,"2,807,000원",28%,13일 남음
355,"175,000원",17%,44일 남음
356,"3,838,000원",383%,7일 남음
357,"3,770,500원",377%,12일 남음
358,"7,766,500원",258%,8일 남음
359,"742,000원",148%,1일 남음
360,"1,573,000원",112%,3일 남음
361,"1,118,150원",111%,28일 남음
362,"1,166,000원",97%,12일 남음
363,"456,000원",91%,20일 남음
364,"3,578,000원",71%,13일 남음
365,"1,137,500원",51%,14일 남음
366,"1,573,000원",39%,6일 남음
367,"932,000원",23%,7일 남음
368,"1,372,000원",274%,14일 남음
369,"8,126,000원",270%,27일 남음
370,"1,180,777원",236%,56일 남음
371,"3,130,000원",184%,14일 남음
372,"1,584,000원",158%,4일 남음
373,"824,000원",149%,17일 남음
374,"2,711,000원",142%,4일 남음
375,"624,500원",124%,7시간 남음
376,"612,500원",122%,2일 남음
377,"932,000원",116%,10일 남음
378,"1,163,000원",116%,10일 남음
379,"988,000원",98%,23일 남음
380,"451,000원",90%,9일 남음
381,"845,000원",84%,30일 남음
382,"1,153,800원",57%,4일 남음
383,"960,000원",48%,23일 남음
384,"591,000원",39%,38일 남음
385,"70,000원",14%,28일 남음
386,"48,000원",9%,28일 남음
387,"1,260,000원",252%,1일 남음
388,"1,127,384원",225%,4일 남음
389,"2,017,000원",134%,16일 남음
390,"544,300원",108%,17일 남음
391,"950,000원",95%,28일 남음
392,"411,000원",82%,13일 남음
393,"603,000원",75%,18일 남음
394,"631,000원",74%,6일 남음
395,"1,248,000원",64%,35일 남음
396,"624,000원",62%,23일 남음
397,"252,900원",50%,11일 남음
398,"505,000원",50%,7일 남음
399,"659,000원",49%,7시간 남음
400,"743,000원",49%,7일 남음
401,"368,100원",36%,38일 남음
402,"364,000원",36%,34일 남음
403,"1,010,000원",33%,1일 남음
404,"931,000원",31%,4일 남음
405,"133,000원",26%,16일 남음
406,"176,000원",17%,18일 남음
407,"577,000원",15%,28일 남음
408,"4,400,000원",880%,14일 남음
409,"2,121,000원",212%,12일 남음
410,"1,216,000원",202%,4일 남음
411,"867,000원",173%,7일 남음
412,"823,000원",164%,6일 남음
413,"616,100원",123%,34일 남음
414,"582,500원",116%,38일 남음
415,"2,313,000원",115%,27일 남음
416,"970,000원",97%,18일 남음
417,"1,915,000원",95%,29일 남음
418,"1,863,000원",93%,12일 남음
419,"855,000원",85%,14일 남음
420,"1,654,399원",82%,13일 남음
421,"482,000원",64%,4일 남음
422,"642,500원",64%,30일 남음
423,"380,000원",54%,11일 남음
424,"956,000원",31%,11일 남음
425,"464,000원",30%,12일 남음
426,"1,373,000원",27%,15일 남음
427,"1,052,000원",26%,20일 남음
428,"1,380,000원",23%,36일 남음
429,"237,000원",19%,13일 남음
430,"1,355,000원",13%,14일 남음
431,"51,800원",10%,16일 남음
432,"386,000원",5%,26일 남음
433,"135,000원",4%,4일 남음
434,"2,460,000원",492%,1일 남음
435,"2,287,500원",457%,6일 남음
436,"1,581,000원",316%,7일 남음
437,"2,104,400원",212%,6일 남음
438,"1,991,000원",199%,8일 남음
439,"981,000원",196%,7시간 남음
440,"1,730,000원",173%,12일 남음
441,"745,000원",149%,28일 남음
442,"1,083,800원",144%,2일 남음
443,"1,275,000원",141%,11일 남음
444,"688,000원",137%,28일 남음
445,"2,572,500원",128%,13일 남음
446,"827,500원",127%,18일 남음
447,"605,600원",121%,11일 남음
448,"1,210,000원",121%,9일 남음
449,"581,000원",116%,17일 남음
450,"2,200,000원",110%,23일 남음
451,"5,185,000원",103%,7일 남음
452,"1,546,000원",103%,13일 남음
453,"4,495,000원",89%,6일 남음
454,"438,000원",87%,21일 남음
455,"765,000원",76%,5일 남음
456,"1,055,000원",70%,9일 남음
457,"343,000원",68%,6일 남음
458,"342,000원",68%,21일 남음
459,"677,500원",67%,21일 남음
460,"318,000원",63%,11일 남음
461,"1,222,000원",61%,18일 남음
462,"321,000원",53%,21일 남음
463,"910,000원",45%,20일 남음
464,"215,000원",43%,10일 남음
465,"207,000원",41%,32일 남음
466,"395,000원",39%,12일 남음
467,"167,000원",33%,16일 남음
468,"2,244,000원",32%,22일 남음
469,"156,000원",31%,19일 남음
470,"3,587,500원",31%,24일 남음
471,"149,600원",29%,12일 남음
472,"145,000원",28%,13일 남음
473,"289,000원",28%,1일 남음
474,"144,000원",28%,9일 남음
475,"286,000원",28%,11일 남음
476,"156,000원",22%,21일 남음
477,"376,000원",18%,10일 남음
478,"177,000원",17%,25일 남음
479,"168,000원",16%,7일 남음
480,"410,000원",13%,1일 남음
481,"391,000원",10%,17일 남음
482,"209,000원",10%,26일 남음
483,"393,700원",10%,11일 남음
484,"100,000원",10%,7일 남음
485,"48,500원",9%,16일 남음
486,"440,000원",8%,3일 남음
487,"37,000원",7%,28일 남음
488,"36,000원",7%,18일 남음
489,"69,000원",6%,16일 남음
490,"60,000원",6%,34일 남음
491,"29,000원",5%,2일 남음
492,"35,000원",5%,7시간 남음
493,"47,500원",4%,4일 남음
494,"100,000원",3%,13일 남음
495,"149,000원",2%,27일 남음
496,"145,000원",2%,5일 남음
497,"258,000원",2%,25일 남음
498,"75,000원",2%,41일 남음
499,"30,000원",1%,20일 남음
500,"5,000원",0%,18일 남음
501,0원,0%,13일 남음
502,0원,0%,8일 남음
503,0원,0%,6일 남음
504,0원,0%,43일 남음
505,0원,0%,13일 남음
506,0원,0%,28일 남음
507,0원,0%,1일 남음
508,0원,0%,27일 남음
509,0원,0%,9일 남음
510,0원,0%,22일 남음
511,0원,0%,9일 남음
512,0원,0%,36일 남음
513,0원,0%,9일 남음
514,0원,0%,9일 남음
515,0원,0%,56일 남음
516,0원,0%,24일 남음
