,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,미지의 존재들이 벌이는 전쟁 [크툴루 워즈] 한글판,"63,550,000",353,"18,000,000",302명
1,메이플스토리 만년 다이어리,"1,764,500",352,배송 완료,59명
2,100% Real Handmade 5초밀크티 베이스 시럽!,"1,764,000",352,배송 완료,59명
3,서울예술대학교 창작뮤지컬 <미스 론리하트>,"2,116,000",352,"600,000",78명
4,한식 & 양식 음식 웹툰 브러쉬와 스케치업3D 음식 세트,"2,997,500",352,배송 완료,72명
5,특별한 추석 '한과자 선물세트',"1,763,000",352,배송 완료,45명
6,보늬밤조림 '밤을 잊은 그대에게' 맛밤!,"1,763,000",352,배송 완료,51명
7,"우리가 떠난 후 남겨질 사랑하는 사람들을 위한, '길채비'","2,115,000",352,배송 완료,51명
8,잡지 HUJO 1호,"6,345,000",352,"1,800,000",190명
9,"독립을 외쳤던 당신을 기억합니다, 도마 안중근 의사","1,410,000",352,"400,000",171명
10,"여행에 색을 담은 일력, Traveldaily","7,048,000",352,"2,000,000",175명
11,"퇴근 후, 영어회화극장 <홈클래스편> 3기 모집","7,044,000",352,배송 완료,93명
12,"기억, 향, 그리고 미니멀리즘 디퓨저","7,043,500",352,"2,000,000",128명
13,"천연재료를 빚어 만든 감성, 니치 인센스","3,521,000",352,배송 완료,65명
14,책으로 떠나는 세계여행 : 명화로 읽는 전쟁의 세계사,"1,232,000",352,배송 완료,120명
15,당신의 지지율을 위해 뛰어라!!! <퍼센트 레이스>,"3,520,000",352,배송 완료,147명
16,타그트라움 2021 달력&굿즈,"2,815,500",351,"800,000",107명
17,"세월호 3주기. 잊지 말아요, 우리","3,519,000",351,"1,000,000",234명
18,"문화예술 겉핥기 매거진 <껍질> 창간호, '아파트'","2,463,000",351,배송 완료,138명
19,빈티지 몽당연필홀더 세트,"10,552,000",351,배송 완료,246명
20,'폰느'로 아이폰답게 쓰기,"3,517,300",351,"1,000,000",258명
21,웹툰배경 구름 하늘 일상 / 우주 / 판타지,"1,758,500",351,배송 완료,49명
22,"유기견 생명의 티셔츠, 모어올레스 캠페인 티.","3,516,000",351,배송 완료,91명
23,'학대피해아동쉼터'에 대해 들어보셨나요?,"703,000",351,배송 완료,39명
24,"길냥이들이 작은천국을 누리는 곳, 고양2로","5,271,500",351,배송 완료,301명
25,'일이 잘 되는 앞치마',"3,513,000",351,"1,000,000",53명
26,수시합격을 꿈꾸는 고등학생의 필수템! <100에피소드북>,"2,459,000",351,배송 완료,122명
27,스스로 흐름을 만드는 be the flow 파도&윤슬 반지,"1,755,000",351,배송 완료,31명
28,"순환하는 플라스틱, 요가 매거진 <우르드바>","3,510,000",351,배송 완료,60명
29,(웹툰 스케치업) 헤어살롱& 미용실 시리즈,"1,755,000",351,배송 완료,39명
30,"립스틱을 다시, 생각하다","17,547,000",350,배송 완료,412명
31,포크 싱어송라이터 오소영의 정규앨범 3집 '어디로 가나요',"10,526,000",350,"3,000,000",291명
32,"여행의 기억을 그리워하는 당신에게, 돌아와서 쓰는 여행일기","2,455,400",350,"700,000",91명
33,"동네사람이 만드는 동네잡지, '안녕망원' 5호","876,400",350,"250,000",40명
34,고요한 '진안' 숲 속 숨겨진 보석을 만나는 <힐링여행>,"5,258,000",350,"1,500,000",78명
35,100점 주고 싶은 업사이클링 백!! 사러 가즈아~!,"2,453,000",350,배송 완료,30명
36,당신의 명암을 찾아드립니다. 단편 소설집 '명암의 명함',"1,752,000",350,배송 완료,98명
37,"지리산 둘레길을 걷고 그린 여행 그림책, 「 걷는 책 」","1,752,000",350,"500,000",66명
38,"여성, 남성, '지정하지 않음'","5,256,000",350,배송 완료,177명
39,"무선 프레젠터의 미래 ""애니터치 블루'","1,751,000",350,"500,000",62명
40,"픽셀그래픽 로그라이크, '던그리드'","5,251,888",350,"1,500,000",271명
41,ABOUT정규앨범 [Fortunate Islands] 제작,"3,500,200",350,배송 완료,79명
42,"열여덟살, 글이다. 그리다. <그냥 열여덟>","3,500,000",350,"1,000,000",138명
43,다시 돌아온 <미란다처럼>,"3,500,000",350,배송 완료,160명
44,"우리의 마감 기록, 홍익대학교 건축대학 2016 작품집","3,500,000",350,배송 완료,150명
45,2019 한 해를 더 사랑스럽게 'MORE LOVE' 달력,"1,749,500",349,"500,000",59명
46,정성을 담은 피카타임 파운드 3종 선물세트,"1,049,500",349,배송 완료,21명
47,영어덜트를 위한 판타지모험소설 <표지 뒷면에 출구>,"3,497,000",349,배송 완료,87명
48,초코를 잊은 그대에게 : 플랜트랩 하이카카오 초코파우더,"3,496,000",349,"1,000,000",138명
49,멸종위기종인 선인장을 세밀화로 기록하며 생각하다,"3,495,000",349,배송 완료,117명
50,제주도신화인물사전 <무쉐설캅>,"8,737,000",349,배송 완료,454명
51,[앵콜] 열두 살 진영이의 이야기 <여우 달리기>,"1,677,500",349,"480,000",95명
52,보통의 여자들: 「세상의 모든 페미니스트들을 위하여」,"8,037,000",349,"2,300,000",394명
53,우리 #30분 말고 #30일 결혼식 할래요?,"2,794,499",349,배송 완료,43명
54,퇴사하고 런던으로 떠난 오드리의 일기 <떠날까 말까>,"3,492,000",349,"1,000,000",112명
55,모바일 미연시 프로젝트!: 그래도 그녀를 그리워한다,"7,681,110",349,"2,200,000",147명
56,[보타닉 하우스] 다크우드 & 멜로우 머스크 그리고 블루밍,"1,745,700",349,배송 완료,91명
57,"별에서 온 너와 나를 위한 ""별의 향기""","10,473,000",349,배송 완료,172명
58,[스케치업 웹툰배경] 힐링정원 속 카페같은 꿈의 오피스,"3,491,000",349,배송 완료,56명
59,"늦깎이 학생들의 문해 시집 발간 ""어머니의 시간""","3,491,000",349,"1,000,000",130명
60,"마음에 시 한편, ' 시인과 나 '","4,189,000",349,"1,200,000",302명
61,고속 루프 판타지 『편도용사TRPG』시리즈 공식 한국어판,"34,905,000",349,"10,000,000",472명
62,"나는 신천지에서 20대, 5년을 보냈다.","10,471,000",349,배송 완료,436명
63,"[네이키드 시럽] 무색소, 무향료 시나몬 시럽과 커피","1,745,000",349,배송 완료,123명
64,세척솔 없이 깨끗한 빨대- n.u.Straw [뉴스트로우],"34,899,500",348,"10,000,000","1,885명"
65,[멜팅마일리]비누의 새로운 발견! 특허받은 플레이크 비누,"4,266,800",348,배송 완료,167명
66,일상 속 작은 휴식 '스파냥찻잔',"2,442,000",348,배송 완료,38명
67,"책상 위의 작은 강아지, 픽셀독","6,977,000",348,배송 완료,180명
68,"언제나 고양이와 함께, 알록달록 2018 냥 달력","1,743,600",348,배송 완료,104명
69,스마트폰으로 제어하는 LED 스마트 탁상용&벽시계 <루캄>,"1,743,000",348,"500,000",21명
70,"한 손에 쏙 들어오는 손바닥소설집, <네모난 칸 두 개>","1,394,200",348,배송 완료,71명
71,어른들을 위한 동화 <새내기 유령> 3쇄 발간이여요!!!,"6,970,000",348,배송 완료,324명
72,히더지의 세번째 개인전 'Arcade Fantasy',"6,970,000",348,"2,000,000",100명
73,카페인 없이 즐기는 '겨울의 차'- 특별함을 담은 루이보스,"3,485,000",348,배송 완료,106명
74,"매일 건강해지는 똑똑한 선택, 혈액순환#7Day인솔 슬리퍼","17,423,800",348,"5,000,000",177명
75,아스라이 잊혀가는 날들을 채우다. [2022 채우리달력],"1,742,000",348,배송 완료,55명
76,피키툰 <사랑이 커다래> 인형 제작,"19,162,000",348,배송 완료,611명
77,청춘들을 위한 데일리 노트북 파우치 : 모드담,"1,741,700",348,"500,000",131명
78,아빠가 작정하고 만든 '아빠비누 어성초',"1,741,000",348,배송 완료,69명
79,"""사람을 위한, 자연을 위한"" MUCI 드로즈 & 브라렛","3,480,904",348,배송 완료,113명
80,"행복을 위한 항해, [FOH 만년 다이어리]","6,961,000",348,"2,000,000",280명
81,"성인 웹툰,만화를 위한 작업소스","1,740,000",348,배송 완료,68명
82,행복한 일상을 만들어주는 '밀당 스트레스볼',"3,479,000",347,배송 완료,137명
83,반려동물과 함께쓰는 친환경 탈취제,"1,739,500",347,배송 완료,66명
84,"2018 F/W 트렌드를 위한 핫템, <스웨이드 컴팩트백>","3,478,600",347,배송 완료,100명
85,쿠키들 모여라! 설렘 가득한 쿠키박스,"1,739,000",347,"500,000",55명
86,"지구와 나를 한번 더 생각한, 친환경 항균 안경 플러스 +","10,433,000",347,배송 완료,70명
87,달콤하고 따뜻한 크리스마스를 위한 티푸드Box,"2,434,000",347,"700,000",53명
88,아날로그 감성 - 원목 노트북 거치대,"1,738,560",347,배송 완료,49명
89,"4.16달력 - ""기억하라 그리고 살아라""","10,428,600",347,"3,000,000",362명
90,"조향사의 마법 상자, 나만의 향기를 부르는 주문","1,738,000",347,배송 완료,25명
91,[달빛천사] 스페셜 DVD 풀패키지,"173,770,000",347,"50,000,000","1,305명"
92,분실 NO! NO! 이어폰 홀더,"1,042,501",347,배송 완료,111명
93,"뿔 캐릭터 창작을 위한 3d소재(웹툰, 일러스트)","695,000",347,배송 완료,28명
94,맛있게 시작하는 비건 라이프! 비건 테이블,"3,475,000",347,배송 완료,218명
95,"한국의 상징, <홀로그램 스티커> 세트","2,779,300",347,배송 완료,176명
96,"태블릿 속 '나' 연구실, 16가지 사고성향별 다이어리","3,474,100",347,배송 완료,230명
97,친환경 도시 울산을 닮은 <울산 에코 티셔츠>,"3,474,000",347,배송 완료,60명
98,히말라야에서 온 따뜻한 겨울 '크리스마스를 부탁해',"1,736,000",347,배송 완료,42명
99,레아레토 첫 굿즈! <엽서 & 스티커>,"347,200",347,배송 완료,14명
100,마비노기에 전통 한 숟가락! 장신구와 허리치마,"6,941,000",347,"2,000,000",90명
101,코로나 시대의 걷기론 <걸으면 해결된다 솔비투르 암불란도>,"3,470,069",347,배송 완료,78명
102,"비정규직 도시 여성 예술가의 기록, 주간 김폴짝 완전판","1,735,000",347,배송 완료,43명
103,"고민 없이 매일 매일, 데님 캔버스 숄더백","1,041,000",347,배송 완료,25명
104,"제주해양생물을 지키는 칫솔, 대나무칫솔","1,735,000",347,배송 완료,45명
105,전통주 양조장에서 빚는 나만의 술,"3,469,000",346,"1,000,000",33명
106,[스케치업 웹툰 배경]현대적인 원룸 고시원,"1,734,000",346,배송 완료,54명
107,"[5월 선물] 국보 제94호의 오마주, 꽃참외 컵&플레이트","2,772,800",346,배송 완료,44명
108,<아파하지 못하는 사람들에게> 마음껏 아파할 수 있기를,"1,733,000",346,"500,000",84명
109,더욱 깊어진 뉴트럴 백단향 '이태원 란탄' 퍼퓸 & 캔들,"3,466,000",346,배송 완료,80명
110,[앵콜] 연인과 단둘이 오붓하게 즐기는 보드게임 러부마블2,"2,079,000",346,배송 완료,77명
111,"웹툰배경 [ 미래도시셋트] ""미래도시 배경을 한방에 해결""","3,465,000",346,"1,000,000",37명
112,호래이 복을 담은 민화 자개 공예 키트,"1,732,400",346,배송 완료,55명
113,[2020년 달력] 페가콘의 신년 달력 <기도하는 소녀>,"2,771,000",346,"800,000",116명
114,『모시던 아가씨가 도련님이 되어버렸다』 소장본 제작,"31,171,000",346,배송 완료,515명
