,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
64,"[파퓸드블랑] 새하얀 순백의 향기, 머스키 블랑","2,664,000",532,배송 완료,64명
65,이상한 레시피 <사마엘의 케이크>,"28,901,500",525,"5,500,000",575명
66,"""귀여운 황제펭귄"" 페페리코 랜덤 피규어 Vol 1,2,3","15,763,100",525,배송 완료,286명
67,모 아니면 도!! 다가오는 설날을 위한 윷놀이 세트 '늇',"5,252,000",525,배송 완료,123명
68,수리노을 달력 & 포토 다이어리,"68,264,470",525,"13,000,000","2,443명"
69,사육곰에게 더 나은 삶을! 곰 보금자리,"15,753,000",525,"3,000,000",727명
70,웹툰 스케치업 배경 - 주택 2차 업데이트,"10,500,000",525,배송 완료,105명
71,노정이 쓰고 드로잉메리가 그린 소설 <달콤한 밤 되세요>,"10,496,000",524,배송 완료,277명
72,무알콜 비건 향수[세상에 없던 상큼한 자몽에이드 향수],"5,245,200",524,배송 완료,155명
73,99편의 초기 공포영화 장치를 소개하는 책<기믹스: 레드>,"7,867,000",524,배송 완료,517명
74,태양아래 빛나는 것들: 사진집 <Under the Sun>,"7,342,333",524,배송 완료,316명
75,"[앵콜] 배경 컬러와 박 후가공의 만남 ""컬러 포일 컬러""","26,219,100",524,배송 완료,512명
76,"행운을 사는 마녀 푸엘라의 이야기, <깨어난 마녀>","7,864,500",524,배송 완료,225명
77,오로라는 어떤 맛일까? <오로라 & 위키드 루이보스>,"10,484,000",524,배송 완료,316명
78,"박 후가공과 배경색의 조합, <컬러 포일 컬러> 개정판","28,824,000",524,배송 완료,591명
79,여성폭력생존자를 응원합니다. '페미니즘 에코백',"13,101,000",524,"2,500,000",669명
80,다양한 각도의 날개 30종_클립스튜디오 벡터 레이어,"5,240,000",524,배송 완료,178명
81,"'윌벤져스' 첫 굿즈! [윌리엄, 벤틀리 인형]","52,386,000",523,배송 완료,800명
82,청년 커뮤니티 매거진 <난춘> 창간호 '풋사과',"2,619,222",523,"500,000",77명
83,"""당신의 바다는 어떤 모습인가요?""- 바다를 담은 악세서리","5,238,252",523,배송 완료,72명
84,[3차앵콜] 인생존맛 돼지특수부위와 훈연삼겹,"5,234,400",523,"1,000,000",205명
85,<따뜻한 휴일 풍경을 기록한 YOSIGO의 사진들>,"15,703,000",523,"3,000,000",580명
86,"고양이, 봄을 입다","1,570,000",523,배송 완료,72명
87,"이웃을 사랑하라, 성소수자는 빼고?! 갓퀴어, 유니콘 뱃지","5,232,500",523,"1,000,000",368명
88,[책만들기 70종 키트] 인디자인 1:1 원데이클래스,"1,725,000",522,"330,000",24명
89,"가라앉는 이를 밀어올리는, <파력>","31,356,300",522,배송 완료,837명
90,웹툰을 위한 TV방송화면,"1,567,400",522,"300,000",103명
91,"바다와 플라스틱의 이야기, <반짝이는 것>","3,134,000",522,"600,000",103명
92,국민 댄스게임! <펌프잇업>의 첫번째 굿즈 세트,"15,665,200",522,"3,000,000",354명
93,한 번은 해 볼만한 간단하고 쉬운 '건축 스케치',"1,566,000",522,"300,000",307명
94,'오랫동안 입혀질' 슬릿 셔츠,"522,000",522,배송 완료,9명
95,베이비박스 : 세상에서 가장 무거운 박스,"1,565,600",521,"300,000",170명
96,여행이요? 저는 편의점으로 떠났습니다-도쿄편의점여행,"2,609,000",521,"500,000",169명
97,열여섯번째 시간기록장을 만듭니다.,"15,645,000",521,"3,000,000",418명
98,향기 유목민을 위한 종결템<세상에 없던 장미향>,"3,649,800",521,배송 완료,197명
99,콜미바이유어네임 <That Summer of Winter>,"6,255,000",521,"1,200,000",231명
100,"웹툰 음식소스 종합세트 1탄 (한식, 분식, 안주, 양식)","5,212,000",521,배송 완료,58명
101,"2018년 1월, 당신의 홈카페가 열립니다.","1,563,500",521,배송 완료,65명
102,"[앵콜] 잠 못드는 당신을 위한 최고의 베개, '마시필로'","15,618,200",520,"3,000,000",132명
103,Running Time 30 _ 생명을 구하는 시간,"31,230,500",520,배송 완료,"1,037명"
104,프리즘오브 15호 <중경삼림> 발간,"20,818,000",520,배송 완료,"1,023명"
105,언제든지 마셔요. 페레쿠논 <마법 양탄자 위의 고양이>,"2,602,000",520,"500,000",80명
106,에비츄를 품은 '고양이츄',"18,211,000",520,배송 완료,463명
107,건축자재로 만든 여행자를 위한 신발,"5,200,400",520,배송 완료,74명
